Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,135.99,137.21,135.56,136.87,1161198
2025-10-20 09:30:00+05:30,136.83,136.94,136.25,136.48,351107
2025-10-20 09:45:00+05:30,136.48,136.51,136.08,136.47,250437
2025-10-20 10:00:00+05:30,136.47,136.5,136.26,136.35,134999
2025-10-20 10:15:00+05:30,136.4,136.4,136.06,136.15,158614
2025-10-20 10:30:00+05:30,136.15,136.35,135.76,135.96,261136
2025-10-20 10:45:00+05:30,135.96,136.49,135.91,136.25,177434
2025-10-20 11:00:00+05:30,136.25,136.3,136.09,136.25,89232
2025-10-20 11:15:00+05:30,136.25,136.39,136.18,136.26,82138
2025-10-20 11:30:00+05:30,136.32,136.45,136.15,136.41,77074
2025-10-20 11:45:00+05:30,136.4,136.47,136.13,136.41,73708
2025-10-20 12:00:00+05:30,136.41,136.93,136.36,136.69,467119
2025-10-20 12:15:00+05:30,136.66,136.79,136.5,136.69,82258
2025-10-20 12:30:00+05:30,136.69,136.84,136.56,136.8,128067
2025-10-20 12:45:00+05:30,136.8,136.86,136.69,136.77,89812
2025-10-20 13:00:00+05:30,136.84,136.94,136.74,136.83,124146
2025-10-20 13:15:00+05:30,136.83,136.85,136.7,136.71,58325
2025-10-20 13:30:00+05:30,136.71,136.79,136.3,136.35,113292
2025-10-20 13:45:00+05:30,136.35,136.5,136.25,136.27,168465
2025-10-20 14:00:00+05:30,136.27,136.37,136.1,136.2,117831
2025-10-20 14:15:00+05:30,136.2,136.25,135.88,135.9,133976
2025-10-20 14:30:00+05:30,135.96,136.2,135.9,136.15,98372
2025-10-20 14:45:00+05:30,136.15,136.45,135.95,135.97,222115
2025-10-20 15:00:00+05:30,135.99,136.18,135.8,135.82,521194
2025-10-20 15:15:00+05:30,135.82,136.0,135.66,136.0,803277
2025-10-21 13:45:00+05:30,136.6,136.98,135.86,136.22,1037414
2025-10-21 14:00:00+05:30,136.22,136.34,136.11,136.25,461676
2025-10-21 14:15:00+05:30,136.25,136.33,136.24,136.29,392715
2025-10-21 14:30:00+05:30,136.29,136.35,136.16,136.27,1000187
2025-10-23 09:15:00+05:30,137.0,137.89,136.45,137.65,1238206
2025-10-23 09:30:00+05:30,137.7,138.9,137.7,138.85,1158003
2025-10-23 09:45:00+05:30,138.87,139.45,138.35,138.92,1469037
