Datetime,open,high,low,close,volume
2026-02-09 09:15:00+05:30,202.8,203.9,200.79,202.29,446692
2026-02-09 09:20:00+05:30,202.3,202.3,201.71,202.11,200531
2026-02-09 09:25:00+05:30,202.17,202.62,202.1,202.49,187729
2026-02-09 09:30:00+05:30,202.48,202.9,202.34,202.44,100402
2026-02-09 09:35:00+05:30,202.4,202.56,202.03,202.14,120158
2026-02-09 09:40:00+05:30,202.14,202.2,201.84,202.02,117756
2026-02-09 09:45:00+05:30,202.04,202.2,201.88,201.88,65577
2026-02-09 09:50:00+05:30,201.9,201.99,201.79,201.88,52364
2026-02-09 09:55:00+05:30,201.88,202.24,201.8,201.93,69013
2026-02-09 10:00:00+05:30,202.05,202.5,201.97,202.3,98338
2026-02-09 10:05:00+05:30,202.3,202.35,202.1,202.31,66648
2026-02-09 10:10:00+05:30,202.31,202.35,202.17,202.34,55801
2026-02-09 10:15:00+05:30,202.35,202.4,202.16,202.24,50473
2026-02-09 10:20:00+05:30,202.22,203.18,202.22,202.98,165946
2026-02-09 10:25:00+05:30,203.03,203.34,203.03,203.17,126055
2026-02-09 10:30:00+05:30,203.17,204.64,203.09,204.4,344815
2026-02-09 10:35:00+05:30,204.4,204.4,204.09,204.18,115265
2026-02-09 10:40:00+05:30,204.18,204.5,204.11,204.5,109769
2026-02-09 10:45:00+05:30,204.47,204.6,204.23,204.48,114934
2026-02-09 10:50:00+05:30,204.42,204.77,204.42,204.7,89289
2026-02-09 10:55:00+05:30,204.7,204.8,204.55,204.76,70289
2026-02-09 11:00:00+05:30,204.78,204.84,204.46,204.59,105311
2026-02-09 11:05:00+05:30,204.62,204.64,204.09,204.16,112610
2026-02-09 11:10:00+05:30,204.16,204.18,204.01,204.18,67816
2026-02-09 11:15:00+05:30,204.12,204.22,204.0,204.15,110390
2026-02-09 11:20:00+05:30,204.15,204.15,203.82,203.87,81720
2026-02-09 11:25:00+05:30,203.86,204.06,203.81,204.02,74170
2026-02-09 11:30:00+05:30,204.02,204.16,203.87,204.12,65560
2026-02-09 11:35:00+05:30,204.11,204.47,204.1,204.28,68329
2026-02-09 11:40:00+05:30,204.26,204.44,204.2,204.4,54887
2026-02-09 11:45:00+05:30,204.39,204.58,204.16,204.54,71132
2026-02-09 11:50:00+05:30,204.54,204.78,204.3,204.39,82571
2026-02-09 11:55:00+05:30,204.39,204.64,204.35,204.61,65149
2026-02-09 12:00:00+05:30,204.61,204.9,204.6,204.77,85655
2026-02-09 12:05:00+05:30,204.78,205.44,204.77,205.1,257585
2026-02-09 12:10:00+05:30,205.2,205.29,204.9,205.18,114707
2026-02-09 12:15:00+05:30,205.16,205.16,204.92,204.95,96070
2026-02-09 12:20:00+05:30,204.95,205.08,204.9,204.97,62663
2026-02-09 12:25:00+05:30,204.97,205.06,204.8,204.85,76026
2026-02-09 12:30:00+05:30,204.84,204.85,204.41,204.84,199684
2026-02-09 12:35:00+05:30,204.86,204.99,204.8,204.91,61498
2026-02-09 12:40:00+05:30,204.91,204.94,203.81,204.44,197382
2026-02-09 12:45:00+05:30,204.39,204.48,204.03,204.2,65059
2026-02-09 12:50:00+05:30,204.2,204.34,204.2,204.24,45325
2026-02-09 12:55:00+05:30,204.24,204.71,204.13,204.66,87183
2026-02-09 13:00:00+05:30,204.76,205.24,204.72,205.24,113691
2026-02-09 13:05:00+05:30,205.24,205.4,205.02,205.28,114800
2026-02-09 13:10:00+05:30,205.28,205.33,205.0,205.3,78837
2026-02-09 13:15:00+05:30,205.35,205.8,205.35,205.54,267529
2026-02-09 13:20:00+05:30,205.53,205.54,205.3,205.37,70955
2026-02-09 13:25:00+05:30,205.37,205.5,205.3,205.38,59713
2026-02-09 13:30:00+05:30,205.41,205.46,205.24,205.46,74320
2026-02-09 13:35:00+05:30,205.47,205.69,205.43,205.59,81337
2026-02-09 13:40:00+05:30,205.56,205.75,205.46,205.7,82505
2026-02-09 13:45:00+05:30,205.7,205.74,205.52,205.65,59057
2026-02-09 13:50:00+05:30,205.54,205.76,205.51,205.65,76849
2026-02-09 13:55:00+05:30,205.65,206.38,205.52,205.57,208563
2026-02-09 14:00:00+05:30,205.56,205.65,205.26,205.62,90202
2026-02-09 14:05:00+05:30,205.61,205.74,205.56,205.62,52159
2026-02-09 14:10:00+05:30,205.61,205.63,205.23,205.23,123224
2026-02-09 14:15:00+05:30,205.26,205.29,205.08,205.22,74358
2026-02-09 14:20:00+05:30,205.22,205.38,205.19,205.37,105947
2026-02-09 14:25:00+05:30,205.32,205.41,205.24,205.34,124397
2026-02-09 14:30:00+05:30,205.34,205.4,205.15,205.21,129727
2026-02-09 14:35:00+05:30,205.15,205.2,205.01,205.06,93424
2026-02-09 14:40:00+05:30,205.06,205.1,204.77,205.02,129622
2026-02-09 14:45:00+05:30,205.02,205.37,204.94,205.32,157708
2026-02-09 14:50:00+05:30,205.32,205.5,205.25,205.5,150919
2026-02-09 14:55:00+05:30,205.55,206.13,205.51,206.12,235696
2026-02-09 15:00:00+05:30,206.08,206.28,205.96,206.0,284377
2026-02-09 15:05:00+05:30,205.96,205.97,205.6,205.7,239304
2026-02-09 15:10:00+05:30,205.72,205.86,205.6,205.83,342876
2026-02-09 15:15:00+05:30,205.83,205.9,205.7,205.87,330305
2026-02-09 15:20:00+05:30,205.98,205.98,205.75,205.8,293555
2026-02-09 15:25:00+05:30,205.8,205.8,205.5,205.6,294788
2026-02-10 09:15:00+05:30,206.7,206.79,205.0,205.76,820565
2026-02-10 09:20:00+05:30,205.88,205.96,204.92,205.56,375895
2026-02-10 09:25:00+05:30,205.58,205.58,205.08,205.17,147050
2026-02-10 09:30:00+05:30,205.2,207.45,205.19,207.1,445880
2026-02-10 09:35:00+05:30,207.12,207.25,206.92,207.12,301958
2026-02-10 09:40:00+05:30,207.1,207.32,206.9,207.13,377270
2026-02-10 09:45:00+05:30,207.15,207.4,206.87,206.99,202033
2026-02-10 09:50:00+05:30,207.0,207.0,206.39,206.39,180395
2026-02-10 09:55:00+05:30,206.31,206.9,206.31,206.75,80884
2026-02-10 10:00:00+05:30,206.75,206.99,206.4,206.41,74867
2026-02-10 10:05:00+05:30,206.47,206.9,206.12,206.9,106812
2026-02-10 10:10:00+05:30,207.0,207.19,206.2,206.3,179117
2026-02-10 10:15:00+05:30,206.26,206.79,206.26,206.63,54734
2026-02-10 10:20:00+05:30,206.71,206.85,206.6,206.66,61191
2026-02-10 10:25:00+05:30,206.7,206.88,206.55,206.61,76912
