Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,135.99,137.21,135.56,135.84,6001026
2025-10-21 00:00:00+05:30,136.6,136.98,135.86,136.24,2918743
2025-10-23 00:00:00+05:30,137.0,139.45,136.45,137.85,12839861
2025-10-24 00:00:00+05:30,137.91,138.5,135.82,136.35,6291344
2025-10-27 00:00:00+05:30,136.52,141.19,136.5,140.81,16792519
2025-10-28 00:00:00+05:30,141.4,142.24,138.52,140.1,21334243
2025-10-29 00:00:00+05:30,140.48,140.64,138.45,139.48,8637758
2025-10-30 00:00:00+05:30,139.9,141.3,139.0,140.77,14765768
2025-10-31 00:00:00+05:30,140.95,143.64,140.95,141.53,18213013
2025-11-03 00:00:00+05:30,142.0,142.95,139.56,139.83,8798368
2025-11-04 00:00:00+05:30,139.45,140.8,138.11,140.44,8502046
2025-11-06 00:00:00+05:30,140.99,143.85,139.92,141.23,17435511
2025-11-07 00:00:00+05:30,141.0,141.65,138.8,141.28,4888203
2025-11-10 00:00:00+05:30,141.8,143.15,140.69,142.28,7609145
2025-11-11 00:00:00+05:30,142.98,146.78,142.25,146.04,17177183
2025-11-12 00:00:00+05:30,147.47,147.6,141.74,142.53,24925913
2025-11-13 00:00:00+05:30,144.86,151.46,143.63,150.41,53618730
2025-11-14 00:00:00+05:30,150.0,152.94,147.46,148.26,20695998
2025-11-17 00:00:00+05:30,149.5,149.69,147.6,148.45,10767304
2025-11-18 00:00:00+05:30,149.45,149.45,147.01,147.23,11015324
2025-11-19 00:00:00+05:30,147.15,147.65,144.9,145.46,5986604
2025-11-20 00:00:00+05:30,146.08,146.85,144.86,146.24,8625173
2025-11-21 00:00:00+05:30,146.5,146.78,143.79,144.69,10000648
2025-11-24 00:00:00+05:30,144.8,146.0,143.9,144.59,16912563
2025-11-25 00:00:00+05:30,144.59,148.95,144.51,145.83,21768360
2025-11-26 00:00:00+05:30,146.85,149.75,145.0,148.95,17859160
2025-11-27 00:00:00+05:30,149.67,162.0,149.5,159.75,90218203
2025-11-28 00:00:00+05:30,158.0,160.23,156.2,158.12,27495981
2025-12-01 00:00:00+05:30,158.26,161.4,156.63,160.3,24989252
2025-12-02 00:00:00+05:30,160.0,164.49,158.9,160.0,37354552
2025-12-03 00:00:00+05:30,160.31,163.15,159.5,162.71,21310659
2025-12-04 00:00:00+05:30,162.1,163.48,159.85,160.21,12196009
2025-12-05 00:00:00+05:30,160.91,161.29,159.51,160.86,10982958
2025-12-08 00:00:00+05:30,160.9,162.93,157.9,159.28,11422591
2025-12-09 00:00:00+05:30,159.17,160.29,155.55,159.58,13146291
2025-12-10 00:00:00+05:30,160.0,160.32,157.76,158.01,10266182
2025-12-11 00:00:00+05:30,158.5,161.19,157.1,160.33,11571887
2025-12-12 00:00:00+05:30,160.75,164.86,160.35,163.86,13731776
2025-12-15 00:00:00+05:30,163.8,167.14,162.51,166.82,16406561
2025-12-16 00:00:00+05:30,166.5,168.74,166.03,167.75,17495643
2025-12-17 00:00:00+05:30,167.5,167.5,165.07,166.14,7630563
2025-12-18 00:00:00+05:30,166.14,172.05,165.63,171.57,21614399
2025-12-19 00:00:00+05:30,172.08,174.58,170.7,173.56,16822313
2025-12-22 00:00:00+05:30,174.61,178.0,174.61,177.05,17655028
2025-12-23 00:00:00+05:30,177.08,178.2,175.58,177.96,8542554
2025-12-24 00:00:00+05:30,178.1,178.3,174.76,175.31,8846615
2025-12-26 00:00:00+05:30,175.21,175.99,173.27,174.68,5686108
2025-12-29 00:00:00+05:30,174.68,176.05,173.38,174.92,9026929
2025-12-30 00:00:00+05:30,175.5,179.97,174.01,178.63,58790880
2025-12-31 00:00:00+05:30,178.48,180.34,176.7,179.19,12570359
