Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,12593,12659,12510,12619,5852
2025-10-20 10:15:00+05:30,12608,12639,12590,12606,2128
2025-10-20 11:15:00+05:30,12606,12629,12600,12607,1237
2025-10-20 12:15:00+05:30,12607,12676,12600,12649,3226
2025-10-20 13:15:00+05:30,12649,12657,12594,12605,2726
2025-10-20 14:15:00+05:30,12595,12639,12595,12611,4473
2025-10-20 15:15:00+05:30,12600,12614,12596,12610,4661
2025-10-21 13:45:00+05:30,12799,12799,12623,12700,7163
2025-10-23 09:15:00+05:30,12735,13179,12683,13100,25064
2025-10-23 10:15:00+05:30,13108,13150,13061,13114,11186
2025-10-23 11:15:00+05:30,13106,13186,13025,13141,22431
2025-10-23 12:15:00+05:30,13141,13142,13093,13136,7594
2025-10-23 13:15:00+05:30,13136,13142,13100,13113,4439
2025-10-23 14:15:00+05:30,13113,13155,13100,13147,21562
2025-10-23 15:15:00+05:30,13153,13181,13100,13115,10134
2025-10-24 09:15:00+05:30,13144,13144,12953,13055,10124
2025-10-24 10:15:00+05:30,13055,13113,13037,13049,4418
2025-10-24 11:15:00+05:30,13039,13070,12998,13044,41661
2025-10-24 12:15:00+05:30,13044,13054,13009,13029,3563
2025-10-24 13:15:00+05:30,13029,13052,13020,13031,3140
2025-10-24 14:15:00+05:30,13035,13167,13020,13155,8294
2025-10-24 15:15:00+05:30,13147,13160,13101,13101,5259
2025-10-27 09:15:00+05:30,13140,13154,12980,13102,5417
2025-10-27 10:15:00+05:30,13102,13108,13012,13050,5998
2025-10-27 11:15:00+05:30,13050,13157,13050,13100,4035
2025-10-27 12:15:00+05:30,13100,13105,12968,12981,9224
2025-10-27 13:15:00+05:30,12981,13010,12940,12968,7985
2025-10-27 14:15:00+05:30,12968,12983,12941,12951,5499
2025-10-27 15:15:00+05:30,12951,12975,12901,12925,3790
2025-10-28 09:15:00+05:30,12953,13037,12923,12965,16033
2025-10-28 10:15:00+05:30,12965,13074,12925,13020,22304
2025-10-28 11:15:00+05:30,13016,13016,12940,12951,2369
2025-10-28 12:15:00+05:30,12951,12968,12940,12941,1870
2025-10-28 13:15:00+05:30,12942,12953,12756,12810,26018
2025-10-28 14:15:00+05:30,12810,12814,12784,12798,6580
2025-10-28 15:15:00+05:30,12793,12800,12727,12750,3436
2025-10-29 09:15:00+05:30,12786,12793,12705,12759,2190
2025-10-29 10:15:00+05:30,12767,12785,12700,12721,1996
2025-10-29 11:15:00+05:30,12721,12721,12664,12686,1656
2025-10-29 12:15:00+05:30,12693,12700,12575,12589,3460
2025-10-29 13:15:00+05:30,12589,12603,12516,12520,3738
2025-10-29 14:15:00+05:30,12520,12662,12513,12625,6629
2025-10-29 15:15:00+05:30,12625,12634,12600,12615,2276
2025-10-30 09:15:00+05:30,12700,12700,12541,12570,3918
2025-10-30 10:15:00+05:30,12576,12576,12493,12497,1690
2025-10-30 11:15:00+05:30,12497,12497,12430,12432,2611
2025-10-30 12:15:00+05:30,12432,12445,12360,12378,4122
