Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,12593,12676,12510,12605,24435
2025-10-21 00:00:00+05:30,12799,12799,12623,12732,7414
2025-10-23 00:00:00+05:30,12735,13186,12683,13144,102501
2025-10-24 00:00:00+05:30,13144,13167,12953,13144,76553
2025-10-27 00:00:00+05:30,13140,13157,12901,12953,42072
2025-10-28 00:00:00+05:30,12953,13074,12727,12787,78709
2025-10-29 00:00:00+05:30,12786,12793,12513,12619,22032
2025-10-30 00:00:00+05:30,12700,12700,12350,12446,23844
2025-10-31 00:00:00+05:30,12534,12534,12273,12303,29810
2025-11-03 00:00:00+05:30,12303,12303,12014,12127,42681
2025-11-04 00:00:00+05:30,12106,12463,12006,12091,35113
2025-11-06 00:00:00+05:30,12139,13250,12015,13139,706323
2025-11-07 00:00:00+05:30,13000,13000,12510,12580,87011
2025-11-10 00:00:00+05:30,12594,13157,12570,12614,85196
2025-11-11 00:00:00+05:30,12614,12634,12050,12156,73726
2025-11-12 00:00:00+05:30,12499,12500,11934,11998,82679
2025-11-13 00:00:00+05:30,12000,12133,11964,11981,40621
2025-11-14 00:00:00+05:30,12041,12642,12019,12570,174364
2025-11-17 00:00:00+05:30,12574,12964,12090,12124,110495
2025-11-18 00:00:00+05:30,12159,12189,11828,11872,85666
2025-11-19 00:00:00+05:30,11949,11959,11679,11733,61239
2025-11-20 00:00:00+05:30,11679,11809,11667,11747,39186
2025-11-21 00:00:00+05:30,11747,11824,11601,11641,54164
2025-11-24 00:00:00+05:30,11721,11731,11351,11473,161587
2025-11-25 00:00:00+05:30,11500,11690,11352,11640,41900
2025-11-26 00:00:00+05:30,11690,11818,11425,11734,65740
2025-11-27 00:00:00+05:30,11740,11773,11221,11246,112924
2025-11-28 00:00:00+05:30,11329,11615,11100,11499,198137
2025-12-01 00:00:00+05:30,11519,11846,11300,11332,131948
2025-12-02 00:00:00+05:30,11300,11300,10922,11049,359605
2025-12-03 00:00:00+05:30,11116,11320,10985,11222,186376
2025-12-04 00:00:00+05:30,11249,11379,11080,11118,60360
2025-12-05 00:00:00+05:30,11121,11266,10980,11181,194196
2025-12-08 00:00:00+05:30,11100,11172,10890,10968,62994
2025-12-09 00:00:00+05:30,10988,11127,10880,11063,60470
2025-12-10 00:00:00+05:30,11062,11165,10977,11102,43035
2025-12-11 00:00:00+05:30,11089,11174,10968,10984,31891
2025-12-12 00:00:00+05:30,11035,11089,10880,10900,37619
2025-12-15 00:00:00+05:30,10905,11098,10830,11062,52244
2025-12-16 00:00:00+05:30,11032,11152,10945,11068,65436
2025-12-17 00:00:00+05:30,11075,11140,10987,11072,26971
2025-12-18 00:00:00+05:30,11106,11106,10800,10941,29991
2025-12-19 00:00:00+05:30,11020,11270,10962,11148,72371
2025-12-22 00:00:00+05:30,11158,11337,11102,11255,36705
2025-12-23 00:00:00+05:30,11255,11310,11186,11279,25921
2025-12-24 00:00:00+05:30,11240,11302,11198,11224,16358
2025-12-26 00:00:00+05:30,11199,11295,11149,11155,14887
2025-12-29 00:00:00+05:30,11120,11330,11120,11250,21182
2025-12-30 00:00:00+05:30,11236,11420,10913,10982,81987
2025-12-31 00:00:00+05:30,11020,11500,11020,11328,135869
2026-01-01 00:00:00+05:30,11350,11438,11220,11342,37154
2026-01-02 00:00:00+05:30,11342,11342,11072,11181,58889
2026-01-05 00:00:00+05:30,11199,11392,11100,11272,67952
2026-01-06 00:00:00+05:30,11272,11343,11101,11202,54515
2026-01-07 00:00:00+05:30,11224,11247,11029,11198,47399
2026-01-08 00:00:00+05:30,11200,11660,11138,11209,287380
2026-01-09 00:00:00+05:30,11201,11272,11016,11043,61206
2026-01-12 00:00:00+05:30,11134,11161,10640,10745,133197
2026-01-13 00:00:00+05:30,10785,10980,10624,10729,128939
2026-01-14 00:00:00+05:30,10799,10820,10600,10741,88075
2026-01-16 00:00:00+05:30,10799,10810,10621,10682,52028
2026-01-19 00:00:00+05:30,10631,10788,10505,10648,42224
2026-01-20 00:00:00+05:30,10689,10689,10520,10560,45417
2026-01-21 00:00:00+05:30,10561,10661,10540,10613,43298
2026-01-22 00:00:00+05:30,10649,10787,10639,10735,33459
2026-01-23 00:00:00+05:30,10767,10785,10596,10668,131490
2026-01-27 00:00:00+05:30,10711,10744,10481,10609,76057
2026-01-28 00:00:00+05:30,10582,10754,10580,10704,50260
2026-01-29 00:00:00+05:30,10749,10775,10641,10727,37478
2026-01-30 00:00:00+05:30,10640,10860,10640,10800,66246
2026-02-01 00:00:00+05:30,10800,10800,10453,10521,16670
2026-02-02 00:00:00+05:30,10560,10697,10400,10661,46807
2026-02-03 00:00:00+05:30,10800,11035,10800,10915,83810
2026-02-04 00:00:00+05:30,10915,11086,10827,10889,48360
2026-02-05 00:00:00+05:30,11000,11310,10816,10891,211732
2026-02-06 00:00:00+05:30,10915,11023,10675,10999,53765
2026-02-09 00:00:00+05:30,11032,11139,10957,11101,52907
2026-02-10 00:00:00+05:30,11063,11150,11005,11081,33459
2026-02-11 00:00:00+05:30,11097,11195,11015,11111,28692
2026-02-12 00:00:00+05:30,11113,11181,11000,11040,24946
2026-02-13 00:00:00+05:30,11040,11040,10821,10881,32683
2026-02-16 00:00:00+05:30,10881,11124,10862,11059,14772
