Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,162.5,168.57,162.21,166.99,11102986
2025-10-21 00:00:00+05:30,168.0,168.55,165.5,165.99,1155259
2025-10-23 00:00:00+05:30,167.52,172.84,166.65,171.31,13932402
2025-10-24 00:00:00+05:30,171.5,173.73,169.72,170.0,8783938
2025-10-27 00:00:00+05:30,171.0,173.64,170.0,172.04,6864109
2025-10-28 00:00:00+05:30,172.71,175.95,171.94,175.62,7622416
2025-10-29 00:00:00+05:30,175.93,175.93,171.69,172.23,5931417
2025-10-30 00:00:00+05:30,172.64,173.5,168.7,170.58,7269887
2025-10-31 00:00:00+05:30,164.1,164.9,156.01,156.56,61847492
2025-11-03 00:00:00+05:30,156.6,158.9,155.2,157.6,9593425
2025-11-04 00:00:00+05:30,158.2,158.28,154.87,156.16,16071978
2025-11-06 00:00:00+05:30,156.89,156.89,151.36,152.93,12978521
2025-11-07 00:00:00+05:30,152.93,155.18,151.76,153.71,16575533
2025-11-10 00:00:00+05:30,154.39,155.27,152.25,152.5,7260687
2025-11-11 00:00:00+05:30,152.8,153.5,149.32,150.94,6636127
2025-11-12 00:00:00+05:30,151.09,156.3,151.09,155.85,8535481
2025-11-13 00:00:00+05:30,155.5,156.07,154.0,154.13,3841132
2025-11-14 00:00:00+05:30,154.3,155.26,153.4,154.59,4141559
2025-11-17 00:00:00+05:30,154.99,157.75,154.55,154.78,5810479
2025-11-18 00:00:00+05:30,155.1,155.52,152.9,153.16,3409847
2025-11-19 00:00:00+05:30,153.9,153.9,152.1,152.88,3087236
2025-11-20 00:00:00+05:30,153.0,153.59,151.03,151.22,3386488
2025-11-21 00:00:00+05:30,151.17,151.25,148.52,149.11,7161555
2025-11-24 00:00:00+05:30,149.1,150.9,148.1,149.91,7482792
2025-11-25 00:00:00+05:30,150.0,150.31,148.57,149.63,4401144
2025-11-26 00:00:00+05:30,150.0,152.5,149.72,151.18,4999472
2025-11-27 00:00:00+05:30,152.0,152.22,149.25,149.64,4904968
2025-11-28 00:00:00+05:30,150.8,152.21,149.81,150.36,4578914
2025-12-01 00:00:00+05:30,151.11,151.2,149.38,150.05,6906158
2025-12-02 00:00:00+05:30,150.01,152.4,149.21,149.78,16272094
2025-12-03 00:00:00+05:30,150.0,150.19,145.83,146.78,6115298
2025-12-04 00:00:00+05:30,146.78,147.75,145.68,146.12,3582527
2025-12-05 00:00:00+05:30,146.5,146.64,139.5,140.08,14523533
2025-12-08 00:00:00+05:30,140.23,141.78,134.9,135.47,7995242
2025-12-09 00:00:00+05:30,135.71,141.4,134.25,141.0,9961299
2025-12-10 00:00:00+05:30,141.0,143.24,140.18,141.34,5203854
2025-12-11 00:00:00+05:30,141.5,145.6,140.51,145.29,6392124
2025-12-12 00:00:00+05:30,145.25,150.35,145.25,149.57,12007352
2025-12-15 00:00:00+05:30,149.1,152.2,148.01,151.79,9612799
2025-12-16 00:00:00+05:30,151.0,151.9,148.5,149.49,4429209
2025-12-17 00:00:00+05:30,150.05,150.38,147.05,147.84,4610967
2025-12-18 00:00:00+05:30,148.0,148.5,145.05,145.33,5703173
2025-12-19 00:00:00+05:30,146.6,150.5,144.95,150.09,10953964
2025-12-22 00:00:00+05:30,150.0,151.7,148.4,148.97,4041037
2025-12-23 00:00:00+05:30,149.5,150.5,148.45,149.34,2568295
2025-12-24 00:00:00+05:30,149.9,149.9,146.13,146.33,3955280
2025-12-26 00:00:00+05:30,146.51,146.62,144.49,144.88,3776615
2025-12-29 00:00:00+05:30,145.5,146.55,143.48,146.05,3804621
2025-12-30 00:00:00+05:30,146.15,146.6,144.73,145.82,5408553
2025-12-31 00:00:00+05:30,146.0,147.25,144.81,145.82,3603961
2026-01-01 00:00:00+05:30,146.04,146.43,143.8,144.18,4298978
2026-01-02 00:00:00+05:30,144.5,145.9,142.65,144.46,8134028
2026-01-05 00:00:00+05:30,147.0,150.19,145.95,147.19,12619074
2026-01-06 00:00:00+05:30,148.0,148.95,146.58,147.67,4109307
2026-01-07 00:00:00+05:30,147.6,148.35,146.1,147.64,4564682
2026-01-08 00:00:00+05:30,147.64,147.82,143.71,144.98,5855201
2026-01-09 00:00:00+05:30,145.3,146.25,143.29,144.03,3963220
2026-01-12 00:00:00+05:30,143.0,144.39,141.21,143.74,5300196
2026-01-13 00:00:00+05:30,144.25,144.75,141.05,143.37,5933750
2026-01-14 00:00:00+05:30,142.6,146.0,142.52,145.32,3933831
2026-01-16 00:00:00+05:30,144.6,145.9,143.23,144.84,8110476
2026-01-19 00:00:00+05:30,144.5,145.24,142.06,142.64,6442060
2026-01-20 00:00:00+05:30,142.6,142.75,138.9,139.39,8318034
