Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,126.2,127.35,126.11,127.19,1583899
2025-10-20 09:30:00+05:30,127.18,127.75,126.75,127.54,1220165
2025-10-20 09:45:00+05:30,127.54,127.84,127.15,127.18,1023375
2025-10-20 10:00:00+05:30,127.18,127.47,126.85,127.44,430246
2025-10-20 10:15:00+05:30,127.49,127.6,127.02,127.28,466276
2025-10-20 10:30:00+05:30,127.29,128.38,127.21,128.0,1531096
2025-10-20 10:45:00+05:30,128.0,128.2,127.75,128.1,724053
2025-10-20 11:00:00+05:30,128.14,128.49,127.88,128.1,1129415
2025-10-20 11:15:00+05:30,128.11,128.33,127.85,128.27,512892
2025-10-20 11:30:00+05:30,128.27,128.29,127.99,128.15,415467
2025-10-20 11:45:00+05:30,128.15,129.0,128.07,129.0,2069035
2025-10-20 12:00:00+05:30,128.99,129.17,128.77,128.94,1136163
2025-10-20 12:15:00+05:30,128.94,129.15,128.88,129.03,843845
2025-10-20 12:30:00+05:30,129.02,129.45,129.01,129.32,1939227
2025-10-20 12:45:00+05:30,129.25,129.35,129.0,129.25,890593
2025-10-20 13:00:00+05:30,129.27,129.38,129.11,129.11,764982
2025-10-20 13:15:00+05:30,129.15,129.18,128.84,129.04,1320389
2025-10-20 13:30:00+05:30,129.04,129.15,128.67,128.71,1049363
2025-10-20 13:45:00+05:30,128.71,129.05,128.64,128.91,1107489
2025-10-20 14:00:00+05:30,128.91,129.0,128.72,128.8,808125
2025-10-20 14:15:00+05:30,128.85,128.88,128.33,128.43,1089396
2025-10-20 14:30:00+05:30,128.43,128.75,128.2,128.25,834163
2025-10-20 14:45:00+05:30,128.28,128.4,127.85,127.86,1257445
2025-10-20 15:00:00+05:30,127.86,127.98,127.5,127.55,1426125
2025-10-20 15:15:00+05:30,127.55,127.84,127.18,127.84,2008871
2025-10-21 13:45:00+05:30,128.24,128.8,128.1,128.36,2716128
2025-10-21 14:00:00+05:30,128.4,128.44,127.44,127.55,2302129
2025-10-21 14:15:00+05:30,127.54,127.61,127.04,127.08,1141312
2025-10-21 14:30:00+05:30,127.08,127.11,126.45,127.03,1721962
2025-10-23 09:15:00+05:30,127.6,127.88,125.85,126.51,3815544
2025-10-23 09:30:00+05:30,126.58,126.6,126.04,126.18,2887281
2025-10-23 09:45:00+05:30,126.16,126.32,126.09,126.17,1692307
2025-10-23 10:00:00+05:30,126.17,126.77,126.14,126.76,1246682
2025-10-23 10:15:00+05:30,126.76,127.44,126.76,126.89,2313722
2025-10-23 10:30:00+05:30,126.91,126.98,126.25,126.65,874118
2025-10-23 10:45:00+05:30,126.66,126.87,126.41,126.83,743573
2025-10-23 11:00:00+05:30,126.83,127.0,126.69,126.77,618381
2025-10-23 11:15:00+05:30,126.74,126.77,126.38,126.54,601247
2025-10-23 11:30:00+05:30,126.55,126.58,126.35,126.58,484481
2025-10-23 11:45:00+05:30,126.58,126.78,126.45,126.58,460333
2025-10-23 12:00:00+05:30,126.59,126.9,126.49,126.75,1269644
2025-10-23 12:15:00+05:30,126.78,126.85,126.41,126.74,1446734
2025-10-23 12:30:00+05:30,126.74,126.8,126.71,126.74,566454
2025-10-23 12:45:00+05:30,126.74,126.81,126.57,126.76,751382
2025-10-23 13:00:00+05:30,126.77,126.82,126.66,126.79,1930496
2025-10-23 13:15:00+05:30,126.79,126.79,126.54,126.79,526229
2025-10-23 13:30:00+05:30,126.79,126.8,126.67,126.74,530136
2025-10-23 13:45:00+05:30,126.79,126.82,126.49,126.59,928508
2025-10-23 14:00:00+05:30,126.6,126.85,126.6,126.78,2589949
2025-10-23 14:15:00+05:30,126.78,126.8,126.51,126.61,972496
2025-10-23 14:30:00+05:30,126.63,127.47,126.59,127.29,1721511
