Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,16700,16999,16012,16075,647684
2025-10-21 00:00:00+05:30,16224,16264,16060,16122,66310
2025-10-23 00:00:00+05:30,16220,16259,15540,15611,736786
2025-10-24 00:00:00+05:30,15655,15733,15440,15490,436186
2025-10-27 00:00:00+05:30,15400,15611,15356,15505,302086
2025-10-28 00:00:00+05:30,15511,15541,15301,15372,244628
2025-10-29 00:00:00+05:30,15349,15576,15304,15512,195693
2025-10-30 00:00:00+05:30,15555,15714,15443,15644,211837
2025-10-31 00:00:00+05:30,15720,15750,15463,15494,224779
2025-11-03 00:00:00+05:30,15494,15610,15325,15485,273990
2025-11-04 00:00:00+05:30,15483,15532,15235,15254,172440
2025-11-06 00:00:00+05:30,15257,15324,15050,15079,229915
2025-11-07 00:00:00+05:30,15000,15061,14671,14849,302050
2025-11-10 00:00:00+05:30,14875,15006,14710,14867,252744
2025-11-11 00:00:00+05:30,14910,15153,14760,15094,183854
2025-11-12 00:00:00+05:30,15155,15369,15054,15307,260843
2025-11-13 00:00:00+05:30,15383,15579,15227,15323,244819
2025-11-14 00:00:00+05:30,15299,15570,15232,15419,254561
2025-11-17 00:00:00+05:30,15520,15698,15353,15641,232740
2025-11-18 00:00:00+05:30,15700,15771,15501,15697,190994
2025-11-19 00:00:00+05:30,15697,15775,15366,15540,178897
2025-11-20 00:00:00+05:30,15600,15600,15264,15313,204503
2025-11-21 00:00:00+05:30,15310,15310,14921,14965,207477
2025-11-24 00:00:00+05:30,14965,14990,14599,14669,266515
2025-11-25 00:00:00+05:30,14662,14797,14380,14401,257302
2025-11-26 00:00:00+05:30,14473,14877,14374,14825,286601
2025-11-27 00:00:00+05:30,14860,14890,14535,14643,151098
2025-11-28 00:00:00+05:30,14668,14708,14511,14601,137276
2025-12-01 00:00:00+05:30,14739,14739,14485,14566,233233
2025-12-02 00:00:00+05:30,14554,14620,14458,14494,149204
2025-12-03 00:00:00+05:30,14494,14500,13980,14018,348161
2025-12-04 00:00:00+05:30,14080,14105,13675,13707,259494
2025-12-05 00:00:00+05:30,13699,13894,13500,13749,243937
2025-12-08 00:00:00+05:30,13801,13988,13450,13563,291274
2025-12-09 00:00:00+05:30,13435,13630,13275,13517,235886
2025-12-10 00:00:00+05:30,13517,13718,12261,12351,974019
2025-12-11 00:00:00+05:30,12349,13030,12130,12988,1277223
2025-12-12 00:00:00+05:30,13100,13422,13005,13379,708140
2025-12-15 00:00:00+05:30,13313,13763,13231,13737,567800
2025-12-16 00:00:00+05:30,13727,13823,13559,13628,318608
2025-12-17 00:00:00+05:30,13650,13650,13182,13274,343154
2025-12-18 00:00:00+05:30,13200,13490,13020,13299,548533
2025-12-19 00:00:00+05:30,13295,13380,13089,13268,585596
2025-12-22 00:00:00+05:30,13240,13445,12800,12845,508602
2025-12-23 00:00:00+05:30,12844,12909,12520,12832,730977
2025-12-24 00:00:00+05:30,12755,13180,12584,12629,754957
2025-12-26 00:00:00+05:30,12700,12711,12250,12328,722112
2025-12-29 00:00:00+05:30,12344,12460,11821,11857,1312587
2025-12-30 00:00:00+05:30,11880,12026,11646,11767,1389580
2025-12-31 00:00:00+05:30,11856,12239,11755,12102,954154
2026-01-01 00:00:00+05:30,12112,12220,11820,12091,697383
2026-01-02 00:00:00+05:30,12162,12290,11935,12165,809776
2026-01-05 00:00:00+05:30,12220,12280,11992,12051,434173
2026-01-06 00:00:00+05:30,12099,12099,11658,11726,541945
2026-01-07 00:00:00+05:30,11640,11970,11480,11770,837880
2026-01-08 00:00:00+05:30,11780,12055,11708,11987,814042
2026-01-09 00:00:00+05:30,11980,12047,11750,11902,524085
2026-01-12 00:00:00+05:30,11880,11894,11674,11842,428491
2026-01-13 00:00:00+05:30,11950,11964,11180,11238,1231297
2026-01-14 00:00:00+05:30,11260,11526,11055,11103,928937
2026-01-16 00:00:00+05:30,11108,11231,10702,10732,891148
2026-01-19 00:00:00+05:30,10732,11060,10591,11024,704984
2026-01-20 00:00:00+05:30,11029,11144,10632,10682,476078
2026-01-21 00:00:00+05:30,10682,10790,10274,10517,915631
2026-01-22 00:00:00+05:30,10700,10717,10420,10512,422087
2026-01-23 00:00:00+05:30,10575,10664,10330,10360,486607
2026-01-27 00:00:00+05:30,10400,10400,9990,10184,702193
2026-01-28 00:00:00+05:30,10189,10350,10038,10279,661357
2026-01-29 00:00:00+05:30,10299,10436,10056,10337,672993
2026-01-30 00:00:00+05:30,10100,10843,9835,10446,1996677
2026-02-01 00:00:00+05:30,10590,11026,9968,10196,1489233
2026-02-02 00:00:00+05:30,10250,10530,10102,10339,822592
2026-02-03 00:00:00+05:30,11100,11200,10852,11031,1584528
2026-02-04 00:00:00+05:30,11032,11713,10926,11678,1509099
2026-02-05 00:00:00+05:30,11700,11713,11154,11376,1047347
2026-02-06 00:00:00+05:30,11349,11549,11172,11502,477648
2026-02-09 00:00:00+05:30,11655,11845,11550,11757,485574
2026-02-10 00:00:00+05:30,11820,11847,11563,11609,546495
2026-02-11 00:00:00+05:30,11640,11766,11490,11741,448093
2026-02-12 00:00:00+05:30,11740,11779,11590,11626,288312
2026-02-13 00:00:00+05:30,11500,11548,11250,11417,446533
2026-02-16 00:00:00+05:30,11540,11830,11363,11778,381556
