Datetime,open,high,low,close,volume
2025-06-30 00:00:00+05:30,849.0,851.35,836.1,837.8,2198839
2025-07-01 00:00:00+05:30,845.0,851.4,836.55,843.45,3414388
2025-07-02 00:00:00+05:30,850.0,850.65,824.5,831.9,3762205
2025-07-03 00:00:00+05:30,831.9,838.8,828.0,829.7,1521725
2025-07-04 00:00:00+05:30,830.0,840.0,826.0,836.0,1218416
2025-07-07 00:00:00+05:30,835.6,839.2,827.0,832.5,989754
2025-07-08 00:00:00+05:30,830.8,844.4,822.8,842.9,2418815
2025-07-09 00:00:00+05:30,844.5,844.5,826.25,829.65,2367307
2025-07-10 00:00:00+05:30,834.0,837.35,825.55,831.55,2347785
2025-07-11 00:00:00+05:30,828.0,832.25,811.25,815.1,1997098
2025-07-14 00:00:00+05:30,817.0,832.0,815.15,826.9,3604322
2025-07-15 00:00:00+05:30,826.9,842.5,824.2,833.5,2678446
2025-07-16 00:00:00+05:30,834.75,848.2,832.45,844.3,2082060
2025-07-17 00:00:00+05:30,849.5,856.0,839.05,847.05,3537631
2025-07-18 00:00:00+05:30,850.0,852.55,838.5,845.2,1809369
2025-07-21 00:00:00+05:30,845.2,853.8,840.75,852.6,1581419
2025-07-22 00:00:00+05:30,855.3,856.45,839.05,845.5,2580530
2025-07-23 00:00:00+05:30,846.1,849.0,828.3,841.95,3083239
2025-07-24 00:00:00+05:30,842.45,844.35,825.0,828.95,1695817
2025-07-25 00:00:00+05:30,828.6,835.75,822.4,826.3,2916944
2025-07-28 00:00:00+05:30,819.0,820.45,785.0,787.2,3684452
2025-07-29 00:00:00+05:30,786.5,805.0,786.1,800.35,1706638
2025-07-30 00:00:00+05:30,799.85,802.65,786.1,788.8,1601532
2025-07-31 00:00:00+05:30,780.0,789.8,779.05,784.25,2252239
2025-08-01 00:00:00+05:30,782.65,795.8,775.0,777.4,2572230
2025-08-04 00:00:00+05:30,780.0,796.0,774.0,792.85,1554859
2025-08-05 00:00:00+05:30,795.0,798.8,770.1,780.95,4368329
2025-08-06 00:00:00+05:30,780.9,781.75,755.1,764.5,4917073
2025-08-07 00:00:00+05:30,759.8,763.2,746.25,759.65,3898418
2025-08-08 00:00:00+05:30,759.2,768.6,743.15,747.2,1923910
2025-08-11 00:00:00+05:30,747.25,768.5,742.15,764.95,2614700
