Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,173.78,173.93,173.12,173.47,377032
2025-10-20 09:30:00+05:30,173.53,173.68,173.21,173.43,174670
2025-10-20 09:45:00+05:30,173.43,173.44,173.1,173.32,87919
2025-10-20 10:00:00+05:30,173.33,173.53,173.2,173.44,39076
2025-10-20 10:15:00+05:30,173.5,173.59,173.26,173.46,56393
2025-10-20 10:30:00+05:30,173.46,173.54,173.23,173.5,47770
2025-10-20 10:45:00+05:30,173.5,173.72,173.49,173.53,101695
2025-10-20 11:00:00+05:30,173.53,174.32,173.52,173.72,198350
2025-10-20 11:15:00+05:30,173.72,173.81,173.01,173.31,105470
2025-10-20 11:30:00+05:30,173.31,173.83,173.31,173.62,270027
2025-10-20 11:45:00+05:30,173.62,173.77,173.43,173.61,700625
2025-10-20 12:00:00+05:30,173.61,173.92,173.49,173.73,510481
2025-10-20 12:15:00+05:30,173.72,173.73,173.57,173.65,112064
2025-10-20 12:30:00+05:30,173.65,173.73,173.52,173.73,265232
2025-10-20 12:45:00+05:30,173.69,173.7,173.45,173.63,187453
2025-10-20 13:00:00+05:30,173.63,173.72,173.57,173.65,156208
2025-10-20 13:15:00+05:30,173.66,173.72,173.57,173.66,156921
2025-10-20 13:30:00+05:30,173.66,173.72,173.59,173.59,143949
2025-10-20 13:45:00+05:30,173.59,173.64,173.01,173.11,305292
2025-10-20 14:00:00+05:30,173.11,173.56,172.86,173.43,243666
2025-10-20 14:15:00+05:30,173.42,173.65,172.81,172.82,149113
2025-10-20 14:30:00+05:30,172.81,173.05,172.72,172.94,141215
2025-10-20 14:45:00+05:30,172.94,172.96,172.79,172.79,195117
2025-10-20 15:00:00+05:30,172.79,173.04,172.76,172.82,380326
2025-10-20 15:15:00+05:30,172.82,173.46,172.6,173.0,813235
2025-10-21 13:45:00+05:30,173.41,173.59,172.95,173.2,181276
2025-10-21 14:00:00+05:30,173.2,173.25,172.92,173.18,111771
2025-10-21 14:15:00+05:30,173.18,173.24,173.02,173.14,66945
2025-10-21 14:30:00+05:30,173.14,173.3,172.57,172.91,181061
2025-10-23 09:15:00+05:30,173.48,173.82,173.01,173.82,335073
2025-10-23 09:30:00+05:30,173.83,174.26,173.63,174.04,192949
2025-10-23 09:45:00+05:30,174.04,174.41,173.77,173.83,324187
2025-10-23 10:00:00+05:30,173.87,173.96,173.66,173.94,172647
2025-10-23 10:15:00+05:30,173.94,174.25,173.75,174.17,128819
2025-10-23 10:30:00+05:30,174.18,174.45,174.08,174.33,203828
2025-10-23 10:45:00+05:30,174.33,174.65,174.09,174.22,277466
2025-10-23 11:00:00+05:30,174.21,174.7,174.08,174.65,164541
2025-10-23 11:15:00+05:30,174.66,174.7,174.41,174.66,283115
2025-10-23 11:30:00+05:30,174.69,175.0,174.63,174.65,261018
2025-10-23 11:45:00+05:30,174.64,174.79,174.56,174.75,118829
2025-10-23 12:00:00+05:30,174.75,175.48,174.72,175.4,576728
2025-10-23 12:15:00+05:30,175.34,175.85,175.28,175.53,523004
2025-10-23 12:30:00+05:30,175.53,175.89,175.51,175.73,181648
2025-10-23 12:45:00+05:30,175.72,175.8,175.54,175.72,162382
2025-10-23 13:00:00+05:30,175.71,175.71,174.99,175.01,295765
2025-10-23 13:15:00+05:30,175.01,175.1,174.76,175.02,173913
2025-10-23 13:30:00+05:30,175.04,175.04,174.75,174.76,109860
2025-10-23 13:45:00+05:30,174.76,174.87,174.69,174.69,95295
2025-10-23 14:00:00+05:30,174.69,174.96,174.56,174.94,153072
2025-10-23 14:15:00+05:30,174.94,175.01,174.65,174.98,148788
2025-10-23 14:30:00+05:30,174.98,175.03,174.8,174.81,119351
2025-10-23 14:45:00+05:30,174.81,175.24,174.8,175.1,221841
2025-10-23 15:00:00+05:30,175.12,175.14,174.62,174.65,585267
2025-10-23 15:15:00+05:30,174.65,174.74,174.3,174.51,1023809
2025-10-24 09:15:00+05:30,174.46,175.36,174.17,174.99,720548
2025-10-24 09:30:00+05:30,175.08,175.65,174.86,175.23,537810
2025-10-24 09:45:00+05:30,175.24,175.52,174.94,175.52,153000
2025-10-24 10:00:00+05:30,175.53,175.63,175.22,175.45,278985
2025-10-24 10:15:00+05:30,175.45,175.48,174.58,174.64,228378
2025-10-24 10:30:00+05:30,174.6,174.94,174.54,174.58,281480
2025-10-24 10:45:00+05:30,174.56,174.72,174.49,174.55,521079
2025-10-24 11:00:00+05:30,174.55,174.79,174.37,174.58,500123
2025-10-24 11:15:00+05:30,174.58,174.82,174.4,174.56,965185
2025-10-24 11:30:00+05:30,174.56,175.24,174.56,175.22,397122
2025-10-24 11:45:00+05:30,175.22,175.7,175.06,175.62,1565935
2025-10-24 12:00:00+05:30,175.61,176.89,175.54,176.25,780784
2025-10-24 12:15:00+05:30,176.25,176.26,176.01,176.04,1244933
2025-10-24 12:30:00+05:30,176.04,176.04,175.59,175.93,316388
2025-10-24 12:45:00+05:30,175.93,175.99,175.53,175.55,170326
2025-10-24 13:00:00+05:30,175.55,175.78,175.43,175.46,196728
2025-10-24 13:15:00+05:30,175.45,175.83,174.75,174.78,1005921
2025-10-24 13:30:00+05:30,174.78,175.24,174.56,175.06,681754
2025-10-24 13:45:00+05:30,175.06,175.22,174.84,175.13,461294
2025-10-24 14:00:00+05:30,175.11,175.33,174.75,175.11,417126
2025-10-24 14:15:00+05:30,175.07,175.57,174.9,175.48,614237
2025-10-24 14:30:00+05:30,175.48,175.55,174.95,175.01,246549
2025-10-24 14:45:00+05:30,175.01,175.19,174.68,174.77,338677
2025-10-24 15:00:00+05:30,174.75,175.6,174.73,175.49,764222
2025-10-24 15:15:00+05:30,175.48,176.01,175.48,175.72,1207005
2025-10-27 09:15:00+05:30,175.58,176.01,174.93,175.36,756648
2025-10-27 09:30:00+05:30,175.37,175.78,175.24,175.58,155496
2025-10-27 09:45:00+05:30,175.58,175.8,175.39,175.65,115667
2025-10-27 10:00:00+05:30,175.65,175.86,175.53,175.77,136361
2025-10-27 10:15:00+05:30,175.76,175.76,175.43,175.53,64487
2025-10-27 10:30:00+05:30,175.53,175.53,174.94,175.01,189523
