Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,598.0,600.95,593.75,596.2,90040
2025-10-20 10:15:00+05:30,596.6,596.6,591.25,594.45,144141
2025-10-20 11:15:00+05:30,594.45,595.5,588.45,595.0,777856
2025-10-20 12:15:00+05:30,595.0,595.95,593.45,595.7,59846
2025-10-20 13:15:00+05:30,595.7,596.6,595.1,596.0,53210
2025-10-20 14:15:00+05:30,596.0,597.2,595.2,596.95,162993
2025-10-20 15:15:00+05:30,596.95,597.95,596.6,597.9,120278
2025-10-21 13:45:00+05:30,592.95,597.85,592.1,595.55,65794
2025-10-23 09:15:00+05:30,599.55,610.45,594.25,609.7,612954
2025-10-23 10:15:00+05:30,609.75,610.85,607.0,607.75,226076
2025-10-23 11:15:00+05:30,607.75,609.35,605.3,608.95,180443
2025-10-23 12:15:00+05:30,608.95,610.95,608.95,609.8,92737
2025-10-23 13:15:00+05:30,609.8,610.45,606.75,608.5,109454
2025-10-23 14:15:00+05:30,608.5,609.75,606.35,606.75,141627
2025-10-23 15:15:00+05:30,606.75,607.65,605.65,605.65,103137
2025-10-24 09:15:00+05:30,607.15,608.5,603.85,604.1,79777
2025-10-24 10:15:00+05:30,604.0,606.65,603.35,604.3,63233
2025-10-24 11:15:00+05:30,604.3,604.35,600.8,601.4,28889
2025-10-24 12:15:00+05:30,601.4,604.45,601.1,601.7,25644
2025-10-24 13:15:00+05:30,601.7,602.65,599.5,600.15,25850
2025-10-24 14:15:00+05:30,600.15,602.7,598.75,602.7,139604
2025-10-24 15:15:00+05:30,602.65,603.8,602.0,602.0,28975
2025-10-27 09:15:00+05:30,601.95,604.95,600.0,602.15,968697
2025-10-27 10:15:00+05:30,602.15,604.45,602.0,603.65,63502
2025-10-27 11:15:00+05:30,603.65,604.05,600.65,600.95,109068
2025-10-27 12:15:00+05:30,600.95,601.45,598.0,600.05,153677
2025-10-27 13:15:00+05:30,600.05,601.95,600.0,600.0,347745
2025-10-27 14:15:00+05:30,600.1,602.0,599.25,600.05,492075
2025-10-27 15:15:00+05:30,599.75,601.5,599.0,601.5,72413
