Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,598.0,600.95,588.45,596.75,1409667
2025-10-21 00:00:00+05:30,592.95,597.85,592.1,595.3,68916
2025-10-23 00:00:00+05:30,599.55,610.95,594.25,607.15,1468888
2025-10-24 00:00:00+05:30,607.15,608.5,598.75,601.95,392751
2025-10-27 00:00:00+05:30,601.95,604.95,598.0,600.75,2210274
2025-10-28 00:00:00+05:30,601.4,604.0,598.35,600.5,840483
2025-10-29 00:00:00+05:30,604.0,608.65,600.15,601.0,3541088
2025-10-30 00:00:00+05:30,601.0,604.5,594.25,600.4,740839
2025-10-31 00:00:00+05:30,603.5,604.2,589.15,591.15,931369
2025-11-03 00:00:00+05:30,592.95,601.05,590.0,599.25,1409594
2025-11-04 00:00:00+05:30,599.0,608.95,598.05,607.55,695525
2025-11-06 00:00:00+05:30,609.8,609.8,601.45,603.75,563718
2025-11-07 00:00:00+05:30,603.0,616.95,599.85,615.35,815618
2025-11-10 00:00:00+05:30,619.8,620.75,612.0,614.8,872520
2025-11-11 00:00:00+05:30,612.2,626.65,609.1,624.7,854265
2025-11-12 00:00:00+05:30,627.75,635.3,626.1,632.95,2488995
2025-11-13 00:00:00+05:30,631.1,633.95,625.9,630.1,592016
2025-11-14 00:00:00+05:30,630.1,633.85,625.05,629.45,652101
2025-11-17 00:00:00+05:30,628.0,632.9,626.15,630.6,363830
2025-11-18 00:00:00+05:30,632.1,632.1,620.7,626.8,587932
2025-11-19 00:00:00+05:30,626.1,626.1,609.0,613.95,1774466
2025-11-20 00:00:00+05:30,615.0,620.95,609.05,618.4,969004
2025-11-21 00:00:00+05:30,621.0,621.0,609.6,610.9,387131
2025-11-24 00:00:00+05:30,610.9,614.65,604.0,607.35,2202503
2025-11-25 00:00:00+05:30,602.75,616.0,602.75,612.25,905724
2025-11-26 00:00:00+05:30,615.0,623.0,613.3,621.9,284416
2025-11-27 00:00:00+05:30,624.9,627.95,621.0,625.25,441657
2025-11-28 00:00:00+05:30,625.95,626.8,614.5,619.75,1442638
2025-12-01 00:00:00+05:30,619.75,623.3,616.0,621.55,407679
2025-12-02 00:00:00+05:30,620.0,623.0,613.4,616.55,2230559
2025-12-03 00:00:00+05:30,614.0,615.75,607.25,611.25,985834
2025-12-04 00:00:00+05:30,608.45,617.0,606.4,615.35,367145
2025-12-05 00:00:00+05:30,615.0,627.2,612.95,626.05,386465
2025-12-08 00:00:00+05:30,629.05,634.8,613.35,616.25,1711904
2025-12-09 00:00:00+05:30,616.25,631.25,614.9,623.6,1276946
2025-12-10 00:00:00+05:30,620.0,646.0,619.0,642.85,2073986
2025-12-11 00:00:00+05:30,644.5,647.55,633.8,635.85,661780
2025-12-12 00:00:00+05:30,635.85,649.0,633.3,647.55,845174
2025-12-15 00:00:00+05:30,650.0,651.25,639.35,648.5,2602182
2025-12-16 00:00:00+05:30,651.35,652.8,634.25,637.95,2339227
2025-12-17 00:00:00+05:30,638.0,639.6,627.0,630.5,361180
2025-12-18 00:00:00+05:30,632.05,647.45,625.95,645.65,2632156
2025-12-19 00:00:00+05:30,649.9,653.0,647.65,650.4,820206
2025-12-22 00:00:00+05:30,650.0,652.1,645.05,650.5,543562
2025-12-23 00:00:00+05:30,650.0,656.2,646.0,650.9,850478
2025-12-24 00:00:00+05:30,650.0,654.0,648.75,652.05,672563
2025-12-26 00:00:00+05:30,652.0,654.6,645.95,649.95,253980
2025-12-29 00:00:00+05:30,648.05,653.95,647.75,651.2,462974
2025-12-30 00:00:00+05:30,651.0,658.0,648.35,654.85,1904206
2025-12-31 00:00:00+05:30,659.0,669.5,654.8,668.25,1551003
2026-01-01 00:00:00+05:30,669.3,676.4,666.0,674.3,393336
2026-01-02 00:00:00+05:30,674.3,681.5,671.35,678.3,351756
2026-01-05 00:00:00+05:30,680.0,688.4,678.3,683.85,579420
2026-01-06 00:00:00+05:30,685.05,697.5,685.05,688.45,920286
2026-01-07 00:00:00+05:30,688.45,695.5,682.4,684.6,1565458
2026-01-08 00:00:00+05:30,684.6,686.8,671.05,681.35,1909675
2026-01-09 00:00:00+05:30,684.0,693.0,671.1,685.45,789798
2026-01-12 00:00:00+05:30,691.1,696.85,677.8,680.75,1326285
2026-01-13 00:00:00+05:30,684.55,706.8,671.8,681.45,4801288
2026-01-14 00:00:00+05:30,685.0,700.0,665.8,669.25,4004960
2026-01-16 00:00:00+05:30,669.25,683.75,667.3,678.0,4417190
2026-01-19 00:00:00+05:30,678.0,680.0,657.0,660.95,1068763
2026-01-20 00:00:00+05:30,660.5,668.2,649.2,651.8,644527
2026-01-21 00:00:00+05:30,645.65,653.95,638.15,647.1,1363072
2026-01-22 00:00:00+05:30,650.05,658.0,646.95,653.15,1055554
2026-01-23 00:00:00+05:30,653.0,653.0,636.1,638.7,744889
2026-01-27 00:00:00+05:30,637.15,647.55,628.5,643.85,1758161
2026-01-28 00:00:00+05:30,640.8,650.8,638.9,642.4,438995
2026-01-29 00:00:00+05:30,643.0,643.0,623.7,625.3,1251462
2026-01-30 00:00:00+05:30,625.3,640.15,621.0,636.85,1484926
2026-02-01 00:00:00+05:30,640.05,651.0,626.95,643.45,302890
2026-02-02 00:00:00+05:30,643.0,646.6,631.05,641.8,632919
2026-02-03 00:00:00+05:30,651.2,662.8,651.2,654.4,888413
2026-02-04 00:00:00+05:30,658.45,663.6,649.4,660.35,762585
2026-02-05 00:00:00+05:30,660.2,660.3,653.65,655.2,324372
2026-02-06 00:00:00+05:30,653.0,656.55,645.15,651.35,499107
2026-02-09 00:00:00+05:30,650.35,658.0,647.1,648.3,1947423
