Datetime,open,high,low,close,volume
2025-06-30 09:15:00+05:30,72.38,73.04,72.21,72.71,6283636
2025-06-30 10:15:00+05:30,72.74,72.9,72.42,72.8,2011642
2025-06-30 11:15:00+05:30,72.81,73.35,72.72,72.8,3153489
2025-06-30 12:15:00+05:30,72.8,72.89,72.63,72.75,948500
2025-06-30 13:15:00+05:30,72.74,72.98,72.65,72.71,1392018
2025-06-30 14:15:00+05:30,72.71,72.96,72.65,72.95,2644571
2025-06-30 15:15:00+05:30,72.95,72.96,72.76,72.8,1839601
2025-07-01 09:15:00+05:30,73.25,75.85,73.25,74.53,33019472
2025-07-01 10:15:00+05:30,74.48,76.0,74.41,75.9,15094909
2025-07-01 11:15:00+05:30,75.92,76.3,75.73,76.12,18567496
2025-07-01 12:15:00+05:30,76.13,76.8,76.12,76.79,16792320
2025-07-01 13:15:00+05:30,76.8,77.1,76.66,76.96,16672588
2025-07-01 14:15:00+05:30,76.94,77.31,76.88,77.25,17549933
2025-07-01 15:15:00+05:30,77.29,77.39,77.04,77.2,11532675
2025-07-02 09:15:00+05:30,77.25,77.55,76.82,77.04,12736299
2025-07-02 10:15:00+05:30,77.03,77.42,76.92,77.2,5917670
2025-07-02 11:15:00+05:30,77.2,77.45,77.05,77.07,4705979
2025-07-02 12:15:00+05:30,77.07,77.15,76.85,77.05,2900590
2025-07-02 13:15:00+05:30,77.05,77.15,76.92,77.15,3251939
2025-07-02 14:15:00+05:30,77.13,77.35,77.02,77.34,4422817
2025-07-02 15:15:00+05:30,77.34,77.37,77.03,77.03,2951245
2025-07-03 09:15:00+05:30,77.4,77.84,76.95,77.13,9898576
2025-07-03 10:15:00+05:30,77.15,77.44,77.11,77.29,3351757
2025-07-03 11:15:00+05:30,77.3,77.75,77.23,77.73,4304020
2025-07-03 12:15:00+05:30,77.7,77.75,77.32,77.58,3287525
2025-07-03 13:15:00+05:30,77.6,77.79,77.53,77.75,3967401
2025-07-03 14:15:00+05:30,77.75,77.76,77.48,77.7,5320867
2025-07-03 15:15:00+05:30,77.7,77.78,77.4,77.41,3576123
2025-07-04 09:15:00+05:30,78.15,78.15,77.16,78.0,6482270
2025-07-04 10:15:00+05:30,78.0,78.45,77.81,78.22,5137567
2025-07-04 11:15:00+05:30,78.24,78.27,77.82,77.95,5140274
2025-07-04 12:15:00+05:30,77.96,77.99,77.58,77.83,4403461
2025-07-04 13:15:00+05:30,77.83,78.09,77.63,77.85,3183878
2025-07-04 14:15:00+05:30,77.89,77.95,77.56,77.95,3156678
2025-07-04 15:15:00+05:30,77.93,77.98,77.81,77.9,2514155
2025-07-07 09:15:00+05:30,77.5,78.3,77.41,77.84,7220455
2025-07-07 10:15:00+05:30,77.85,78.16,77.78,77.98,2794226
2025-07-07 11:15:00+05:30,77.98,78.0,77.65,77.77,2925938
2025-07-07 12:15:00+05:30,77.77,77.77,77.3,77.34,4335391
2025-07-07 13:15:00+05:30,77.37,77.9,77.22,77.88,3255813
2025-07-07 14:15:00+05:30,77.89,77.96,77.65,77.76,3982860
2025-07-07 15:15:00+05:30,77.78,77.79,77.5,77.53,1539899
2025-07-08 09:15:00+05:30,77.71,78.0,77.55,77.62,3949825
2025-07-08 10:15:00+05:30,77.62,77.77,77.32,77.52,2761584
