Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,743.0,770.65,726.3,759.75,9184006
2025-10-21 00:00:00+05:30,761.95,762.9,756.0,758.45,350896
2025-10-23 00:00:00+05:30,759.0,766.0,751.8,759.6,5363491
2025-10-24 00:00:00+05:30,759.95,759.95,750.85,755.05,2001556
2025-10-27 00:00:00+05:30,755.7,772.0,753.15,770.05,3590863
2025-10-28 00:00:00+05:30,773.9,801.95,772.45,799.75,8948361
2025-10-29 00:00:00+05:30,804.0,810.05,793.8,807.45,4077629
2025-10-30 00:00:00+05:30,807.0,810.0,797.25,800.95,4103276
2025-10-31 00:00:00+05:30,800.95,806.5,792.0,794.8,3511425
2025-11-03 00:00:00+05:30,794.8,803.7,791.15,796.9,2640561
2025-11-04 00:00:00+05:30,797.05,799.25,785.1,790.2,3505823
2025-11-06 00:00:00+05:30,791.0,797.5,777.35,786.2,2640541
2025-11-07 00:00:00+05:30,782.15,801.95,779.1,797.25,2079256
2025-11-10 00:00:00+05:30,791.0,807.8,791.0,799.35,1894738
2025-11-11 00:00:00+05:30,799.7,828.2,792.8,826.1,7150449
2025-11-12 00:00:00+05:30,830.05,873.0,827.0,864.4,11714519
2025-11-13 00:00:00+05:30,862.0,892.35,859.05,863.45,9325204
2025-11-14 00:00:00+05:30,864.0,872.0,845.85,848.25,4460991
2025-11-17 00:00:00+05:30,852.0,861.75,838.5,854.05,4019335
2025-11-18 00:00:00+05:30,854.05,858.5,845.05,847.95,1958051
2025-11-19 00:00:00+05:30,850.0,850.3,836.3,839.6,2317710
2025-11-20 00:00:00+05:30,844.0,844.0,827.5,829.4,5136903
2025-11-21 00:00:00+05:30,832.2,856.8,830.55,846.55,7304707
2025-11-24 00:00:00+05:30,847.1,857.5,832.55,836.05,5082933
2025-11-25 00:00:00+05:30,836.05,844.9,829.05,839.9,3021941
2025-11-26 00:00:00+05:30,844.9,858.7,841.0,850.7,2939823
2025-11-27 00:00:00+05:30,853.0,863.75,846.55,857.45,3016014
2025-11-28 00:00:00+05:30,859.65,863.0,851.5,858.55,2901007
2025-12-01 00:00:00+05:30,860.0,862.4,842.65,847.15,3019328
2025-12-02 00:00:00+05:30,847.15,860.5,845.4,850.3,2674933
2025-12-03 00:00:00+05:30,854.0,856.3,841.35,846.9,2063761
2025-12-04 00:00:00+05:30,846.0,873.0,842.9,863.0,4259999
2025-12-05 00:00:00+05:30,863.65,874.4,856.1,870.1,3377823
2025-12-08 00:00:00+05:30,870.1,873.6,834.5,841.4,2015558
2025-12-09 00:00:00+05:30,841.45,848.7,832.15,844.35,3015385
2025-12-10 00:00:00+05:30,847.8,851.6,828.15,833.85,2623610
2025-12-11 00:00:00+05:30,834.45,842.8,827.5,835.55,2810755
2025-12-12 00:00:00+05:30,840.05,851.2,839.0,846.15,3492109
2025-12-15 00:00:00+05:30,845.95,853.5,835.4,851.25,2458486
2025-12-16 00:00:00+05:30,854.0,856.8,841.85,845.05,2811166
