Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,146.5,146.74,144.43,144.64,1325242
2025-10-20 10:15:00+05:30,144.64,146.18,144.5,145.81,517143
2025-10-20 11:15:00+05:30,145.81,146.55,145.8,146.24,270339
2025-10-20 12:15:00+05:30,146.24,146.82,146.05,146.76,143332
2025-10-20 13:15:00+05:30,146.76,147.4,146.35,146.81,361132
2025-10-20 14:15:00+05:30,146.81,146.98,146.4,146.64,437231
2025-10-20 15:15:00+05:30,146.64,147.35,146.64,147.33,220476
2025-10-21 13:45:00+05:30,147.2,150.8,147.2,149.2,2958637
2025-10-23 09:15:00+05:30,150.0,151.87,149.41,151.17,2407239
2025-10-23 10:15:00+05:30,151.16,151.49,150.51,150.67,856253
2025-10-23 11:15:00+05:30,150.67,155.13,150.6,154.65,5072318
2025-10-23 12:15:00+05:30,154.63,154.66,153.41,153.5,1507350
2025-10-23 13:15:00+05:30,153.5,154.23,152.79,153.42,844290
2025-10-23 14:15:00+05:30,153.42,153.72,151.8,151.85,1028997
2025-10-23 15:15:00+05:30,151.85,153.0,151.8,153.0,421432
2025-10-24 09:15:00+05:30,153.0,154.8,152.8,154.1,2022862
2025-10-24 10:15:00+05:30,154.1,156.7,153.86,156.39,3385207
2025-10-24 11:15:00+05:30,156.4,156.9,155.6,155.9,1687397
2025-10-24 12:15:00+05:30,155.9,156.24,154.75,155.09,936340
2025-10-24 13:15:00+05:30,155.09,155.18,153.74,154.15,1035234
2025-10-24 14:15:00+05:30,154.15,154.5,153.38,154.31,922100
2025-10-24 15:15:00+05:30,154.25,154.47,153.6,153.71,587730
2025-10-27 09:15:00+05:30,154.47,155.69,153.92,154.25,1292096
2025-10-27 10:15:00+05:30,154.25,154.4,153.12,153.19,922031
2025-10-27 11:15:00+05:30,153.19,154.41,152.94,153.91,1072004
2025-10-27 12:15:00+05:30,153.91,153.98,153.21,153.31,275237
2025-10-27 13:15:00+05:30,153.31,153.4,152.6,153.21,401959
2025-10-27 14:15:00+05:30,153.21,153.65,152.8,153.19,628521
2025-10-27 15:15:00+05:30,153.19,153.65,152.87,152.87,350819
2025-10-28 09:15:00+05:30,153.3,154.0,152.88,153.25,823731
2025-10-28 10:15:00+05:30,153.25,154.1,152.65,154.05,1014829
2025-10-28 11:15:00+05:30,154.01,154.95,153.77,154.67,648191
2025-10-28 12:15:00+05:30,154.67,154.9,154.14,154.21,377310
2025-10-28 13:15:00+05:30,154.21,154.69,153.03,153.15,580508
2025-10-28 14:15:00+05:30,153.15,153.56,152.5,153.55,699281
2025-10-28 15:15:00+05:30,153.55,153.64,153.05,153.2,443434
2025-10-29 09:15:00+05:30,153.0,156.7,152.17,156.66,2061988
2025-10-29 10:15:00+05:30,156.69,158.2,155.87,155.87,2789165
2025-10-29 11:15:00+05:30,155.98,157.0,155.33,156.43,587559
2025-10-29 12:15:00+05:30,156.43,157.77,156.3,157.36,570983
2025-10-29 13:15:00+05:30,157.36,158.44,157.31,158.44,1372522
2025-10-29 14:15:00+05:30,158.44,159.3,155.74,155.8,3406329
2025-10-29 15:15:00+05:30,155.86,156.5,155.75,156.5,872786
2025-10-30 09:15:00+05:30,156.22,156.5,154.44,154.84,1638490
2025-10-30 10:15:00+05:30,154.88,155.37,154.61,155.25,396343
2025-10-30 11:15:00+05:30,155.25,156.35,154.64,154.65,525615
2025-10-30 12:15:00+05:30,154.65,155.15,154.22,154.33,272993
2025-10-30 13:15:00+05:30,154.33,154.66,153.8,153.87,237403
2025-10-30 14:15:00+05:30,153.87,154.8,153.87,154.59,536313
2025-10-30 15:15:00+05:30,154.57,155.34,154.25,154.58,489058
2025-10-31 09:15:00+05:30,154.55,156.37,154.26,155.78,1271265
2025-10-31 10:15:00+05:30,155.73,156.15,155.0,155.9,736214
2025-10-31 11:15:00+05:30,155.9,157.26,155.41,156.43,1330231
2025-10-31 12:15:00+05:30,156.43,156.95,155.7,155.8,441196
2025-10-31 13:15:00+05:30,155.8,157.17,155.01,156.89,844430
2025-10-31 14:15:00+05:30,156.89,157.0,154.91,155.08,1027301
2025-10-31 15:15:00+05:30,155.04,155.32,154.88,154.88,350176
2025-11-03 09:15:00+05:30,155.12,158.5,155.05,157.43,2643370
2025-11-03 10:15:00+05:30,157.43,157.56,156.1,156.85,573938
2025-11-03 11:15:00+05:30,156.85,156.98,155.65,156.11,515282
2025-11-03 12:15:00+05:30,156.11,156.65,155.91,156.4,237096
2025-11-03 13:15:00+05:30,156.4,157.06,156.36,156.69,325288
2025-11-03 14:15:00+05:30,156.6,158.47,156.55,157.34,1377388
2025-11-03 15:15:00+05:30,157.34,157.8,156.99,157.46,599719
2025-11-04 09:15:00+05:30,157.49,157.83,155.63,156.24,989187
2025-11-04 10:15:00+05:30,156.27,156.8,155.1,155.43,837664
2025-11-04 11:15:00+05:30,155.43,157.16,155.35,156.59,847523
2025-11-04 12:15:00+05:30,156.59,156.59,155.81,156.17,304609
2025-11-04 13:15:00+05:30,156.17,157.12,154.86,155.81,653314
2025-11-04 14:15:00+05:30,155.81,155.85,154.42,154.76,486780
2025-11-04 15:15:00+05:30,154.76,155.38,154.41,155.31,332507
2025-11-06 09:15:00+05:30,155.4,155.73,151.16,151.54,1377289
2025-11-06 10:15:00+05:30,151.54,152.89,151.0,152.7,859744
2025-11-06 11:15:00+05:30,152.7,152.88,150.76,150.92,372917
2025-11-06 12:15:00+05:30,151.0,152.0,150.91,151.75,205584
2025-11-06 13:15:00+05:30,151.69,152.3,150.05,150.3,345083
2025-11-06 14:15:00+05:30,150.3,150.95,150.01,150.11,556181
2025-11-06 15:15:00+05:30,150.15,150.23,149.3,149.85,474883
2025-11-07 09:15:00+05:30,148.5,150.08,145.7,148.53,2194040
2025-11-07 10:15:00+05:30,148.53,149.0,148.31,148.6,259796
2025-11-07 11:15:00+05:30,148.65,149.7,148.6,149.28,312148
