Datetime,open,high,low,close,volume
2025-06-30 09:15:00+05:30,788.55,789.9,784.0,784.5,256092
2025-06-30 10:15:00+05:30,784.5,785.5,782.1,782.1,210757
2025-06-30 11:15:00+05:30,781.6,784.25,781.0,783.25,113024
2025-06-30 12:15:00+05:30,783.1,783.65,778.55,779.55,102688
2025-06-30 13:15:00+05:30,779.4,780.4,777.0,779.95,88281
2025-06-30 14:15:00+05:30,779.95,783.3,779.35,781.75,143086
2025-06-30 15:15:00+05:30,781.8,781.9,780.6,781.7,113942
2025-07-01 09:15:00+05:30,784.1,785.25,773.4,773.4,252693
2025-07-01 10:15:00+05:30,773.2,775.6,771.3,773.0,146929
2025-07-01 11:15:00+05:30,773.0,775.5,772.1,774.85,123525
2025-07-01 12:15:00+05:30,774.9,776.75,774.65,775.55,87804
2025-07-01 13:15:00+05:30,775.4,775.55,774.0,774.8,55535
2025-07-01 14:15:00+05:30,774.8,776.35,773.6,775.7,127962
2025-07-01 15:15:00+05:30,775.75,776.2,774.25,775.0,82590
2025-07-02 09:15:00+05:30,776.0,780.85,773.5,778.35,299509
2025-07-02 10:15:00+05:30,778.35,779.7,775.35,778.45,105345
2025-07-02 11:15:00+05:30,778.45,780.5,778.0,778.3,97323
2025-07-02 12:15:00+05:30,777.9,778.0,772.1,772.5,112511
2025-07-02 13:15:00+05:30,772.55,773.9,768.5,773.7,149970
2025-07-02 14:15:00+05:30,773.7,775.9,772.1,775.5,200263
2025-07-02 15:15:00+05:30,775.5,775.9,775.5,775.8,122961
2025-07-03 09:15:00+05:30,776.9,783.15,774.15,779.9,176735
2025-07-03 10:15:00+05:30,780.0,782.75,778.25,779.55,115141
2025-07-03 11:15:00+05:30,779.55,780.0,777.15,777.75,64100
2025-07-03 12:15:00+05:30,777.75,783.0,777.25,781.5,98812
2025-07-03 13:15:00+05:30,781.5,782.0,780.15,781.25,62427
2025-07-03 14:15:00+05:30,781.25,781.65,777.7,779.5,68630
2025-07-03 15:15:00+05:30,779.45,780.0,777.6,780.0,72243
2025-07-04 09:15:00+05:30,779.6,785.9,778.5,780.5,175960
2025-07-04 10:15:00+05:30,780.5,780.75,776.0,778.15,86243
2025-07-04 11:15:00+05:30,778.15,778.6,773.15,776.4,82659
2025-07-04 12:15:00+05:30,776.1,777.0,774.7,776.25,64044
2025-07-04 13:15:00+05:30,776.65,779.0,776.55,778.25,80066
2025-07-04 14:15:00+05:30,778.3,781.7,778.1,781.05,122367
2025-07-04 15:15:00+05:30,780.9,781.5,780.8,781.25,89199
2025-07-07 09:15:00+05:30,782.65,785.5,775.05,784.1,272124
2025-07-07 10:15:00+05:30,784.1,786.55,783.5,784.05,110514
2025-07-07 11:15:00+05:30,784.05,784.6,779.6,780.5,145667
2025-07-07 12:15:00+05:30,780.5,782.85,779.6,782.45,58556
2025-07-07 13:15:00+05:30,782.25,783.85,782.25,783.15,37543
2025-07-07 14:15:00+05:30,783.15,784.65,782.2,784.35,172856
2025-07-07 15:15:00+05:30,784.3,784.75,784.1,784.7,68752
2025-07-08 09:15:00+05:30,784.7,785.85,780.2,784.05,120769
2025-07-08 10:15:00+05:30,784.3,785.95,783.0,784.0,168574
2025-07-08 11:15:00+05:30,784.0,784.65,781.85,783.35,83675
2025-07-08 12:15:00+05:30,783.35,785.6,783.0,785.0,106893
2025-07-08 13:15:00+05:30,785.0,785.6,784.2,785.0,132580
2025-07-08 14:15:00+05:30,785.0,785.7,784.45,785.3,111368
2025-07-08 15:15:00+05:30,785.25,785.5,785.0,785.1,64415
2025-07-09 09:15:00+05:30,787.05,792.6,786.65,787.65,263824
2025-07-09 10:15:00+05:30,787.9,791.55,787.55,791.0,137613
2025-07-09 11:15:00+05:30,791.3,798.6,790.95,795.1,467908
2025-07-09 12:15:00+05:30,795.1,795.95,789.55,790.0,141967
