Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,404.1,406.35,403.7,405.5,1876179
2025-10-20 10:15:00+05:30,405.5,405.9,404.25,404.65,2527762
2025-10-20 11:15:00+05:30,404.75,404.9,403.1,403.55,1978272
2025-10-20 12:15:00+05:30,403.55,405.25,402.85,404.7,1251239
2025-10-20 13:15:00+05:30,404.65,405.1,403.85,404.2,1639252
2025-10-20 14:15:00+05:30,404.15,404.7,403.6,404.6,2976096
2025-10-20 15:15:00+05:30,404.45,405.05,404.15,404.15,793034
2025-10-21 13:45:00+05:30,405.0,405.45,403.9,404.05,1107885
2025-10-23 09:15:00+05:30,407.45,410.8,405.05,410.4,4779995
2025-10-23 10:15:00+05:30,410.45,411.8,409.6,410.15,5644706
2025-10-23 11:15:00+05:30,410.2,410.9,409.3,409.4,2123060
2025-10-23 12:15:00+05:30,409.4,410.15,407.8,408.65,2478485
2025-10-23 13:15:00+05:30,408.6,409.0,406.05,406.5,2167039
2025-10-23 14:15:00+05:30,406.5,407.85,406.25,406.95,4726200
2025-10-23 15:15:00+05:30,406.95,408.15,406.8,407.7,2029855
2025-10-24 09:15:00+05:30,407.4,407.65,404.95,406.0,1867730
2025-10-24 10:15:00+05:30,406.1,406.65,405.3,406.35,2298835
2025-10-24 11:15:00+05:30,406.35,407.55,405.6,407.55,2807069
2025-10-24 12:15:00+05:30,407.5,408.2,406.35,407.45,1642871
2025-10-24 13:15:00+05:30,407.4,408.45,407.3,407.9,2398937
2025-10-24 14:15:00+05:30,408.05,408.85,407.05,408.3,3004945
2025-10-24 15:15:00+05:30,408.3,409.35,408.2,409.2,869814
2025-10-27 09:15:00+05:30,408.45,410.9,408.05,410.25,1623295
2025-10-27 10:15:00+05:30,410.4,411.65,410.0,411.4,1550769
2025-10-27 11:15:00+05:30,411.4,413.7,411.05,413.65,1716103
2025-10-27 12:15:00+05:30,413.65,414.0,412.5,413.0,2176222
2025-10-27 13:15:00+05:30,413.0,413.55,412.4,412.6,1196597
