Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,16500,16518,16438,16474,26439
2025-10-20 09:30:00+05:30,16473,16478,16400,16418,11378
2025-10-20 09:45:00+05:30,16416,16426,16383,16411,8570
2025-10-20 10:00:00+05:30,16409,16430,16399,16418,7733
2025-10-20 10:15:00+05:30,16412,16425,16390,16390,10219
2025-10-20 10:30:00+05:30,16390,16425,16380,16420,5525
2025-10-20 10:45:00+05:30,16420,16430,16414,16425,10809
2025-10-20 11:00:00+05:30,16424,16425,16411,16415,4388
2025-10-20 11:15:00+05:30,16419,16422,16387,16393,5272
2025-10-20 11:30:00+05:30,16393,16419,16393,16403,10394
2025-10-20 11:45:00+05:30,16403,16408,16397,16400,17755
2025-10-20 12:00:00+05:30,16400,16435,16396,16421,28069
2025-10-20 12:15:00+05:30,16421,16448,16405,16417,32146
2025-10-20 12:30:00+05:30,16415,16427,16408,16425,12322
2025-10-20 12:45:00+05:30,16426,16440,16421,16432,11696
2025-10-20 13:00:00+05:30,16433,16449,16432,16445,10685
2025-10-20 13:15:00+05:30,16445,16445,16410,16424,20299
2025-10-20 13:30:00+05:30,16424,16425,16407,16419,9340
2025-10-20 13:45:00+05:30,16419,16430,16415,16429,12833
2025-10-20 14:00:00+05:30,16429,16434,16412,16420,14817
2025-10-20 14:15:00+05:30,16420,16430,16416,16420,15773
2025-10-20 14:30:00+05:30,16420,16434,16419,16433,14116
2025-10-20 14:45:00+05:30,16433,16459,16420,16446,15556
2025-10-20 15:00:00+05:30,16446,16455,16424,16430,20341
2025-10-20 15:15:00+05:30,16430,16430,16395,16400,36135
2025-10-21 13:45:00+05:30,16453,16476,16430,16435,7059
2025-10-21 14:00:00+05:30,16430,16446,16391,16408,10102
2025-10-21 14:15:00+05:30,16408,16433,16396,16408,4777
2025-10-21 14:30:00+05:30,16408,16420,16330,16335,6542
2025-10-23 09:15:00+05:30,16660,16660,16340,16405,63356
2025-10-23 09:30:00+05:30,16408,16468,16405,16453,22015
2025-10-23 09:45:00+05:30,16463,16476,16422,16437,20057
2025-10-23 10:00:00+05:30,16437,16439,16395,16398,13113
2025-10-23 10:15:00+05:30,16397,16405,16369,16387,17176
2025-10-23 10:30:00+05:30,16387,16400,16372,16387,17121
2025-10-23 10:45:00+05:30,16387,16393,16380,16380,7494
2025-10-23 11:00:00+05:30,16380,16382,16360,16370,12577
2025-10-23 11:15:00+05:30,16370,16399,16360,16387,15828
2025-10-23 11:30:00+05:30,16385,16419,16377,16415,28037
2025-10-23 11:45:00+05:30,16415,16419,16369,16372,18333
2025-10-23 12:00:00+05:30,16376,16399,16371,16392,18275
2025-10-23 12:15:00+05:30,16389,16404,16389,16400,9582
2025-10-23 12:30:00+05:30,16401,16408,16397,16402,12480
2025-10-23 12:45:00+05:30,16405,16406,16386,16386,11086
2025-10-23 13:00:00+05:30,16386,16401,16376,16397,9849
2025-10-23 13:15:00+05:30,16397,16441,16388,16397,19294
2025-10-23 13:30:00+05:30,16402,16405,16380,16399,7443
2025-10-23 13:45:00+05:30,16399,16401,16387,16395,6112
2025-10-23 14:00:00+05:30,16395,16400,16388,16391,10519
2025-10-23 14:15:00+05:30,16391,16425,16388,16414,16220
2025-10-23 14:30:00+05:30,16414,16441,16407,16432,14860
2025-10-23 14:45:00+05:30,16433,16449,16413,16420,12876
2025-10-23 15:00:00+05:30,16416,16422,16365,16378,49364
2025-10-23 15:15:00+05:30,16378,16439,16375,16410,29656
2025-10-24 09:15:00+05:30,16392,16423,16319,16353,25884
2025-10-24 09:30:00+05:30,16353,16386,16336,16371,8603
2025-10-24 09:45:00+05:30,16370,16372,16349,16358,7221
2025-10-24 10:00:00+05:30,16355,16364,16338,16344,5792
2025-10-24 10:15:00+05:30,16340,16349,16310,16311,9759
2025-10-24 10:30:00+05:30,16311,16335,16303,16335,6705
2025-10-24 10:45:00+05:30,16335,16353,16321,16327,6606
2025-10-24 11:00:00+05:30,16327,16336,16300,16310,15356
2025-10-24 11:15:00+05:30,16309,16320,16250,16256,13173
2025-10-24 11:30:00+05:30,16256,16298,16251,16294,7952
2025-10-24 11:45:00+05:30,16286,16300,16264,16284,3340
2025-10-24 12:00:00+05:30,16284,16299,16268,16282,4959
2025-10-24 12:15:00+05:30,16276,16289,16254,16259,6598
2025-10-24 12:30:00+05:30,16254,16265,16230,16244,7923
2025-10-24 12:45:00+05:30,16244,16256,16217,16240,7509
2025-10-24 13:00:00+05:30,16240,16255,16225,16233,3240
2025-10-24 13:15:00+05:30,16233,16241,16220,16226,3243
2025-10-24 13:30:00+05:30,16226,16230,16201,16209,4559
2025-10-24 13:45:00+05:30,16205,16215,16200,16214,4089
2025-10-24 14:00:00+05:30,16214,16245,16207,16229,7040
2025-10-24 14:15:00+05:30,16229,16243,16215,16235,4291
2025-10-24 14:30:00+05:30,16235,16245,16225,16241,4149
2025-10-24 14:45:00+05:30,16239,16242,16230,16230,3725
2025-10-24 15:00:00+05:30,16239,16275,16238,16275,14515
2025-10-24 15:15:00+05:30,16272,16300,16228,16262,21489
