Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,16500,16518,16380,16424,374246
2025-10-21 00:00:00+05:30,16453,16476,16330,16396,28990
2025-10-23 00:00:00+05:30,16660,16660,16340,16393,481753
2025-10-24 00:00:00+05:30,16392,16423,16200,16274,208520
2025-10-27 00:00:00+05:30,16350,16410,16275,16388,209829
2025-10-28 00:00:00+05:30,16399,16495,16261,16311,383383
2025-10-29 00:00:00+05:30,16360,16428,16046,16138,232815
2025-10-30 00:00:00+05:30,16190,16275,16077,16206,230383
2025-10-31 00:00:00+05:30,16204,16516,15949,16186,719402
2025-11-03 00:00:00+05:30,16016,16100,15530,15651,942850
2025-11-04 00:00:00+05:30,15607,15633,15355,15374,748848
2025-11-06 00:00:00+05:30,15534,15534,15309,15452,429800
2025-11-07 00:00:00+05:30,15459,15499,15260,15479,227247
2025-11-10 00:00:00+05:30,15380,15647,15380,15583,274191
2025-11-11 00:00:00+05:30,15640,15680,15512,15645,181524
2025-11-12 00:00:00+05:30,15674,15731,15555,15696,244015
2025-11-13 00:00:00+05:30,15661,15800,15660,15749,250711
2025-11-14 00:00:00+05:30,15725,15735,15572,15684,253698
2025-11-17 00:00:00+05:30,15689,15892,15655,15878,301069
2025-11-18 00:00:00+05:30,15878,15999,15750,15930,392903
2025-11-19 00:00:00+05:30,15950,15950,15715,15768,286434
2025-11-20 00:00:00+05:30,15810,15823,15618,15801,249492
2025-11-21 00:00:00+05:30,15790,16150,15737,15977,586351
2025-11-24 00:00:00+05:30,16005,16085,15911,15958,525788
2025-11-25 00:00:00+05:30,15958,16050,15842,15889,214525
2025-11-26 00:00:00+05:30,15950,16210,15950,16156,314946
2025-11-27 00:00:00+05:30,16166,16171,15875,15903,339986
2025-11-28 00:00:00+05:30,15906,16049,15850,15900,352340
2025-12-01 00:00:00+05:30,15975,16177,15851,16097,434052
2025-12-02 00:00:00+05:30,16127,16261,16095,16239,383165
2025-12-03 00:00:00+05:30,16219,16248,16010,16082,264397
2025-12-04 00:00:00+05:30,16058,16135,15887,15994,248812
2025-12-05 00:00:00+05:30,16000,16338,15979,16282,332032
2025-12-08 00:00:00+05:30,16200,16256,16094,16187,220513
2025-12-09 00:00:00+05:30,16051,16226,15985,16020,276388
2025-12-10 00:00:00+05:30,16090,16125,15925,16019,293374
2025-12-11 00:00:00+05:30,16049,16296,15983,16248,268701
2025-12-12 00:00:00+05:30,16248,16536,16247,16522,404711
2025-12-15 00:00:00+05:30,16500,16500,16360,16415,225221
2025-12-16 00:00:00+05:30,16400,16451,16320,16354,156134
2025-12-17 00:00:00+05:30,16389,16490,16357,16398,257406
2025-12-18 00:00:00+05:30,16440,16486,16221,16329,213981
2025-12-19 00:00:00+05:30,16329,16475,16329,16414,360190
2025-12-22 00:00:00+05:30,16464,16693,16414,16649,271590
2025-12-23 00:00:00+05:30,16709,16720,16558,16585,215650
2025-12-24 00:00:00+05:30,16640,16720,16542,16703,258486
2025-12-26 00:00:00+05:30,16703,16703,16516,16596,212925
2025-12-29 00:00:00+05:30,16600,16682,16499,16542,251796
2025-12-30 00:00:00+05:30,16575,16818,16482,16647,1055843
2025-12-31 00:00:00+05:30,16581,16776,16581,16697,314427
2026-01-01 00:00:00+05:30,16700,16798,16602,16708,171293
2026-01-02 00:00:00+05:30,16750,16999,16723,16960,388562
2026-01-05 00:00:00+05:30,17025,17370,16980,17155,305668
2026-01-06 00:00:00+05:30,17170,17306,17142,17292,192182
2026-01-07 00:00:00+05:30,17230,17249,16524,16809,427979
2026-01-08 00:00:00+05:30,16808,16808,16541,16664,238421
2026-01-09 00:00:00+05:30,16663,16704,16417,16501,286302
2026-01-12 00:00:00+05:30,16456,16615,16271,16582,288686
2026-01-13 00:00:00+05:30,16662,16726,16293,16426,312205
2026-01-14 00:00:00+05:30,16390,16412,16090,16152,240043
2026-01-16 00:00:00+05:30,16000,16197,15770,15859,703056
2026-01-19 00:00:00+05:30,15859,16242,15813,16176,385141
2026-01-20 00:00:00+05:30,16200,16233,15850,15879,289609
2026-01-21 00:00:00+05:30,15675,15973,15675,15770,345738
2026-01-22 00:00:00+05:30,15950,15971,15714,15765,352320
2026-01-23 00:00:00+05:30,15819,15846,15439,15469,338669
2026-01-27 00:00:00+05:30,15300,15387,15013,15245,565768
2026-01-28 00:00:00+05:30,15161,15294,14431,14877,1584483
2026-01-29 00:00:00+05:30,14870,14870,14353,14502,716545
2026-01-30 00:00:00+05:30,14502,14679,14300,14599,946509
2026-02-01 00:00:00+05:30,14650,14796,14136,14199,393678
2026-02-02 00:00:00+05:30,14251,14446,14058,14384,621514
2026-02-03 00:00:00+05:30,15200,15281,14482,14782,638870
2026-02-04 00:00:00+05:30,14800,15170,14723,15071,451065
2026-02-05 00:00:00+05:30,15090,15150,14900,15059,374759
2026-02-06 00:00:00+05:30,15084,15118,14871,14997,276529
2026-02-09 00:00:00+05:30,15125,15126,14905,14978,200034
2026-02-10 00:00:00+05:30,14999,15349,14983,15146,360240
2026-02-11 00:00:00+05:30,15180,15432,15174,15412,360742
2026-02-12 00:00:00+05:30,15459,15459,15265,15326,201895
2026-02-13 00:00:00+05:30,15309,15434,15190,15237,208645
2026-02-16 00:00:00+05:30,15237,15299,14960,14993,109592
