Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,86.99,87.5,86.4,86.56,13301204
2025-10-21 00:00:00+05:30,86.7,87.0,86.15,86.35,1480658
2025-10-23 00:00:00+05:30,86.06,87.29,85.48,85.82,17396942
2025-10-24 00:00:00+05:30,85.71,86.8,84.61,84.79,16912048
2025-10-27 00:00:00+05:30,85.25,85.43,84.8,85.02,6939884
2025-10-28 00:00:00+05:30,85.04,85.42,84.49,84.63,9528901
2025-10-29 00:00:00+05:30,85.0,87.09,84.78,86.95,17056980
2025-10-30 00:00:00+05:30,87.14,87.23,85.71,86.15,7400279
2025-10-31 00:00:00+05:30,85.93,86.1,84.71,84.84,9447129
2025-11-03 00:00:00+05:30,84.99,85.7,84.57,85.33,6039661
2025-11-04 00:00:00+05:30,85.22,85.33,83.87,84.16,8226185
2025-11-06 00:00:00+05:30,84.05,84.55,81.72,82.85,15881779
2025-11-07 00:00:00+05:30,82.5,82.72,80.25,81.48,21856711
2025-11-10 00:00:00+05:30,80.9,82.72,80.68,82.31,10235432
2025-11-11 00:00:00+05:30,82.31,82.75,80.9,81.89,8771807
2025-11-12 00:00:00+05:30,82.1,82.85,81.26,81.98,9269353
2025-11-13 00:00:00+05:30,81.91,82.28,81.31,81.46,6504616
2025-11-14 00:00:00+05:30,81.51,81.6,80.0,80.3,14292619
2025-11-17 00:00:00+05:30,80.54,81.5,80.41,81.25,7827088
2025-11-18 00:00:00+05:30,81.59,81.59,80.1,80.53,9471269
2025-11-19 00:00:00+05:30,80.53,80.68,79.64,80.05,11017010
2025-11-20 00:00:00+05:30,80.59,81.17,80.0,80.12,6838932
2025-11-21 00:00:00+05:30,80.0,80.12,78.65,78.82,7146540
2025-11-24 00:00:00+05:30,78.82,78.89,75.93,76.96,26744638
2025-11-25 00:00:00+05:30,77.1,77.98,76.6,77.23,13344341
2025-11-26 00:00:00+05:30,77.23,77.97,76.61,77.43,12028891
2025-11-27 00:00:00+05:30,77.51,77.85,76.72,76.95,8611413
2025-11-28 00:00:00+05:30,76.95,77.01,76.36,76.74,5085508
2025-12-01 00:00:00+05:30,76.31,77.59,76.02,77.3,10203101
2025-12-02 00:00:00+05:30,77.35,77.49,76.7,77.28,8538683
2025-12-03 00:00:00+05:30,77.4,77.59,76.05,76.83,6591641
2025-12-04 00:00:00+05:30,76.8,77.42,76.62,76.89,5539974
2025-12-05 00:00:00+05:30,76.82,77.2,76.64,77.07,4704567
2025-12-08 00:00:00+05:30,77.05,77.3,76.05,76.43,9179338
