Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,73.21,73.21,72.4,72.71,848616
2025-10-20 09:30:00+05:30,72.76,72.76,72.4,72.57,591127
2025-10-20 09:45:00+05:30,72.57,72.6,72.41,72.5,357345
2025-10-20 10:00:00+05:30,72.5,72.56,72.23,72.42,551913
2025-10-20 10:15:00+05:30,72.43,72.47,72.3,72.32,253198
2025-10-20 10:30:00+05:30,72.3,72.66,72.3,72.65,327824
2025-10-20 10:45:00+05:30,72.65,73.03,72.64,72.9,679077
2025-10-20 11:00:00+05:30,72.89,73.02,72.79,72.86,268618
2025-10-20 11:15:00+05:30,72.86,73.13,72.77,73.08,446528
2025-10-20 11:30:00+05:30,73.08,73.15,72.91,72.96,469336
2025-10-20 11:45:00+05:30,72.94,73.19,72.91,73.16,360219
2025-10-20 12:00:00+05:30,73.16,73.36,73.13,73.16,265180
2025-10-20 12:15:00+05:30,73.16,73.16,73.06,73.12,195142
2025-10-20 12:30:00+05:30,73.06,73.25,73.06,73.2,172289
2025-10-20 12:45:00+05:30,73.17,73.22,72.88,73.22,1543039
2025-10-20 13:00:00+05:30,73.22,73.27,73.1,73.22,252850
2025-10-20 13:15:00+05:30,73.24,73.39,72.93,73.12,574741
2025-10-20 13:30:00+05:30,73.11,73.27,73.08,73.13,275898
2025-10-20 13:45:00+05:30,73.13,73.52,73.13,73.27,285059
2025-10-20 14:00:00+05:30,73.27,73.32,73.18,73.21,105456
2025-10-20 14:15:00+05:30,73.21,73.25,72.89,72.91,122141
2025-10-20 14:30:00+05:30,72.91,73.01,72.86,72.9,122867
2025-10-20 14:45:00+05:30,72.93,72.98,72.84,72.87,151520
2025-10-20 15:00:00+05:30,72.91,73.0,72.83,72.94,318569
2025-10-20 15:15:00+05:30,72.94,73.37,72.91,73.09,949067
2025-10-21 13:45:00+05:30,73.56,73.94,73.09,73.42,1669735
2025-10-21 14:00:00+05:30,73.42,73.47,73.27,73.47,544729
2025-10-21 14:15:00+05:30,73.44,73.47,73.36,73.41,509183
2025-10-21 14:30:00+05:30,73.4,73.47,73.22,73.46,552056
2025-10-23 09:15:00+05:30,73.26,73.26,70.73,71.83,5729504
2025-10-23 09:30:00+05:30,71.82,71.88,71.67,71.75,1503381
2025-10-23 09:45:00+05:30,71.75,71.8,71.48,71.56,1128327
2025-10-23 10:00:00+05:30,71.55,71.68,71.49,71.6,752663
2025-10-23 10:15:00+05:30,71.6,71.74,71.44,71.48,794418
2025-10-23 10:30:00+05:30,71.48,71.7,71.39,71.61,487855
2025-10-23 10:45:00+05:30,71.61,71.61,71.45,71.52,375804
2025-10-23 11:00:00+05:30,71.51,71.51,71.41,71.48,394348
2025-10-23 11:15:00+05:30,71.48,71.55,71.43,71.5,330051
2025-10-23 11:30:00+05:30,71.53,71.54,71.38,71.42,477742
2025-10-23 11:45:00+05:30,71.42,71.67,71.4,71.57,460574
2025-10-23 12:00:00+05:30,71.57,71.71,71.55,71.68,348189
2025-10-23 12:15:00+05:30,71.68,71.92,71.65,71.88,1427690
2025-10-23 12:30:00+05:30,71.88,72.23,71.87,72.05,975447
2025-10-23 12:45:00+05:30,72.05,72.21,71.97,72.17,280564
2025-10-23 13:00:00+05:30,72.14,72.17,72.06,72.11,219024
2025-10-23 13:15:00+05:30,72.1,72.13,72.01,72.09,198516
2025-10-23 13:30:00+05:30,72.11,72.11,71.97,72.11,201697
2025-10-23 13:45:00+05:30,72.11,72.13,71.93,71.96,234881
2025-10-23 14:00:00+05:30,71.99,72.07,71.9,72.04,249660
2025-10-23 14:15:00+05:30,72.04,72.19,71.98,72.14,321349
2025-10-23 14:30:00+05:30,72.14,72.29,72.07,72.23,375830
2025-10-23 14:45:00+05:30,72.23,72.3,72.14,72.19,418587
2025-10-23 15:00:00+05:30,72.21,72.22,71.83,71.87,983227
2025-10-23 15:15:00+05:30,71.86,72.12,71.86,72.06,1163770
2025-10-24 09:15:00+05:30,72.54,72.97,72.3,72.57,2477854
2025-10-24 09:30:00+05:30,72.54,72.73,72.42,72.45,1145433
2025-10-24 09:45:00+05:30,72.42,72.86,72.38,72.65,767407
2025-10-24 10:00:00+05:30,72.67,73.03,72.6,72.68,1027814
2025-10-24 10:15:00+05:30,72.68,72.72,72.5,72.64,923629
2025-10-24 10:30:00+05:30,72.64,72.79,72.58,72.59,592655
2025-10-24 10:45:00+05:30,72.59,72.85,72.59,72.7,552107
2025-10-24 11:00:00+05:30,72.7,72.77,72.61,72.69,126230
2025-10-24 11:15:00+05:30,72.66,72.69,72.43,72.44,282573
2025-10-24 11:30:00+05:30,72.44,72.57,72.4,72.57,156436
2025-10-24 11:45:00+05:30,72.56,72.72,72.5,72.64,843863
2025-10-24 12:00:00+05:30,72.64,72.91,72.63,72.82,861670
2025-10-24 12:15:00+05:30,72.82,72.86,72.72,72.82,262034
2025-10-24 12:30:00+05:30,72.82,72.82,72.54,72.59,182270
2025-10-24 12:45:00+05:30,72.62,72.64,72.33,72.4,1222053
2025-10-24 13:00:00+05:30,72.41,72.41,72.15,72.35,1184037
2025-10-24 13:15:00+05:30,72.35,72.41,72.21,72.22,194276
2025-10-24 13:30:00+05:30,72.22,72.26,72.07,72.07,322947
2025-10-24 13:45:00+05:30,72.07,72.27,72.06,72.23,103698
2025-10-24 14:00:00+05:30,72.21,72.45,72.12,72.38,385897
2025-10-24 14:15:00+05:30,72.36,72.41,72.26,72.34,130087
2025-10-24 14:30:00+05:30,72.34,72.34,72.15,72.18,106806
2025-10-24 14:45:00+05:30,72.17,72.18,71.88,71.93,408109
