Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,409.0,410.15,405.65,408.8,402951
2025-10-20 10:15:00+05:30,408.8,409.7,407.2,408.2,251974
2025-10-20 11:15:00+05:30,408.0,409.55,407.9,409.05,324272
2025-10-20 12:15:00+05:30,409.0,409.6,408.85,409.1,315883
2025-10-20 13:15:00+05:30,409.0,409.1,407.0,407.9,801467
2025-10-20 14:15:00+05:30,407.9,408.1,406.45,406.8,327503
2025-10-20 15:15:00+05:30,406.75,407.7,406.65,407.7,161097
2025-10-21 13:45:00+05:30,407.7,409.15,405.0,406.0,209271
2025-10-23 09:15:00+05:30,410.05,416.0,409.0,414.85,611119
2025-10-23 10:15:00+05:30,414.85,415.0,412.6,413.0,263576
2025-10-23 11:15:00+05:30,413.0,415.6,411.8,415.55,1038889
2025-10-23 12:15:00+05:30,415.3,416.0,414.35,414.95,539043
2025-10-23 13:15:00+05:30,414.95,418.4,414.55,417.5,634981
2025-10-23 14:15:00+05:30,417.35,419.5,417.1,417.25,1133474
2025-10-23 15:15:00+05:30,417.3,417.65,415.75,416.5,415691
2025-10-24 09:15:00+05:30,420.95,421.5,417.2,420.15,837452
2025-10-24 10:15:00+05:30,420.15,420.2,418.7,419.2,158069
2025-10-24 11:15:00+05:30,419.2,422.35,418.7,421.3,811756
2025-10-24 12:15:00+05:30,421.4,422.0,419.5,419.7,244266
2025-10-24 13:15:00+05:30,419.7,420.45,418.25,419.85,237869
2025-10-24 14:15:00+05:30,420.0,420.75,418.75,420.1,216783
2025-10-24 15:15:00+05:30,420.0,420.05,418.4,418.55,122489
2025-10-27 09:15:00+05:30,420.0,424.0,419.15,422.75,498947
2025-10-27 10:15:00+05:30,422.55,424.8,421.6,422.0,251583
2025-10-27 11:15:00+05:30,422.0,424.75,421.15,422.2,195331
2025-10-27 12:15:00+05:30,422.2,424.3,421.05,421.25,157255
2025-10-27 13:15:00+05:30,421.25,422.7,420.05,422.5,134509
2025-10-27 14:15:00+05:30,422.65,424.0,421.5,421.9,232869
2025-10-27 15:15:00+05:30,421.9,422.7,421.3,421.35,198945
2025-10-28 09:15:00+05:30,425.0,425.0,415.6,416.0,367662
2025-10-28 10:15:00+05:30,416.0,416.85,414.15,414.4,182644
2025-10-28 11:15:00+05:30,414.4,416.45,413.4,413.45,149809
2025-10-28 12:15:00+05:30,413.5,413.7,411.85,412.3,258276
2025-10-28 13:15:00+05:30,412.5,413.1,410.75,412.85,803761
2025-10-28 14:15:00+05:30,412.85,413.1,411.1,413.0,792821
2025-10-28 15:15:00+05:30,413.05,413.3,411.7,412.9,463762
2025-10-29 09:15:00+05:30,413.2,417.8,413.0,416.0,339981
2025-10-29 10:15:00+05:30,415.75,417.25,415.7,416.6,115547
2025-10-29 11:15:00+05:30,416.8,419.25,416.5,419.2,287154
2025-10-29 12:15:00+05:30,419.05,421.5,418.75,420.35,315234
2025-10-29 13:15:00+05:30,420.3,421.0,419.0,420.4,167867
2025-10-29 14:15:00+05:30,420.4,420.95,419.7,420.35,246725
2025-10-29 15:15:00+05:30,420.5,421.95,420.15,420.35,153604
2025-10-30 09:15:00+05:30,420.4,431.0,420.3,428.9,1607304
2025-10-30 10:15:00+05:30,428.9,431.9,428.55,429.95,784920
2025-10-30 11:15:00+05:30,429.95,436.2,429.95,435.05,1438787
2025-10-30 12:15:00+05:30,435.0,435.75,429.85,431.5,919313
2025-10-30 13:15:00+05:30,431.4,434.0,431.4,433.95,422309
2025-10-30 14:15:00+05:30,433.95,435.5,432.65,434.35,551320
2025-10-30 15:15:00+05:30,434.5,435.3,434.0,434.0,295489
2025-10-31 09:15:00+05:30,435.0,437.3,432.85,435.1,503442
2025-10-31 10:15:00+05:30,435.1,435.1,432.6,433.3,122367
2025-10-31 11:15:00+05:30,433.3,434.0,430.7,431.6,127345
2025-10-31 12:15:00+05:30,431.5,433.25,431.1,431.3,128988
2025-10-31 13:15:00+05:30,431.3,434.8,430.8,434.6,283573
2025-10-31 14:15:00+05:30,434.6,436.0,433.05,433.55,415302
2025-10-31 15:15:00+05:30,433.55,434.0,432.9,433.1,180692
2025-11-03 09:15:00+05:30,433.35,442.0,430.35,437.8,451564
2025-11-03 10:15:00+05:30,437.8,438.65,434.7,438.4,286086
2025-11-03 11:15:00+05:30,438.4,441.25,438.1,439.2,218051
2025-11-03 12:15:00+05:30,439.2,440.25,438.0,438.9,89603
2025-11-03 13:15:00+05:30,438.9,439.1,436.05,436.15,173137
2025-11-03 14:15:00+05:30,436.45,437.95,435.0,437.5,226981
2025-11-03 15:15:00+05:30,437.75,438.0,436.05,437.9,109260
2025-11-04 09:15:00+05:30,438.0,438.95,434.0,435.55,212824
2025-11-04 10:15:00+05:30,435.75,436.5,433.0,433.55,145039
2025-11-04 11:15:00+05:30,433.75,434.85,432.85,433.4,130815
2025-11-04 12:15:00+05:30,433.4,433.9,431.55,432.6,122325
2025-11-04 13:15:00+05:30,432.6,433.0,430.4,430.65,151325
2025-11-04 14:15:00+05:30,430.65,431.7,429.5,431.25,330741
2025-11-04 15:15:00+05:30,431.15,433.0,430.75,431.05,166656
2025-11-06 09:15:00+05:30,431.5,435.9,429.55,431.5,303729
2025-11-06 10:15:00+05:30,431.5,433.3,430.95,432.3,221348
2025-11-06 11:15:00+05:30,432.3,433.3,431.65,431.85,141453
2025-11-06 12:15:00+05:30,431.85,433.95,431.7,433.0,133580
2025-11-06 13:15:00+05:30,433.0,433.6,432.0,432.7,88515
2025-11-06 14:15:00+05:30,432.7,433.75,432.0,433.05,210915
2025-11-06 15:15:00+05:30,433.05,433.25,432.05,433.15,195176
2025-11-07 09:15:00+05:30,432.85,432.9,428.1,430.15,210688
2025-11-07 10:15:00+05:30,430.1,435.4,429.8,435.25,130042
2025-11-07 11:15:00+05:30,435.2,438.3,434.6,436.7,237546
2025-11-07 12:15:00+05:30,436.7,436.8,434.1,434.95,181815
2025-11-07 13:15:00+05:30,434.8,436.0,433.15,433.85,137988
2025-11-07 14:15:00+05:30,433.85,434.7,432.05,433.6,249354
2025-11-07 15:15:00+05:30,433.65,434.0,433.5,433.5,135753
2025-11-10 09:15:00+05:30,433.7,438.95,431.85,437.3,367440
2025-11-10 10:15:00+05:30,437.3,437.5,434.0,435.0,147994
2025-11-10 11:15:00+05:30,435.0,436.0,432.55,433.8,139116
2025-11-10 12:15:00+05:30,433.8,434.45,433.25,434.0,96870
2025-11-10 13:15:00+05:30,434.0,434.75,433.05,434.1,94606
2025-11-10 14:15:00+05:30,434.2,434.95,431.2,431.7,230394
2025-11-10 15:15:00+05:30,431.8,432.4,430.9,431.15,107394
2025-11-11 09:15:00+05:30,432.0,434.4,430.3,431.3,168054
2025-11-11 10:15:00+05:30,431.3,431.8,431.0,431.5,41857
2025-11-11 11:15:00+05:30,431.5,432.55,431.0,431.55,37125
2025-11-11 12:15:00+05:30,431.55,434.0,431.5,433.0,62436
2025-11-11 13:15:00+05:30,433.0,437.6,433.0,435.15,227898
2025-11-11 14:15:00+05:30,435.15,436.3,434.5,436.3,180414
2025-11-11 15:15:00+05:30,436.25,437.0,435.35,437.0,133387
2025-11-12 09:15:00+05:30,437.05,449.5,436.05,443.1,1495209
2025-11-12 10:15:00+05:30,443.1,444.65,442.6,443.2,221573
2025-11-12 11:15:00+05:30,443.2,444.0,442.8,443.55,70293
2025-11-12 12:15:00+05:30,443.55,443.65,441.95,443.0,74035
2025-11-12 13:15:00+05:30,443.0,443.45,441.4,441.4,121941
2025-11-12 14:15:00+05:30,441.4,442.7,441.35,441.75,206040
2025-11-12 15:15:00+05:30,441.65,441.65,440.1,441.0,252102
2025-11-13 09:15:00+05:30,442.7,442.7,432.75,434.45,514365
2025-11-13 10:15:00+05:30,434.45,436.65,433.95,435.5,142493
2025-11-13 11:15:00+05:30,435.5,436.5,435.0,436.25,117191
2025-11-13 12:15:00+05:30,436.25,436.25,434.55,435.4,79936
2025-11-13 13:15:00+05:30,435.4,436.1,434.0,434.25,91916
2025-11-13 14:15:00+05:30,434.25,435.85,433.2,434.7,211524
2025-11-13 15:15:00+05:30,434.7,435.45,434.3,434.8,179410
2025-11-14 09:15:00+05:30,435.95,438.55,433.55,436.3,271689
2025-11-14 10:15:00+05:30,436.3,437.4,434.1,437.3,99602
2025-11-14 11:15:00+05:30,437.3,438.1,433.25,435.55,154341
2025-11-14 12:15:00+05:30,435.55,438.1,434.7,437.8,100389
2025-11-14 13:15:00+05:30,437.8,439.6,436.95,438.35,197742
2025-11-14 14:15:00+05:30,438.35,439.1,435.6,438.95,365673
2025-11-14 15:15:00+05:30,438.85,439.0,431.05,434.25,221961
