Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,409.0,410.15,405.65,406.95,2589621
2025-10-21 00:00:00+05:30,407.7,409.15,405.0,406.6,210086
2025-10-23 00:00:00+05:30,410.05,419.5,409.0,417.4,4650187
2025-10-24 00:00:00+05:30,420.95,422.35,417.2,419.5,2648404
2025-10-27 00:00:00+05:30,420.0,424.8,419.15,422.35,1684230
2025-10-28 00:00:00+05:30,425.0,425.0,410.75,412.75,3047030
2025-10-29 00:00:00+05:30,413.2,421.95,413.0,420.5,1634139
2025-10-30 00:00:00+05:30,420.4,436.2,420.3,434.75,6027483
2025-10-31 00:00:00+05:30,435.0,437.3,430.7,433.35,1781066
2025-11-03 00:00:00+05:30,433.35,442.0,430.35,437.0,1558767
2025-11-04 00:00:00+05:30,438.0,438.95,429.5,431.5,1262735
2025-11-06 00:00:00+05:30,431.5,435.9,429.55,433.05,1300076
2025-11-07 00:00:00+05:30,432.85,438.3,428.1,433.7,1285300
2025-11-10 00:00:00+05:30,433.7,438.95,430.9,431.8,1186554
2025-11-11 00:00:00+05:30,432.0,437.6,430.3,435.95,852274
2025-11-12 00:00:00+05:30,437.05,449.5,436.05,441.15,2447507
2025-11-13 00:00:00+05:30,442.7,442.7,432.75,434.45,1340682
2025-11-14 00:00:00+05:30,435.95,439.6,431.05,436.85,1413722
2025-11-17 00:00:00+05:30,436.95,443.6,433.0,436.25,1947670
2025-11-18 00:00:00+05:30,437.55,438.0,430.7,433.35,1415722
2025-11-19 00:00:00+05:30,431.7,437.75,431.5,436.85,760053
2025-11-20 00:00:00+05:30,438.0,438.9,434.5,436.2,1092339
2025-11-21 00:00:00+05:30,431.9,432.9,423.5,425.05,3508596
2025-11-24 00:00:00+05:30,425.7,426.25,415.25,420.6,7911440
2025-11-25 00:00:00+05:30,419.0,422.6,414.55,421.05,1194721
2025-11-26 00:00:00+05:30,419.1,424.95,417.9,423.15,844279
2025-11-27 00:00:00+05:30,423.05,424.55,414.5,417.2,1069299
2025-11-28 00:00:00+05:30,419.85,419.9,411.15,413.2,1004484
2025-12-01 00:00:00+05:30,413.2,417.5,412.0,414.2,1126148
2025-12-02 00:00:00+05:30,412.05,417.7,412.05,416.65,664332
2025-12-03 00:00:00+05:30,420.0,420.0,407.05,410.7,1765944
2025-12-04 00:00:00+05:30,411.65,411.75,407.05,408.15,2221247
2025-12-05 00:00:00+05:30,408.2,412.9,406.35,411.95,760930
