Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,41450,41450,41125,41210,459
2025-10-20 09:30:00+05:30,41210,41300,41175,41260,246
2025-10-20 09:45:00+05:30,41260,41265,41155,41170,57
2025-10-20 10:00:00+05:30,41170,41205,41155,41190,92
2025-10-20 10:15:00+05:30,41180,41190,41150,41165,125
2025-10-20 10:30:00+05:30,41145,41145,40910,40920,196
2025-10-20 10:45:00+05:30,40905,41040,40905,41025,120
2025-10-20 11:00:00+05:30,41025,41040,41015,41030,65
2025-10-20 11:15:00+05:30,41030,41080,41020,41080,103
2025-10-20 11:30:00+05:30,41080,41225,41050,41185,291
2025-10-20 11:45:00+05:30,41185,41325,41180,41320,291
2025-10-20 12:00:00+05:30,41320,41620,41320,41550,2331
2025-10-20 12:15:00+05:30,41600,41645,41455,41480,1862
2025-10-20 12:30:00+05:30,41480,41595,41425,41485,1855
2025-10-20 12:45:00+05:30,41485,41600,41455,41550,1852
2025-10-20 13:00:00+05:30,41550,41600,41505,41560,1782
2025-10-20 13:15:00+05:30,41600,41620,41480,41600,917
2025-10-20 13:30:00+05:30,41600,41625,41600,41625,170
2025-10-20 13:45:00+05:30,41625,41875,41600,41820,1219
2025-10-20 14:00:00+05:30,41820,41900,41775,41830,1363
2025-10-20 14:15:00+05:30,41830,41850,41700,41715,220
2025-10-20 14:30:00+05:30,41715,41830,41700,41725,357
2025-10-20 14:45:00+05:30,41725,41725,41635,41645,318
2025-10-20 15:00:00+05:30,41635,41815,41620,41675,2272
2025-10-20 15:15:00+05:30,41670,41755,41625,41710,1892
2025-10-21 13:45:00+05:30,42080,42100,41695,41805,752
2025-10-21 14:00:00+05:30,41805,41805,41650,41715,276
2025-10-21 14:15:00+05:30,41680,41795,41670,41735,221
2025-10-21 14:30:00+05:30,41735,41745,41330,41615,555
2025-10-23 09:15:00+05:30,41905,41995,41380,41840,1952
2025-10-23 09:30:00+05:30,41845,41945,41600,41610,1337
2025-10-23 09:45:00+05:30,41610,41735,41600,41715,745
2025-10-23 10:00:00+05:30,41715,41825,41705,41815,606
2025-10-23 10:15:00+05:30,41815,41855,41645,41730,753
2025-10-23 10:30:00+05:30,41750,41865,41665,41860,574
2025-10-23 10:45:00+05:30,41855,41905,41805,41845,641
2025-10-23 11:00:00+05:30,41865,41905,41825,41875,542
2025-10-23 11:15:00+05:30,41895,41930,41865,41900,566
2025-10-23 11:30:00+05:30,41900,41900,41760,41815,946
2025-10-23 11:45:00+05:30,41835,41905,41790,41865,557
2025-10-23 12:00:00+05:30,41865,41905,41780,41805,561
2025-10-23 12:15:00+05:30,41810,41905,41775,41870,554
2025-10-23 12:30:00+05:30,41870,41900,41775,41775,584
2025-10-23 12:45:00+05:30,41805,41825,41750,41785,582
2025-10-23 13:00:00+05:30,41810,41885,41770,41870,561
2025-10-23 13:15:00+05:30,41870,41870,41750,41780,596
2025-10-23 13:30:00+05:30,41780,41835,41720,41795,533
2025-10-23 13:45:00+05:30,41795,41795,41600,41630,711
2025-10-23 14:00:00+05:30,41645,41750,41620,41750,659
2025-10-23 14:15:00+05:30,41755,41820,41715,41750,503
2025-10-23 14:30:00+05:30,41760,41765,41600,41650,741
2025-10-23 14:45:00+05:30,41650,41680,41605,41655,708
2025-10-23 15:00:00+05:30,41675,41690,41425,41460,1865
2025-10-23 15:15:00+05:30,41460,41560,41365,41460,2372
2025-10-24 09:15:00+05:30,41665,41665,41210,41385,668
2025-10-24 09:30:00+05:30,41385,41460,41360,41430,122
2025-10-24 09:45:00+05:30,41430,41565,41425,41515,687
2025-10-24 10:00:00+05:30,41515,41545,41495,41500,330
2025-10-24 10:15:00+05:30,41500,41555,41495,41500,439
2025-10-24 10:30:00+05:30,41500,41560,41495,41500,1015
2025-10-24 10:45:00+05:30,41500,41550,41400,41430,847
2025-10-24 11:00:00+05:30,41430,41440,41250,41260,177
2025-10-24 11:15:00+05:30,41260,41295,41220,41230,204
2025-10-24 11:30:00+05:30,41230,41275,41225,41250,147
2025-10-24 11:45:00+05:30,41235,41285,41230,41265,139
2025-10-24 12:00:00+05:30,41265,41320,41240,41270,255
2025-10-24 12:15:00+05:30,41270,41270,41220,41265,225
2025-10-24 12:30:00+05:30,41265,41285,41110,41150,778
