Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,594.0,594.0,587.35,590.45,396068
2025-10-20 09:30:00+05:30,590.45,590.95,583.25,583.8,166765
2025-10-20 09:45:00+05:30,583.9,585.4,582.4,583.65,109168
2025-10-20 10:00:00+05:30,583.65,586.8,582.3,582.7,62466
2025-10-20 10:15:00+05:30,582.7,589.75,582.45,589.5,78433
2025-10-20 10:30:00+05:30,589.5,591.9,586.9,588.45,181545
2025-10-20 10:45:00+05:30,588.45,589.6,587.0,587.65,38697
2025-10-20 11:00:00+05:30,587.65,592.75,587.4,592.75,72410
2025-10-20 11:15:00+05:30,592.55,597.9,592.55,595.25,504664
2025-10-20 11:30:00+05:30,595.5,597.6,594.35,594.45,145425
2025-10-20 11:45:00+05:30,594.45,594.7,591.0,591.55,101739
2025-10-20 12:00:00+05:30,591.4,591.85,589.35,590.15,83178
2025-10-20 12:15:00+05:30,590.15,590.5,587.05,587.4,78940
2025-10-20 12:30:00+05:30,587.4,588.3,586.0,587.1,51470
2025-10-20 12:45:00+05:30,587.1,587.35,586.0,586.1,39340
2025-10-20 13:00:00+05:30,586.1,587.3,586.0,586.5,37610
2025-10-20 13:15:00+05:30,586.5,586.75,584.25,586.05,93229
2025-10-20 13:30:00+05:30,586.0,586.95,585.4,585.8,22024
2025-10-20 13:45:00+05:30,585.8,587.85,584.7,586.15,29806
2025-10-20 14:00:00+05:30,586.1,587.2,585.2,586.0,25175
2025-10-20 14:15:00+05:30,586.0,587.15,583.1,584.2,80808
2025-10-20 14:30:00+05:30,584.4,585.25,583.55,583.75,26533
2025-10-20 14:45:00+05:30,583.75,584.15,583.05,583.95,58522
2025-10-20 15:00:00+05:30,583.5,584.2,583.0,584.1,102973
2025-10-20 15:15:00+05:30,583.7,585.3,583.0,583.3,169600
2025-10-21 13:45:00+05:30,590.0,591.5,586.2,586.6,192333
2025-10-21 14:00:00+05:30,586.95,586.95,584.5,586.0,78878
2025-10-21 14:15:00+05:30,585.6,586.0,583.35,583.9,48642
2025-10-21 14:30:00+05:30,584.0,585.45,580.0,585.2,197872
2025-10-23 09:15:00+05:30,588.0,588.85,582.1,583.4,165014
2025-10-23 09:30:00+05:30,583.25,586.0,583.1,583.75,46523
2025-10-23 09:45:00+05:30,583.75,584.4,580.1,580.65,54150
2025-10-23 10:00:00+05:30,580.65,582.05,580.25,581.2,26145
2025-10-23 10:15:00+05:30,581.2,581.2,578.05,578.4,53802
2025-10-23 10:30:00+05:30,578.0,578.35,574.75,575.65,107479
2025-10-23 10:45:00+05:30,575.75,576.25,575.0,576.2,23601
2025-10-23 11:00:00+05:30,576.2,576.45,575.0,575.85,20551
2025-10-23 11:15:00+05:30,575.85,576.35,574.75,575.45,22635
2025-10-23 11:30:00+05:30,575.45,579.45,575.45,577.8,35400
2025-10-23 11:45:00+05:30,577.8,579.45,577.05,577.5,29494
2025-10-23 12:00:00+05:30,577.5,578.35,577.2,577.75,8041
2025-10-23 12:15:00+05:30,577.75,578.0,576.0,576.05,18698
2025-10-23 12:30:00+05:30,576.05,577.0,576.0,576.8,7603
2025-10-23 12:45:00+05:30,576.55,578.85,576.3,578.25,15179
2025-10-23 13:00:00+05:30,578.15,578.25,576.55,577.35,10711
2025-10-23 13:15:00+05:30,577.35,577.75,576.45,577.35,13877
2025-10-23 13:30:00+05:30,577.45,577.75,576.5,576.6,11249
2025-10-23 13:45:00+05:30,576.6,577.7,576.4,577.35,20443
2025-10-23 14:00:00+05:30,577.35,577.7,575.65,577.6,30036
2025-10-23 14:15:00+05:30,577.6,577.9,576.85,577.3,10735
2025-10-23 14:30:00+05:30,577.3,577.8,577.0,577.4,12869
2025-10-23 14:45:00+05:30,577.35,577.95,576.3,577.2,17092
2025-10-23 15:00:00+05:30,576.7,576.85,575.7,576.3,74759
2025-10-23 15:15:00+05:30,576.15,576.5,572.0,572.0,212057
2025-10-24 09:15:00+05:30,575.0,578.25,571.05,572.7,100616
2025-10-24 09:30:00+05:30,572.65,580.5,572.0,580.0,117655
2025-10-24 09:45:00+05:30,580.0,581.25,578.6,579.9,53918
2025-10-24 10:00:00+05:30,579.9,579.9,577.35,577.95,31776
2025-10-24 10:15:00+05:30,577.95,578.0,575.0,575.3,60881
2025-10-24 10:30:00+05:30,575.45,576.85,575.05,575.8,17982
2025-10-24 10:45:00+05:30,575.8,577.65,575.8,576.5,12985
2025-10-24 11:00:00+05:30,576.5,577.4,574.7,576.5,26712
2025-10-24 11:15:00+05:30,576.5,576.5,575.0,575.15,12964
2025-10-24 11:30:00+05:30,575.3,575.35,574.65,575.3,10918
2025-10-24 11:45:00+05:30,575.3,575.6,574.75,575.2,7848
2025-10-24 12:00:00+05:30,575.2,578.7,574.85,578.5,16299
2025-10-24 12:15:00+05:30,578.4,579.0,577.15,577.35,17364
2025-10-24 12:30:00+05:30,577.35,577.35,575.3,575.9,11365
2025-10-24 12:45:00+05:30,575.9,576.2,575.0,575.7,13051
2025-10-24 13:00:00+05:30,575.7,577.9,575.0,576.35,25450
2025-10-24 13:15:00+05:30,576.35,576.7,575.0,575.25,11525
2025-10-24 13:30:00+05:30,575.3,576.2,574.25,575.65,24798
2025-10-24 13:45:00+05:30,575.65,575.95,575.0,575.55,22821
2025-10-24 14:00:00+05:30,575.55,576.4,575.0,575.05,18826
2025-10-24 14:15:00+05:30,575.05,576.2,574.95,576.2,45537
2025-10-24 14:30:00+05:30,576.2,576.5,575.25,575.95,32208
2025-10-24 14:45:00+05:30,575.95,576.05,574.6,575.4,39765
2025-10-24 15:00:00+05:30,575.3,576.45,575.2,576.35,34071
2025-10-24 15:15:00+05:30,576.7,577.25,575.0,575.05,72105
2025-10-27 09:15:00+05:30,575.95,575.95,573.2,573.55,49172
