Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,17499,17699,17358,17452,42535
2025-10-21 00:00:00+05:30,17600,17600,17417,17467,4432
2025-10-23 00:00:00+05:30,17471,17574,17016,17075,81981
2025-10-24 00:00:00+05:30,17160,17248,16731,16767,72071
2025-10-27 00:00:00+05:30,16850,16913,16608,16655,115095
2025-10-28 00:00:00+05:30,16735,17185,16614,16956,103404
2025-10-29 00:00:00+05:30,17020,17595,16860,17482,100160
2025-10-30 00:00:00+05:30,17500,18045,17350,17933,128504
2025-10-31 00:00:00+05:30,17920,18178,17700,17778,104419
2025-11-03 00:00:00+05:30,17805,18100,17280,17919,146346
2025-11-04 00:00:00+05:30,19210,20639,18670,20457,1237485
2025-11-06 00:00:00+05:30,20305,20556,20076,20207,176282
2025-11-07 00:00:00+05:30,20020,20939,19914,20863,289064
2025-11-10 00:00:00+05:30,20970,21550,20952,21297,216386
2025-11-11 00:00:00+05:30,21300,22069,21255,21854,229187
2025-11-12 00:00:00+05:30,21968,22090,21625,22018,142206
2025-11-13 00:00:00+05:30,21950,21992,21366,21415,129322
2025-11-14 00:00:00+05:30,21380,21619,21315,21466,62139
2025-11-17 00:00:00+05:30,21575,21763,21416,21474,63502
2025-11-18 00:00:00+05:30,21474,21636,21126,21415,80940
2025-11-19 00:00:00+05:30,21400,21700,21226,21624,76408
2025-11-20 00:00:00+05:30,21700,22450,21690,22397,186683
2025-11-21 00:00:00+05:30,22239,22325,21470,21563,101928
2025-11-24 00:00:00+05:30,21563,21724,21227,21542,185041
2025-11-25 00:00:00+05:30,21480,21799,21326,21742,61863
2025-11-26 00:00:00+05:30,21740,22280,21551,22204,81145
2025-11-27 00:00:00+05:30,22204,22273,21752,21798,58001
2025-11-28 00:00:00+05:30,21861,22170,21809,22056,61973
2025-12-01 00:00:00+05:30,22160,22450,22125,22185,77308
2025-12-02 00:00:00+05:30,22090,22810,22050,22755,196298
2025-12-03 00:00:00+05:30,22700,22840,21630,21850,152935
2025-12-04 00:00:00+05:30,21805,21805,20000,20085,352238
2025-12-05 00:00:00+05:30,20105,20395,19220,19305,265846
2025-12-08 00:00:00+05:30,19395,19665,18525,19040,237102
2025-12-09 00:00:00+05:30,19045,19700,18670,19500,218199
2025-12-10 00:00:00+05:30,19500,19655,18845,18980,91658
2025-12-11 00:00:00+05:30,18920,19300,18755,19230,117735
2025-12-12 00:00:00+05:30,19340,19645,19285,19535,65567
2025-12-15 00:00:00+05:30,19520,19600,19150,19535,47306
2025-12-16 00:00:00+05:30,19535,19535,19170,19320,54069
2025-12-17 00:00:00+05:30,19320,19585,19055,19150,74571
2025-12-18 00:00:00+05:30,19200,19245,18105,18160,157768
2025-12-19 00:00:00+05:30,18265,18640,17955,18555,154124
2025-12-22 00:00:00+05:30,18555,19020,18360,18710,71282
2025-12-23 00:00:00+05:30,18750,18765,18360,18465,62774
2025-12-24 00:00:00+05:30,18590,18795,18325,18420,61290
2025-12-26 00:00:00+05:30,18475,18595,18085,18350,61013
2025-12-29 00:00:00+05:30,18480,18515,18135,18390,83198
2025-12-30 00:00:00+05:30,18385,18385,17780,18110,175774
2025-12-31 00:00:00+05:30,18050,18460,18050,18310,66333
2026-01-01 00:00:00+05:30,18285,18521,18205,18482,36058
2026-01-02 00:00:00+05:30,18600,18978,18541,18803,81093
2026-01-05 00:00:00+05:30,18801,19069,18565,19004,67212
2026-01-06 00:00:00+05:30,19100,19100,18556,18847,64284
2026-01-07 00:00:00+05:30,18824,19898,18720,19582,171492
2026-01-08 00:00:00+05:30,19582,19768,18255,18444,182015
2026-01-09 00:00:00+05:30,18500,18539,17185,17881,795132
2026-01-12 00:00:00+05:30,17781,17781,16731,17429,482018
2026-01-13 00:00:00+05:30,17550,17550,17020,17106,203903
2026-01-14 00:00:00+05:30,17096,17100,16806,16937,207378
2026-01-16 00:00:00+05:30,16870,16953,16111,16214,389082
2026-01-19 00:00:00+05:30,16269,17140,16200,16964,262806
2026-01-20 00:00:00+05:30,17000,17140,16467,16630,221154
2026-01-21 00:00:00+05:30,16650,16920,16427,16689,149064
2026-01-22 00:00:00+05:30,16860,17066,16700,16847,115276
2026-01-23 00:00:00+05:30,16951,16964,16380,16501,110388
2026-01-27 00:00:00+05:30,16650,16850,16410,16709,98320
2026-01-28 00:00:00+05:30,16740,17750,16740,17683,131450
2026-01-29 00:00:00+05:30,17800,18538,17798,18322,260523
2026-01-30 00:00:00+05:30,18200,18925,18100,18862,150302
2026-02-01 00:00:00+05:30,18990,19000,17850,18107,79037
2026-02-02 00:00:00+05:30,18363,19050,18273,18978,174818
2026-02-03 00:00:00+05:30,19900,20500,19512,19701,215011
2026-02-04 00:00:00+05:30,19695,19863,18806,19043,186618
2026-02-05 00:00:00+05:30,19099,19321,18674,19199,135828
2026-02-06 00:00:00+05:30,20900,22077,20556,21871,993958
2026-02-09 00:00:00+05:30,21900,22550,21827,22511,269552
2026-02-10 00:00:00+05:30,22551,22725,22253,22457,123059
2026-02-11 00:00:00+05:30,22375,22888,22296,22731,124466
2026-02-12 00:00:00+05:30,22638,23140,22600,22702,164420
2026-02-13 00:00:00+05:30,22500,22679,22225,22418,72497
2026-02-16 00:00:00+05:30,22450,22870,22350,22777,37987
