Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,193.5,194.43,191.58,193.93,1676090
2025-10-20 10:15:00+05:30,193.81,195.0,193.4,194.53,1165019
2025-10-20 11:15:00+05:30,194.53,195.75,193.86,194.19,483448
2025-10-20 12:15:00+05:30,194.19,194.76,194.13,194.26,102182
2025-10-20 13:15:00+05:30,194.26,194.98,193.78,194.69,300998
2025-10-20 14:15:00+05:30,194.69,196.23,194.19,195.6,526210
2025-10-20 15:15:00+05:30,195.5,195.8,195.14,195.71,288255
2025-10-21 13:45:00+05:30,196.89,198.4,195.4,196.5,910337
2025-10-23 09:15:00+05:30,198.99,203.1,197.0,202.58,1505844
2025-10-23 10:15:00+05:30,202.56,204.0,202.5,202.88,1278739
2025-10-23 11:15:00+05:30,202.88,203.55,201.8,201.96,574253
2025-10-23 12:15:00+05:30,201.96,203.95,201.91,203.1,541178
2025-10-23 13:15:00+05:30,203.1,203.25,201.83,202.47,217110
2025-10-23 14:15:00+05:30,202.47,204.95,202.15,203.56,1490560
2025-10-23 15:15:00+05:30,203.67,203.91,202.59,203.2,514322
2025-10-24 09:15:00+05:30,204.9,206.5,203.2,205.97,1369016
2025-10-24 10:15:00+05:30,205.97,206.1,203.24,203.72,521823
2025-10-24 11:15:00+05:30,203.72,204.9,203.28,204.48,354272
2025-10-24 12:15:00+05:30,204.52,204.64,203.4,203.47,102335
2025-10-24 13:15:00+05:30,203.49,203.56,202.25,202.7,229305
2025-10-24 14:15:00+05:30,202.7,202.99,201.87,202.41,326355
2025-10-24 15:15:00+05:30,202.41,202.76,201.77,202.3,242754
2025-10-27 09:15:00+05:30,203.45,204.55,202.7,203.16,511129
2025-10-27 10:15:00+05:30,203.14,203.83,202.65,203.14,341793
2025-10-27 11:15:00+05:30,203.14,204.76,202.68,204.22,245010
2025-10-27 12:15:00+05:30,204.22,204.5,203.68,204.14,200292
2025-10-27 13:15:00+05:30,204.14,204.29,203.69,203.8,107056
2025-10-27 14:15:00+05:30,203.8,204.04,203.0,203.0,233648
2025-10-27 15:15:00+05:30,203.0,203.46,202.8,202.8,149805
2025-10-28 09:15:00+05:30,203.1,205.28,202.32,202.77,510917
2025-10-28 10:15:00+05:30,202.77,202.81,201.5,201.75,211194
2025-10-28 11:15:00+05:30,201.75,201.83,200.35,200.6,260096
2025-10-28 12:15:00+05:30,200.49,201.55,200.35,200.68,312725
2025-10-28 13:15:00+05:30,200.71,201.5,200.28,200.67,226840
2025-10-28 14:15:00+05:30,200.67,202.52,200.51,202.33,458077
2025-10-28 15:15:00+05:30,202.33,203.39,202.18,202.51,193862
2025-10-29 09:15:00+05:30,203.15,204.9,202.5,204.22,597135
2025-10-29 10:15:00+05:30,204.19,205.9,204.19,204.8,477746
2025-10-29 11:15:00+05:30,204.8,205.0,203.85,204.8,337708
2025-10-29 12:15:00+05:30,204.8,205.1,204.7,205.0,138495
2025-10-29 13:15:00+05:30,205.0,205.05,204.28,204.43,246470
2025-10-29 14:15:00+05:30,204.43,204.68,204.02,204.4,294058
2025-10-29 15:15:00+05:30,204.34,204.5,203.71,204.0,213636
2025-10-30 09:15:00+05:30,204.13,204.44,200.65,201.04,685376
2025-10-30 10:15:00+05:30,201.04,203.15,200.99,203.0,350920
2025-10-30 11:15:00+05:30,202.95,203.2,201.35,201.67,459225
2025-10-30 12:15:00+05:30,201.67,201.75,201.0,201.07,186059
