Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,333.2,336.1,328.4,329.0,4963362
2025-10-21 00:00:00+05:30,330.6,333.3,330.6,332.0,861044
2025-10-23 00:00:00+05:30,334.0,335.1,329.0,329.95,2981997
2025-10-24 00:00:00+05:30,330.95,333.45,328.05,329.45,2336043
2025-10-27 00:00:00+05:30,330.0,332.85,328.8,330.0,2248942
2025-10-28 00:00:00+05:30,332.65,334.2,327.3,328.85,4632729
2025-10-29 00:00:00+05:30,328.45,334.0,327.25,332.75,3978096
2025-10-30 00:00:00+05:30,332.95,337.3,330.5,331.55,3002069
2025-10-31 00:00:00+05:30,331.5,332.75,328.4,328.8,2081372
2025-11-03 00:00:00+05:30,328.4,331.55,327.7,328.7,2313547
2025-11-04 00:00:00+05:30,329.65,330.35,324.3,325.8,1993561
2025-11-06 00:00:00+05:30,325.9,327.45,317.3,317.8,3610101
2025-11-07 00:00:00+05:30,317.7,319.8,314.0,318.0,3577541
2025-11-10 00:00:00+05:30,318.3,320.85,315.55,315.9,2271236
2025-11-11 00:00:00+05:30,317.5,320.3,315.05,317.75,2711458
2025-11-12 00:00:00+05:30,314.0,320.5,308.0,316.35,7164298
2025-11-13 00:00:00+05:30,316.05,320.9,314.0,314.3,3602435
2025-11-14 00:00:00+05:30,314.35,325.25,314.3,321.05,7162206
2025-11-17 00:00:00+05:30,322.65,335.65,321.4,327.0,13111023
2025-11-18 00:00:00+05:30,327.0,327.4,320.3,321.2,3136355
2025-11-19 00:00:00+05:30,320.9,322.2,316.5,320.15,2950970
2025-11-20 00:00:00+05:30,320.45,324.15,318.1,319.1,2390778
2025-11-21 00:00:00+05:30,319.05,319.05,313.6,314.0,2555681
2025-11-24 00:00:00+05:30,316.9,329.95,312.6,324.85,9809535
2025-11-25 00:00:00+05:30,323.55,326.0,315.2,322.9,10977583
2025-11-26 00:00:00+05:30,319.75,324.9,317.9,323.6,5359842
2025-11-27 00:00:00+05:30,326.8,329.7,321.6,324.55,4946518
2025-11-28 00:00:00+05:30,323.0,324.8,321.5,324.1,3243378
2025-12-01 00:00:00+05:30,323.8,327.5,320.55,321.65,3356315
2025-12-02 00:00:00+05:30,320.0,320.4,316.55,317.9,2598203
2025-12-03 00:00:00+05:30,317.45,318.8,311.05,311.65,3009610
2025-12-04 00:00:00+05:30,313.25,316.4,310.7,312.4,4042661
2025-12-05 00:00:00+05:30,312.3,312.4,307.85,310.85,3104280
2025-12-08 00:00:00+05:30,310.45,311.55,301.65,307.15,3969397
2025-12-09 00:00:00+05:30,304.0,313.7,301.2,312.7,4741731
2025-12-10 00:00:00+05:30,312.05,315.0,307.55,308.9,2160269
2025-12-11 00:00:00+05:30,308.75,316.0,307.25,311.9,3663101
2025-12-12 00:00:00+05:30,313.35,315.15,311.05,313.9,1953253
2025-12-15 00:00:00+05:30,312.0,314.45,311.7,313.15,1474329
2025-12-16 00:00:00+05:30,312.55,312.6,308.0,309.4,1438292
2025-12-17 00:00:00+05:30,309.5,310.9,306.0,307.25,1877813
2025-12-18 00:00:00+05:30,306.95,307.15,303.2,305.95,2042006
2025-12-19 00:00:00+05:30,308.7,320.7,306.65,319.15,5025216
2025-12-22 00:00:00+05:30,320.05,335.5,319.1,332.5,13224486
2025-12-23 00:00:00+05:30,334.2,349.5,333.0,341.85,20825008
2025-12-24 00:00:00+05:30,343.95,349.4,338.0,345.7,12510973
2025-12-26 00:00:00+05:30,346.7,392.8,345.85,387.95,102998642
2025-12-29 00:00:00+05:30,394.95,400.7,365.9,367.6,38027612
2025-12-30 00:00:00+05:30,369.9,373.05,358.1,360.35,23158835
2025-12-31 00:00:00+05:30,360.5,366.25,356.1,357.25,13232939
2026-01-01 00:00:00+05:30,359.2,365.4,355.5,361.5,7782539
2026-01-02 00:00:00+05:30,363.5,368.45,360.65,365.85,7088047
2026-01-05 00:00:00+05:30,366.05,372.9,358.45,361.0,6255317
2026-01-06 00:00:00+05:30,361.9,367.75,354.4,358.3,5660162
2026-01-07 00:00:00+05:30,358.8,365.9,356.25,357.4,7777810
2026-01-08 00:00:00+05:30,357.4,360.75,341.0,342.55,8367219
2026-01-09 00:00:00+05:30,344.0,350.35,330.3,332.2,10019235
2026-01-12 00:00:00+05:30,333.45,333.9,323.1,331.65,9252024
2026-01-13 00:00:00+05:30,334.0,337.65,325.05,330.2,7141388
2026-01-14 00:00:00+05:30,329.5,341.9,328.0,338.3,10947879
2026-01-16 00:00:00+05:30,341.0,344.95,333.5,335.15,6964569
2026-01-19 00:00:00+05:30,332.95,337.7,329.8,331.3,5086365
2026-01-20 00:00:00+05:30,331.3,331.55,318.95,320.3,7883696
2026-01-21 00:00:00+05:30,318.0,324.15,313.8,317.1,8128372
2026-01-22 00:00:00+05:30,322.6,330.5,319.35,329.0,7930048
2026-01-23 00:00:00+05:30,331.0,334.8,323.4,325.15,6752882
2026-01-27 00:00:00+05:30,327.9,328.3,321.05,323.9,6925291
2026-01-28 00:00:00+05:30,328.4,344.2,326.5,342.5,12410845
2026-01-29 00:00:00+05:30,348.55,352.8,331.2,341.45,27044493
2026-01-30 00:00:00+05:30,337.9,344.9,331.8,343.4,14048559
2026-02-01 00:00:00+05:30,343.4,351.6,309.1,326.55,35645158
2026-02-02 00:00:00+05:30,320.0,325.5,312.05,322.8,15366228
2026-02-03 00:00:00+05:30,334.4,339.0,323.0,324.65,9101195
2026-02-04 00:00:00+05:30,323.7,323.9,318.75,321.0,7624858
2026-02-05 00:00:00+05:30,321.0,324.2,316.0,316.6,5886319
2026-02-06 00:00:00+05:30,315.25,316.25,310.5,314.1,6474773
2026-02-09 00:00:00+05:30,315.0,322.5,314.5,317.25,6233149
2026-02-10 00:00:00+05:30,319.0,324.8,316.55,319.45,9489579
2026-02-11 00:00:00+05:30,316.5,319.3,313.2,316.55,5142291
2026-02-12 00:00:00+05:30,315.9,315.9,309.1,313.7,9189505
2026-02-13 00:00:00+05:30,309.95,311.45,306.0,308.95,8168629
2026-02-16 00:00:00+05:30,306.5,311.9,304.1,310.0,3356120
