Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,927.05,941.5,927.05,937.95,1256593
2025-10-21 00:00:00+05:30,938.05,939.0,929.1,936.7,156079
2025-10-23 00:00:00+05:30,938.0,965.0,924.05,928.6,2397167
2025-10-24 00:00:00+05:30,927.85,936.9,890.75,928.95,2434129
2025-10-27 00:00:00+05:30,905.0,914.35,890.4,900.8,3305116
2025-10-28 00:00:00+05:30,901.05,915.0,890.25,905.75,1288380
2025-10-29 00:00:00+05:30,905.7,913.0,901.25,910.95,900250
2025-10-30 00:00:00+05:30,912.0,915.0,883.1,885.75,1323903
2025-10-31 00:00:00+05:30,887.9,893.9,875.5,878.65,1233800
2025-11-03 00:00:00+05:30,880.05,890.0,877.35,887.5,774670
2025-11-04 00:00:00+05:30,883.05,897.7,878.1,880.4,1792692
2025-11-06 00:00:00+05:30,881.05,885.95,867.1,870.2,645583
2025-11-07 00:00:00+05:30,865.0,875.7,859.1,872.0,663704
2025-11-10 00:00:00+05:30,870.9,880.75,864.3,875.05,375947
2025-11-11 00:00:00+05:30,875.25,889.9,857.0,863.45,1033769
2025-11-12 00:00:00+05:30,870.0,874.95,864.05,869.8,1194966
2025-11-13 00:00:00+05:30,874.0,886.85,866.35,877.65,1877134
2025-11-14 00:00:00+05:30,877.65,886.8,867.1,874.95,1863347
2025-11-17 00:00:00+05:30,875.0,894.65,873.95,889.2,701225
2025-11-18 00:00:00+05:30,889.2,889.3,865.05,867.35,784965
2025-11-19 00:00:00+05:30,869.05,869.1,852.4,863.7,862548
2025-11-20 00:00:00+05:30,863.7,877.35,863.7,874.1,390374
2025-11-21 00:00:00+05:30,874.1,881.25,867.8,878.05,459811
2025-11-24 00:00:00+05:30,884.0,902.7,867.2,869.7,4097096
2025-11-25 00:00:00+05:30,870.0,888.25,870.0,873.4,1962290
2025-11-26 00:00:00+05:30,874.05,880.0,870.5,877.75,676067
2025-11-27 00:00:00+05:30,878.4,885.7,875.85,880.4,1072239
2025-11-28 00:00:00+05:30,880.0,881.95,873.9,880.15,349529
2025-12-01 00:00:00+05:30,881.05,883.15,870.1,876.5,783244
2025-12-02 00:00:00+05:30,871.1,893.75,871.1,883.45,1264882
2025-12-03 00:00:00+05:30,881.75,885.0,866.05,867.95,565296
2025-12-04 00:00:00+05:30,870.0,874.95,853.85,855.9,573572
2025-12-05 00:00:00+05:30,859.6,887.8,856.3,885.15,1752612
2025-12-08 00:00:00+05:30,885.15,889.5,866.55,870.1,395449
2025-12-09 00:00:00+05:30,866.55,868.75,856.45,865.35,419540
2025-12-10 00:00:00+05:30,865.35,872.05,855.85,865.35,1361622
2025-12-11 00:00:00+05:30,865.6,884.85,860.6,873.2,659807
2025-12-12 00:00:00+05:30,871.95,879.85,871.8,874.6,428193
2025-12-15 00:00:00+05:30,870.1,874.6,864.05,870.0,526827
2025-12-16 00:00:00+05:30,866.0,868.35,842.5,847.7,799118
2025-12-17 00:00:00+05:30,847.7,851.4,829.0,834.4,895187
2025-12-18 00:00:00+05:30,834.05,855.0,831.0,848.15,959266
2025-12-19 00:00:00+05:30,849.0,878.0,848.25,870.3,1516944
2025-12-22 00:00:00+05:30,870.6,879.8,867.0,872.2,550196
2025-12-23 00:00:00+05:30,871.0,875.0,861.6,866.95,419784
2025-12-24 00:00:00+05:30,867.0,881.0,865.35,867.6,1242121
2025-12-26 00:00:00+05:30,874.9,875.0,862.8,864.6,1945212
2025-12-29 00:00:00+05:30,864.65,866.35,846.95,849.95,922488
2025-12-30 00:00:00+05:30,848.05,852.5,829.7,843.4,6890747
2025-12-31 00:00:00+05:30,843.4,865.45,842.0,861.7,1099785
2026-01-01 00:00:00+05:30,861.7,865.8,854.6,859.5,486194
2026-01-02 00:00:00+05:30,862.95,881.35,856.0,875.95,689809
2026-01-05 00:00:00+05:30,872.0,876.35,866.75,873.5,464853
2026-01-06 00:00:00+05:30,873.95,906.4,873.15,901.55,1737746
2026-01-07 00:00:00+05:30,901.05,901.45,881.35,885.6,829925
2026-01-08 00:00:00+05:30,885.6,885.6,869.65,872.15,760018
2026-01-09 00:00:00+05:30,866.6,875.5,860.3,863.2,578117
2026-01-12 00:00:00+05:30,854.0,857.9,838.1,855.75,762944
2026-01-13 00:00:00+05:30,855.9,862.05,846.0,857.85,776526
2026-01-14 00:00:00+05:30,852.55,858.3,843.75,846.5,791044
2026-01-16 00:00:00+05:30,846.6,851.5,835.35,839.65,736038
2026-01-19 00:00:00+05:30,835.45,841.4,833.1,838.3,1121926
2026-01-20 00:00:00+05:30,836.0,838.95,808.0,811.8,1042145
2026-01-21 00:00:00+05:30,804.45,814.2,781.65,783.7,1556847
2026-01-22 00:00:00+05:30,785.0,793.6,783.0,789.1,1299134
2026-01-23 00:00:00+05:30,794.9,794.9,767.35,770.55,727529
2026-01-27 00:00:00+05:30,771.0,780.55,761.0,771.0,943204
2026-01-28 00:00:00+05:30,771.5,793.8,771.5,782.4,1475349
2026-01-29 00:00:00+05:30,779.95,785.0,751.75,769.35,5513410
2026-01-30 00:00:00+05:30,769.5,770.0,749.9,753.55,3416794
2026-02-01 00:00:00+05:30,755.75,758.3,725.6,737.35,784845
2026-02-02 00:00:00+05:30,737.35,742.0,725.15,735.8,2045295
2026-02-03 00:00:00+05:30,760.0,788.6,746.55,758.1,1300048
