Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,29835,29840,29090,29210,6181
2025-10-20 10:15:00+05:30,29210,29230,28865,28910,4267
2025-10-20 11:15:00+05:30,28915,28990,28765,28910,3182
2025-10-20 12:15:00+05:30,28920,28970,28865,28955,1241
2025-10-20 13:15:00+05:30,28955,29005,28910,28910,1807
2025-10-20 14:15:00+05:30,28910,28930,28805,28845,3073
2025-10-20 15:15:00+05:30,28845,28955,28845,28870,3335
2025-10-21 13:45:00+05:30,29045,29085,28755,28890,1669
2025-10-23 09:15:00+05:30,29025,29315,28855,29155,7957
2025-10-23 10:15:00+05:30,29155,29215,29100,29170,2103
2025-10-23 11:15:00+05:30,29170,29350,29080,29080,5320
2025-10-23 12:15:00+05:30,29080,29090,28880,28915,4831
2025-10-23 13:15:00+05:30,28915,28990,28850,28895,5965
2025-10-23 14:15:00+05:30,28895,29045,28880,29005,9065
2025-10-23 15:15:00+05:30,28985,29075,28870,28970,13646
2025-10-24 09:15:00+05:30,29100,29110,28695,28760,3502
2025-10-24 10:15:00+05:30,28760,28870,28700,28870,2322
2025-10-24 11:15:00+05:30,28870,28890,28675,28785,2302
2025-10-24 12:15:00+05:30,28785,28795,28620,28690,1898
2025-10-24 13:15:00+05:30,28690,28730,28525,28605,2002
2025-10-24 14:15:00+05:30,28605,28730,28575,28695,6564
2025-10-24 15:15:00+05:30,28695,28745,28625,28710,6416
2025-10-27 09:15:00+05:30,28845,28930,28555,28840,5687
2025-10-27 10:15:00+05:30,28840,28850,28680,28705,3901
2025-10-27 11:15:00+05:30,28705,28795,28610,28770,3842
2025-10-27 12:15:00+05:30,28770,28780,28625,28705,4909
2025-10-27 13:15:00+05:30,28705,28715,28580,28610,5395
2025-10-27 14:15:00+05:30,28610,28695,28520,28565,8898
2025-10-27 15:15:00+05:30,28565,28660,28565,28635,3586
2025-10-28 09:15:00+05:30,28780,28780,28465,28570,5731
2025-10-28 10:15:00+05:30,28570,28705,28530,28535,3435
2025-10-28 11:15:00+05:30,28535,28690,28385,28395,4664
2025-10-28 12:15:00+05:30,28395,28590,28300,28535,5790
2025-10-28 13:15:00+05:30,28535,28550,28400,28400,4413
2025-10-28 14:15:00+05:30,28400,28635,28325,28635,7603
2025-10-28 15:15:00+05:30,28635,28720,28535,28565,2518
2025-10-29 09:15:00+05:30,28585,29425,28450,28760,22576
2025-10-29 10:15:00+05:30,28760,29270,28720,29210,21749
2025-10-29 11:15:00+05:30,29200,29245,28935,29030,8694
2025-10-29 12:15:00+05:30,29030,29250,28900,29110,7326
2025-10-29 13:15:00+05:30,29125,29210,29070,29105,4585
2025-10-29 14:15:00+05:30,29105,29215,29070,29210,6985
2025-10-29 15:15:00+05:30,29200,29250,29005,29005,6203
2025-10-30 09:15:00+05:30,29200,29200,28780,28815,4663
2025-10-30 10:15:00+05:30,28815,28900,28760,28895,1624
2025-10-30 11:15:00+05:30,28890,29060,28870,28870,2874
2025-10-30 12:15:00+05:30,28880,28885,28765,28795,2078
2025-10-30 13:15:00+05:30,28795,28800,28680,28680,2738
2025-10-30 14:15:00+05:30,28690,28780,28680,28760,5013
2025-10-30 15:15:00+05:30,28760,28770,28700,28720,3334
2025-10-31 09:15:00+05:30,28730,28735,28545,28680,5818
2025-10-31 10:15:00+05:30,28680,28740,28550,28555,3022
2025-10-31 11:15:00+05:30,28555,28580,28500,28500,1637
2025-10-31 12:15:00+05:30,28500,28505,28405,28420,3099
2025-10-31 13:15:00+05:30,28415,28460,28370,28405,2103
2025-10-31 14:15:00+05:30,28405,28420,28260,28320,5014
2025-10-31 15:15:00+05:30,28315,28370,28305,28330,3502
2025-11-03 09:15:00+05:30,28310,28395,28130,28365,2825
2025-11-03 10:15:00+05:30,28365,28370,28015,28040,1666
2025-11-03 11:15:00+05:30,28040,28105,28010,28020,767
2025-11-03 12:15:00+05:30,28020,28090,27975,27985,1596
2025-11-03 13:15:00+05:30,27985,28035,27860,27890,1728
2025-11-03 14:15:00+05:30,27890,28000,27885,27985,2071
2025-11-03 15:15:00+05:30,27980,28045,27950,28045,1306
2025-11-04 09:15:00+05:30,28095,28095,27835,27860,2605
2025-11-04 10:15:00+05:30,27860,27880,27805,27845,610
2025-11-04 11:15:00+05:30,27845,27845,27600,27620,2098
2025-11-04 12:15:00+05:30,27620,27660,27585,27645,790
2025-11-04 13:15:00+05:30,27645,27690,27580,27580,1071
2025-11-04 14:15:00+05:30,27580,27635,27540,27565,2434
2025-11-04 15:15:00+05:30,27565,27700,27565,27700,2407
2025-11-06 09:15:00+05:30,27620,27690,27530,27565,2375
2025-11-06 10:15:00+05:30,27540,27660,27425,27620,1474
2025-11-06 11:15:00+05:30,27620,27640,27470,27590,1759
2025-11-06 12:15:00+05:30,27595,27605,27475,27565,1164
2025-11-06 13:15:00+05:30,27565,27585,27435,27490,1799
2025-11-06 14:15:00+05:30,27490,27590,27400,27440,3591
2025-11-06 15:15:00+05:30,27440,27480,27400,27400,2887
2025-11-07 09:15:00+05:30,27400,27440,27210,27385,2643
2025-11-07 10:15:00+05:30,27385,27640,27345,27600,3510
2025-11-07 11:15:00+05:30,27580,27725,27555,27685,4236
2025-11-07 12:15:00+05:30,27675,27760,27455,27485,4633
2025-11-07 13:15:00+05:30,27485,27515,27360,27375,3715
2025-11-07 14:15:00+05:30,27375,27450,27325,27365,2404
2025-11-07 15:15:00+05:30,27380,27440,27345,27400,1894
2025-11-10 09:15:00+05:30,27400,27535,27225,27285,2993
2025-11-10 10:15:00+05:30,27285,27335,27250,27295,1240
2025-11-10 11:15:00+05:30,27305,27425,27255,27390,2111
2025-11-10 12:15:00+05:30,27390,27445,27300,27395,2849
2025-11-10 13:15:00+05:30,27395,27425,27200,27260,8089
2025-11-10 14:15:00+05:30,27260,27300,27040,27080,9864
2025-11-10 15:15:00+05:30,27065,27170,27035,27170,4999
2025-11-11 09:15:00+05:30,27250,27250,26950,27015,3122
2025-11-11 10:15:00+05:30,27015,27080,26985,26990,1357
2025-11-11 11:15:00+05:30,27000,27135,26930,27045,1860
2025-11-11 12:15:00+05:30,27045,27145,26990,27085,1802
2025-11-11 13:15:00+05:30,27085,27140,27070,27075,1370
2025-11-11 14:15:00+05:30,27075,27130,26980,27015,6851
2025-11-11 15:15:00+05:30,27020,27065,26915,27025,3040
2025-11-12 09:15:00+05:30,27245,27245,26970,26990,1948
2025-11-12 10:15:00+05:30,26990,27050,26970,27005,1054
2025-11-12 11:15:00+05:30,27005,27095,26990,27050,2454
2025-11-12 12:15:00+05:30,27050,27145,27030,27090,3883
2025-11-12 13:15:00+05:30,27090,27130,27040,27070,2555
2025-11-12 14:15:00+05:30,27070,27175,27035,27115,6705
2025-11-12 15:15:00+05:30,27120,27120,27010,27090,5770
2025-11-13 09:15:00+05:30,27200,27200,27000,27165,2582
2025-11-13 10:15:00+05:30,27165,27180,27105,27160,1377
2025-11-13 11:15:00+05:30,27160,27240,27100,27225,2468
2025-11-13 12:15:00+05:30,27220,27275,27100,27205,2802
2025-11-13 13:15:00+05:30,27205,27215,27035,27050,1189
2025-11-13 14:15:00+05:30,27050,27095,26980,26995,2201
2025-11-13 15:15:00+05:30,26995,27060,26950,27060,1907
2025-11-14 09:15:00+05:30,26955,27090,26860,26875,1686
2025-11-14 10:15:00+05:30,26875,26905,26810,26880,857
2025-11-14 11:15:00+05:30,26880,26900,26750,26815,1298
2025-11-14 12:15:00+05:30,26815,26840,26725,26765,908
2025-11-14 13:15:00+05:30,26755,26785,26655,26725,2471
2025-11-14 14:15:00+05:30,26725,26780,26610,26775,8280
2025-11-14 15:15:00+05:30,26760,26820,26715,26820,2658
2025-11-17 09:15:00+05:30,26820,26820,26610,26685,4764
2025-11-17 10:15:00+05:30,26685,26745,26610,26690,3730
2025-11-17 11:15:00+05:30,26690,26750,26680,26725,2790
2025-11-17 12:15:00+05:30,26725,26740,26670,26690,695
2025-11-17 13:15:00+05:30,26690,26765,26685,26710,1170
2025-11-17 14:15:00+05:30,26710,26730,26650,26670,2777
2025-11-17 15:15:00+05:30,26670,26715,26640,26660,4788
2025-11-18 09:15:00+05:30,26690,26760,26300,26360,7046
2025-11-18 10:15:00+05:30,26345,26490,26345,26430,4042
2025-11-18 11:15:00+05:30,26430,26640,26425,26585,4103
2025-11-18 12:15:00+05:30,26585,26680,26545,26680,3481
2025-11-18 13:15:00+05:30,26680,26700,26560,26600,4260
2025-11-18 14:15:00+05:30,26600,26600,26375,26400,9589
2025-11-18 15:15:00+05:30,26400,26535,26395,26460,4272
2025-11-19 09:15:00+05:30,26495,26630,26430,26515,2451
2025-11-19 10:15:00+05:30,26515,26520,26405,26410,801
2025-11-19 11:15:00+05:30,26415,26540,26410,26515,610
2025-11-19 12:15:00+05:30,26515,26550,26415,26440,786
2025-11-19 13:15:00+05:30,26440,26505,26425,26445,1189
2025-11-19 14:15:00+05:30,26445,26545,26445,26545,4551
2025-11-19 15:15:00+05:30,26545,26550,26465,26550,2086
2025-11-20 09:15:00+05:30,26520,26565,26395,26485,3055
2025-11-20 10:15:00+05:30,26480,26560,26470,26520,1874
2025-11-20 11:15:00+05:30,26520,26565,26475,26490,1660
2025-11-20 12:15:00+05:30,26495,26555,26470,26515,1790
2025-11-20 13:15:00+05:30,26515,26620,26510,26540,1938
2025-11-20 14:15:00+05:30,26540,26555,26445,26470,2899
2025-11-20 15:15:00+05:30,26475,26535,26450,26475,2229
2025-11-21 09:15:00+05:30,26505,26580,26440,26560,1194
2025-11-21 10:15:00+05:30,26560,26625,26480,26625,1249
2025-11-21 11:15:00+05:30,26590,26745,26590,26720,4411
2025-11-21 12:15:00+05:30,26740,26750,26640,26640,1349
2025-11-21 13:15:00+05:30,26640,26690,26560,26560,1610
2025-11-21 14:15:00+05:30,26560,26575,26420,26470,4513
2025-11-21 15:15:00+05:30,26470,26500,26440,26450,1058
2025-11-24 09:15:00+05:30,26490,26540,26325,26530,1752
2025-11-24 10:15:00+05:30,26530,26535,26465,26480,1657
2025-11-24 11:15:00+05:30,26480,26505,26395,26475,1719
2025-11-24 12:15:00+05:30,26475,26500,26450,26480,1107
2025-11-24 13:15:00+05:30,26480,26520,26410,26435,1888
2025-11-24 14:15:00+05:30,26440,26525,26400,26475,8214
2025-11-24 15:15:00+05:30,26475,26525,26350,26505,7027
2025-11-25 09:15:00+05:30,26490,26505,26360,26500,2884
2025-11-25 10:15:00+05:30,26500,26500,26435,26465,5865
2025-11-25 11:15:00+05:30,26460,26465,26440,26455,3463
2025-11-25 12:15:00+05:30,26455,26470,26445,26455,5891
2025-11-25 13:15:00+05:30,26455,26480,26450,26460,3622
2025-11-25 14:15:00+05:30,26460,26475,26440,26455,9409
2025-11-25 15:15:00+05:30,26455,26505,26380,26505,4832
2025-11-26 09:15:00+05:30,26655,26825,26480,26655,3371
2025-11-26 10:15:00+05:30,26655,26730,26630,26630,1052
2025-11-26 11:15:00+05:30,26630,26785,26620,26770,4210
2025-11-26 12:15:00+05:30,26770,26825,26750,26820,823
2025-11-26 13:15:00+05:30,26820,26835,26760,26820,997
