Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,14060,14225,14053,14100,5618
2025-10-20 09:30:00+05:30,14096,14150,14091,14099,1577
2025-10-20 09:45:00+05:30,14099,14130,14080,14083,1730
2025-10-20 10:00:00+05:30,14082,14114,14082,14096,757
2025-10-20 10:15:00+05:30,14096,14196,14084,14149,3634
2025-10-20 10:30:00+05:30,14150,14219,14140,14171,4973
2025-10-20 10:45:00+05:30,14177,14190,14132,14136,983
2025-10-20 11:00:00+05:30,14132,14178,14120,14170,1393
2025-10-20 11:15:00+05:30,14166,14175,14136,14158,666
2025-10-20 11:30:00+05:30,14158,14187,14151,14183,841
2025-10-20 11:45:00+05:30,14183,14200,14150,14156,1759
2025-10-20 12:00:00+05:30,14153,14178,14153,14165,764
2025-10-20 12:15:00+05:30,14165,14170,14152,14167,1212
2025-10-20 12:30:00+05:30,14158,14175,14155,14170,704
2025-10-20 12:45:00+05:30,14170,14175,14165,14170,405
2025-10-20 13:00:00+05:30,14170,14176,14158,14170,690
2025-10-20 13:15:00+05:30,14170,14177,14164,14170,470
2025-10-20 13:30:00+05:30,14170,14177,14161,14161,328
2025-10-20 13:45:00+05:30,14167,14178,14151,14169,1925
2025-10-20 14:00:00+05:30,14162,14170,14113,14125,1164
2025-10-20 14:15:00+05:30,14125,14138,14110,14121,1123
2025-10-20 14:30:00+05:30,14120,14142,14113,14142,1234
2025-10-20 14:45:00+05:30,14131,14140,14099,14104,2314
2025-10-20 15:00:00+05:30,14101,14104,14069,14081,4176
2025-10-20 15:15:00+05:30,14078,14112,14071,14100,5314
2025-10-21 13:45:00+05:30,14070,14140,14064,14110,2195
2025-10-21 14:00:00+05:30,14111,14117,14082,14108,2465
2025-10-21 14:15:00+05:30,14108,14120,14100,14108,1111
2025-10-21 14:30:00+05:30,14101,14138,14076,14119,3782
2025-10-23 09:15:00+05:30,14202,14203,13924,14062,8370
2025-10-23 09:30:00+05:30,14064,14088,14000,14053,2565
2025-10-23 09:45:00+05:30,14052,14075,13980,13984,3209
2025-10-23 10:00:00+05:30,13983,14012,13976,14000,2601
2025-10-23 10:15:00+05:30,14003,14015,13992,13999,1148
2025-10-23 10:30:00+05:30,13999,14039,13986,14039,1329
2025-10-23 10:45:00+05:30,14034,14050,14010,14050,1247
2025-10-23 11:00:00+05:30,14050,14050,14000,14030,997
2025-10-23 11:15:00+05:30,14030,14055,13995,14021,1422
2025-10-23 11:30:00+05:30,14020,14045,14020,14031,1193
2025-10-23 11:45:00+05:30,14031,14069,14031,14051,1406
2025-10-23 12:00:00+05:30,14053,14064,14038,14056,1189
2025-10-23 12:15:00+05:30,14056,14088,14042,14051,1287
2025-10-23 12:30:00+05:30,14051,14053,14025,14025,828
2025-10-23 12:45:00+05:30,14025,14037,14020,14030,731
2025-10-23 13:00:00+05:30,14030,14033,14025,14025,616
2025-10-23 13:15:00+05:30,14025,14027,14020,14020,1667
2025-10-23 13:30:00+05:30,14020,14048,14007,14033,5249
2025-10-23 13:45:00+05:30,14033,14033,14013,14020,3624
2025-10-23 14:00:00+05:30,14020,14053,14020,14042,1086
2025-10-23 14:15:00+05:30,14046,14050,14034,14037,601
2025-10-23 14:30:00+05:30,14037,14046,14028,14036,1003
2025-10-23 14:45:00+05:30,14036,14049,14020,14022,1409
2025-10-23 15:00:00+05:30,14022,14040,14016,14020,21847
2025-10-23 15:15:00+05:30,14021,14040,14020,14020,10980
2025-10-24 09:15:00+05:30,14100,14103,14023,14060,5033
2025-10-24 09:30:00+05:30,14060,14100,14040,14074,1771
2025-10-24 09:45:00+05:30,14074,14079,14025,14038,1685
2025-10-24 10:00:00+05:30,14038,14058,14022,14033,725
2025-10-24 10:15:00+05:30,14033,14050,14007,14013,1796
2025-10-24 10:30:00+05:30,14013,14037,14002,14017,959
2025-10-24 10:45:00+05:30,14017,14071,14000,14065,1248
2025-10-24 11:00:00+05:30,14065,14069,14031,14052,634
2025-10-24 11:15:00+05:30,14052,14124,14046,14110,2088
2025-10-24 11:30:00+05:30,14113,14122,14081,14115,1283
2025-10-24 11:45:00+05:30,14115,14116,14091,14103,964
2025-10-24 12:00:00+05:30,14103,14124,14076,14080,1065
2025-10-24 12:15:00+05:30,14080,14113,14075,14077,682
2025-10-24 12:30:00+05:30,14077,14079,14051,14055,673
2025-10-24 12:45:00+05:30,14055,14061,14050,14050,701
2025-10-24 13:00:00+05:30,14050,14056,14037,14045,960
2025-10-24 13:15:00+05:30,14045,14047,14011,14011,743
2025-10-24 13:30:00+05:30,14011,14022,14000,14005,1681
