Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,14060,14225,14053,14084,45937
2025-10-21 00:00:00+05:30,14070,14140,14064,14107,10143
2025-10-23 00:00:00+05:30,14202,14203,13924,14022,77806
2025-10-24 00:00:00+05:30,14100,14124,13982,14017,45736
2025-10-27 00:00:00+05:30,14079,14152,13954,14019,50716
2025-10-28 00:00:00+05:30,14019,14089,13758,13853,146545
2025-10-29 00:00:00+05:30,13889,13985,13806,13960,38060
2025-10-30 00:00:00+05:30,13960,13995,13828,13901,45057
2025-10-31 00:00:00+05:30,13896,13999,13835,13878,99109
2025-11-03 00:00:00+05:30,13840,14195,13826,14161,49738
2025-11-04 00:00:00+05:30,14090,14172,13600,13624,149622
2025-11-06 00:00:00+05:30,13700,13713,13350,13376,75461
2025-11-07 00:00:00+05:30,13410,13599,13227,13573,62144
2025-11-10 00:00:00+05:30,13600,13740,13312,13407,147395
2025-11-11 00:00:00+05:30,13480,14085,13231,13788,305585
2025-11-12 00:00:00+05:30,13950,14245,13780,14084,210558
2025-11-13 00:00:00+05:30,14145,14145,13712,13759,114341
2025-11-14 00:00:00+05:30,13790,14016,13700,13880,99365
2025-11-17 00:00:00+05:30,13980,14074,13822,13910,105557
2025-11-18 00:00:00+05:30,13910,13970,13651,13770,90160
2025-11-19 00:00:00+05:30,14000,14065,13677,13809,175913
2025-11-20 00:00:00+05:30,13875,14060,13787,13951,104582
2025-11-21 00:00:00+05:30,13955,13984,13730,13758,74990
2025-11-24 00:00:00+05:30,13790,13790,13318,13367,148239
2025-11-25 00:00:00+05:30,13355,13451,13241,13267,79357
2025-11-26 00:00:00+05:30,13348,13548,13300,13460,50316
2025-11-27 00:00:00+05:30,13527,13590,13290,13353,61893
2025-11-28 00:00:00+05:30,13379,13379,13138,13272,103574
2025-12-01 00:00:00+05:30,13329,13405,13201,13248,85807
2025-12-02 00:00:00+05:30,13285,13340,13160,13307,89898
2025-12-03 00:00:00+05:30,13310,13363,12785,12835,114964
2025-12-04 00:00:00+05:30,12879,12989,12702,12941,83946
2025-12-05 00:00:00+05:30,12936,12951,12701,12819,50887
2025-12-08 00:00:00+05:30,12800,12800,12371,12436,82748
2025-12-09 00:00:00+05:30,12315,12616,12210,12588,127407
2025-12-10 00:00:00+05:30,12588,12666,12412,12456,66901
2025-12-11 00:00:00+05:30,12467,12513,12380,12458,67648
2025-12-12 00:00:00+05:30,12518,12518,12185,12304,81198
2025-12-15 00:00:00+05:30,12294,12315,12177,12196,42663
2025-12-16 00:00:00+05:30,12196,12200,11850,11918,82093
2025-12-17 00:00:00+05:30,11930,11980,11759,11815,62325
2025-12-18 00:00:00+05:30,11827,11847,11646,11772,119304
2025-12-19 00:00:00+05:30,11847,11960,11723,11911,132829
2025-12-22 00:00:00+05:30,11975,12672,11850,12620,189388
2025-12-23 00:00:00+05:30,12690,12690,12447,12545,130163
2025-12-24 00:00:00+05:30,12500,12708,12453,12485,107064
2025-12-26 00:00:00+05:30,12529,12736,12410,12437,129532
2025-12-29 00:00:00+05:30,12516,12558,12250,12331,104608
2025-12-30 00:00:00+05:30,12360,12360,11824,12028,819536
2025-12-31 00:00:00+05:30,12194,12366,12129,12252,175391
2026-01-01 00:00:00+05:30,12335,12348,12065,12166,85262
2026-01-02 00:00:00+05:30,12198,12356,12130,12336,70737
2026-01-05 00:00:00+05:30,12335,12921,12250,12731,231189
2026-01-06 00:00:00+05:30,12749,12870,12585,12856,95209
2026-01-07 00:00:00+05:30,12856,13517,12813,13328,232632
2026-01-08 00:00:00+05:30,13389,13739,13353,13452,301679
2026-01-09 00:00:00+05:30,13455,13712,13075,13191,211884
2026-01-12 00:00:00+05:30,13200,13320,12928,13042,124260
2026-01-13 00:00:00+05:30,13043,13175,12552,12696,149946
2026-01-14 00:00:00+05:30,12661,12971,12600,12875,166944
2026-01-16 00:00:00+05:30,12968,13094,12685,12835,145658
2026-01-19 00:00:00+05:30,12934,13179,12835,12925,132135
2026-01-20 00:00:00+05:30,12953,13001,12528,12596,104387
2026-01-21 00:00:00+05:30,12578,12598,12350,12539,104047
2026-01-22 00:00:00+05:30,12571,12997,12571,12901,137703
2026-01-23 00:00:00+05:30,12951,12967,12623,12658,84340
2026-01-27 00:00:00+05:30,12694,12910,12558,12766,106267
2026-01-28 00:00:00+05:30,12803,13980,12801,13916,294069
2026-01-29 00:00:00+05:30,13990,14000,13210,13327,214858
2026-01-30 00:00:00+05:30,13228,13564,13010,13480,314201
2026-02-01 00:00:00+05:30,13605,13857,12374,13198,327546
2026-02-02 00:00:00+05:30,13198,13341,12851,13199,143982
2026-02-03 00:00:00+05:30,13799,14050,13251,13793,347896
2026-02-04 00:00:00+05:30,13963,14130,13337,13572,272209
2026-02-05 00:00:00+05:30,13581,13680,13223,13384,107492
2026-02-06 00:00:00+05:30,13366,13370,12861,12999,148802
2026-02-09 00:00:00+05:30,13060,13449,12925,13389,118441
2026-02-10 00:00:00+05:30,13500,13598,13390,13423,72552
2026-02-11 00:00:00+05:30,13479,13495,13293,13445,75171
2026-02-12 00:00:00+05:30,13439,13470,13213,13391,60892
2026-02-13 00:00:00+05:30,13250,13300,12935,13043,90669
2026-02-16 00:00:00+05:30,13043,13074,12852,13058,30915
