Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,639.95,646.5,638.75,643.9,333114
2025-10-21 00:00:00+05:30,643.9,646.45,641.0,641.85,25485
2025-10-23 00:00:00+05:30,644.0,664.25,642.0,661.25,1034780
2025-10-24 00:00:00+05:30,666.15,667.85,655.4,659.85,687780
2025-10-27 00:00:00+05:30,662.0,666.8,658.1,660.4,308585
2025-10-28 00:00:00+05:30,658.0,664.25,652.45,657.5,342626
2025-10-29 00:00:00+05:30,657.5,662.65,656.0,659.25,192741
2025-10-30 00:00:00+05:30,657.4,660.05,643.45,650.65,379950
2025-10-31 00:00:00+05:30,654.4,657.55,647.05,650.1,435568
2025-11-03 00:00:00+05:30,654.55,660.8,652.35,657.8,308348
2025-11-04 00:00:00+05:30,657.8,659.85,643.6,646.55,367631
2025-11-06 00:00:00+05:30,635.25,653.9,616.0,620.6,1642849
2025-11-07 00:00:00+05:30,611.5,622.0,608.6,616.3,1904996
2025-11-10 00:00:00+05:30,612.0,632.8,609.4,630.2,391199
2025-11-11 00:00:00+05:30,640.0,655.95,632.65,644.9,2473758
2025-11-12 00:00:00+05:30,649.3,667.4,640.65,663.85,1155741
2025-11-13 00:00:00+05:30,663.85,673.4,660.5,662.1,1099229
2025-11-14 00:00:00+05:30,662.1,666.6,650.5,654.4,491837
2025-11-17 00:00:00+05:30,654.55,658.5,649.2,652.15,486418
2025-11-18 00:00:00+05:30,650.05,653.0,641.55,643.1,547823
2025-11-19 00:00:00+05:30,644.3,646.1,630.8,634.85,713649
2025-11-20 00:00:00+05:30,635.1,636.35,630.9,634.6,173819
2025-11-21 00:00:00+05:30,633.0,639.8,626.7,629.25,299082
2025-11-24 00:00:00+05:30,633.0,646.45,630.25,639.7,826462
2025-11-25 00:00:00+05:30,643.0,643.85,637.8,642.05,421080
2025-11-26 00:00:00+05:30,641.75,649.0,641.2,646.85,171609
2025-11-27 00:00:00+05:30,650.7,650.7,638.2,640.0,180447
2025-11-28 00:00:00+05:30,640.0,651.8,637.05,648.3,408631
2025-12-01 00:00:00+05:30,651.5,652.1,639.1,645.45,293778
2025-12-02 00:00:00+05:30,642.0,647.15,634.7,637.3,350946
2025-12-03 00:00:00+05:30,635.4,643.8,631.3,636.2,235584
2025-12-04 00:00:00+05:30,631.0,644.95,631.0,642.35,337969
2025-12-05 00:00:00+05:30,639.0,644.0,631.1,639.8,433951
2025-12-08 00:00:00+05:30,638.0,639.8,625.0,632.15,597646
2025-12-09 00:00:00+05:30,628.0,635.0,623.65,627.15,194493
2025-12-10 00:00:00+05:30,627.95,634.25,626.0,629.35,645188
2025-12-11 00:00:00+05:30,627.4,643.9,625.15,640.85,171610
2025-12-12 00:00:00+05:30,640.85,652.7,639.9,647.0,777102
2025-12-15 00:00:00+05:30,647.0,661.2,646.95,660.35,758214
2025-12-16 00:00:00+05:30,658.0,661.2,642.8,646.35,494479
2025-12-17 00:00:00+05:30,642.0,652.95,642.0,646.5,888872
2025-12-18 00:00:00+05:30,646.5,660.25,641.25,657.1,952822
2025-12-19 00:00:00+05:30,658.0,665.3,643.95,654.15,664090
2025-12-22 00:00:00+05:30,653.5,663.15,652.25,659.0,363035
2025-12-23 00:00:00+05:30,659.0,662.05,655.65,658.55,188354
2025-12-24 00:00:00+05:30,658.55,661.0,651.5,652.95,810149
2025-12-26 00:00:00+05:30,650.95,656.25,648.8,654.65,130024
2025-12-29 00:00:00+05:30,657.9,659.45,651.3,655.55,495480
