Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,173.3,173.3,170.82,171.6,3403455
2025-10-20 10:15:00+05:30,171.56,172.62,171.33,172.35,1191441
2025-10-20 11:15:00+05:30,172.4,172.61,171.43,171.52,2078172
2025-10-20 12:15:00+05:30,171.52,172.21,171.47,172.09,2047418
2025-10-20 13:15:00+05:30,172.03,172.68,171.68,172.44,2849271
2025-10-20 14:15:00+05:30,172.46,172.79,171.61,171.99,3586539
2025-10-20 15:15:00+05:30,171.98,172.48,171.8,172.1,2781205
2025-10-21 13:45:00+05:30,172.4,173.25,172.1,172.68,2378714
2025-10-23 09:15:00+05:30,173.9,176.08,173.64,175.06,8401769
2025-10-23 10:15:00+05:30,175.06,175.82,174.4,174.58,3987020
2025-10-23 11:15:00+05:30,174.66,174.81,173.94,174.35,5164060
2025-10-23 12:15:00+05:30,174.35,175.0,174.31,174.8,1746185
2025-10-23 13:15:00+05:30,174.79,174.95,174.23,174.42,2650588
2025-10-23 14:15:00+05:30,174.42,175.0,173.9,173.93,6049312
2025-10-23 15:15:00+05:30,173.93,174.26,173.84,174.25,3050044
2025-10-24 09:15:00+05:30,174.6,177.35,174.5,176.6,6661243
2025-10-24 10:15:00+05:30,176.58,176.66,174.77,174.89,2987977
2025-10-24 11:15:00+05:30,174.89,175.39,174.75,175.0,3456796
2025-10-24 12:15:00+05:30,175.0,175.3,174.63,174.86,3240931
2025-10-24 13:15:00+05:30,174.88,174.9,173.72,174.61,4706944
2025-10-24 14:15:00+05:30,174.58,174.91,174.06,174.39,2160390
2025-10-24 15:15:00+05:30,174.37,174.68,174.37,174.42,1827543
2025-10-27 09:15:00+05:30,175.89,177.9,175.53,177.12,7098920
2025-10-27 10:15:00+05:30,177.12,177.24,176.18,176.55,3714957
2025-10-27 11:15:00+05:30,176.52,177.7,176.11,177.36,3513745
2025-10-27 12:15:00+05:30,177.36,177.65,176.72,176.78,2062931
2025-10-27 13:15:00+05:30,176.71,176.83,176.3,176.65,1495037
