Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,400.05,401.75,396.6,399.7,3054985
2025-10-20 10:15:00+05:30,399.7,403.4,398.65,400.55,1945100
2025-10-20 11:15:00+05:30,400.6,400.65,398.65,399.5,926830
2025-10-20 12:15:00+05:30,399.65,400.35,399.05,400.0,844296
2025-10-20 13:15:00+05:30,400.0,400.0,399.0,399.5,707081
2025-10-20 14:15:00+05:30,399.5,400.0,398.0,399.95,1880384
2025-10-20 15:15:00+05:30,399.95,400.0,399.3,399.6,1024472
2025-10-21 13:45:00+05:30,402.8,403.4,400.05,400.85,3361875
2025-10-23 09:15:00+05:30,407.5,407.95,403.6,406.15,4951884
2025-10-23 10:15:00+05:30,406.15,407.0,405.55,406.05,1394988
2025-10-23 11:15:00+05:30,406.05,408.9,405.7,408.25,1665337
2025-10-23 12:15:00+05:30,408.3,408.7,407.5,407.65,1185564
2025-10-23 13:15:00+05:30,407.6,408.3,406.5,406.8,1056360
2025-10-23 14:15:00+05:30,406.8,408.9,405.2,405.25,2446093
2025-10-23 15:15:00+05:30,405.25,406.0,405.05,405.6,1158953
2025-10-24 09:15:00+05:30,406.95,408.5,403.55,406.6,2016018
2025-10-24 10:15:00+05:30,406.6,406.65,404.6,404.7,747411
2025-10-24 11:15:00+05:30,404.7,405.3,404.25,404.8,438531
2025-10-24 12:15:00+05:30,404.8,405.15,404.25,404.6,316267
2025-10-24 13:15:00+05:30,404.6,404.6,401.0,402.55,920003
2025-10-24 14:15:00+05:30,402.55,404.05,401.7,403.9,1179735
2025-10-24 15:15:00+05:30,403.9,404.35,403.25,403.45,638152
2025-10-27 09:15:00+05:30,404.0,409.85,403.65,409.15,2405175
2025-10-27 10:15:00+05:30,409.1,409.5,408.35,409.35,917980
2025-10-27 11:15:00+05:30,409.4,411.0,409.1,410.85,1621213
2025-10-27 12:15:00+05:30,410.85,411.4,410.4,410.75,1002678
2025-10-27 13:15:00+05:30,410.85,410.85,408.65,409.45,1046065
2025-10-27 14:15:00+05:30,409.45,411.1,407.8,409.75,2678673
2025-10-27 15:15:00+05:30,409.85,411.05,409.5,410.15,980467
2025-10-28 09:15:00+05:30,411.3,414.15,409.45,411.85,3044013
2025-10-28 10:15:00+05:30,411.7,412.45,410.55,411.15,1037964
2025-10-28 11:15:00+05:30,411.05,411.65,409.8,409.8,1038848
2025-10-28 12:15:00+05:30,409.7,411.15,409.1,410.1,1135921
2025-10-28 13:15:00+05:30,410.15,410.65,408.55,409.7,997744
2025-10-28 14:15:00+05:30,409.8,411.8,409.2,411.1,1912300
2025-10-28 15:15:00+05:30,411.2,412.5,411.15,412.25,1078329
2025-10-29 09:15:00+05:30,412.5,413.45,407.05,412.95,2227233
2025-10-29 10:15:00+05:30,412.9,415.0,412.25,414.15,1707215
2025-10-29 11:15:00+05:30,414.15,414.5,413.35,414.1,618509
2025-10-29 12:15:00+05:30,414.1,414.65,412.75,413.55,779332
2025-10-29 13:15:00+05:30,413.55,413.85,411.45,412.1,737633
2025-10-29 14:15:00+05:30,411.95,412.65,410.5,411.2,1441315
2025-10-29 15:15:00+05:30,411.2,412.25,411.1,411.85,939056
2025-10-30 09:15:00+05:30,412.7,419.0,408.75,409.95,2748207
2025-10-30 10:15:00+05:30,409.95,410.85,408.1,409.55,1075013
2025-10-30 11:15:00+05:30,409.5,410.95,409.3,410.65,721817
2025-10-30 12:15:00+05:30,410.7,411.55,410.25,411.5,671655
2025-10-30 13:15:00+05:30,411.55,411.65,410.3,411.2,646169
2025-10-30 14:15:00+05:30,411.2,412.95,411.0,412.0,1613259
2025-10-30 15:15:00+05:30,412.15,413.55,411.95,412.85,1277710
2025-10-31 09:15:00+05:30,414.05,417.5,411.65,415.4,2669477
2025-10-31 10:15:00+05:30,415.35,415.5,412.95,413.3,842879
2025-10-31 11:15:00+05:30,413.3,413.75,412.2,413.05,608544
2025-10-31 12:15:00+05:30,413.1,413.2,412.0,412.95,608955
2025-10-31 13:15:00+05:30,413.0,413.1,411.0,412.1,540281
2025-10-31 14:15:00+05:30,412.1,412.1,409.1,410.9,1397617
2025-10-31 15:15:00+05:30,410.9,410.9,409.05,410.15,1241095
2025-11-03 09:15:00+05:30,414.0,414.5,410.1,410.85,2211341
2025-11-03 10:15:00+05:30,410.75,412.3,410.6,411.85,1051659
2025-11-03 11:15:00+05:30,411.85,413.3,411.6,411.85,584745
2025-11-03 12:15:00+05:30,411.8,413.8,411.75,413.3,542771
2025-11-03 13:15:00+05:30,413.25,413.3,412.1,412.75,545229
2025-11-03 14:15:00+05:30,412.85,417.25,412.7,417.2,2556506
2025-11-03 15:15:00+05:30,417.2,417.85,416.7,416.8,1371846
2025-11-04 09:15:00+05:30,417.4,417.5,411.0,411.35,2131961
2025-11-04 10:15:00+05:30,411.3,411.65,408.55,409.6,1364252
2025-11-04 11:15:00+05:30,409.6,409.95,408.8,409.3,694731
2025-11-04 12:15:00+05:30,409.3,409.95,408.5,409.15,672905
