Datetime,open,high,low,close,volume
2025-10-20 00:00:00+05:30,476.0,478.5,472.05,473.9,4010765
2025-10-21 00:00:00+05:30,477.5,477.95,474.5,475.65,841526
2025-10-23 00:00:00+05:30,477.1,484.85,474.65,483.25,11194491
2025-10-24 00:00:00+05:30,490.0,501.05,487.25,495.6,25748299
2025-10-27 00:00:00+05:30,501.0,505.95,497.25,505.25,13611047
2025-10-28 00:00:00+05:30,505.95,509.75,499.65,502.45,10881126
2025-10-29 00:00:00+05:30,504.05,524.4,504.05,516.2,25108474
2025-10-30 00:00:00+05:30,513.0,514.9,503.2,506.95,7439433
2025-10-31 00:00:00+05:30,506.95,507.4,491.2,493.55,13235197
2025-11-03 00:00:00+05:30,502.0,514.5,500.4,513.0,16492217
2025-11-04 00:00:00+05:30,511.0,517.6,505.1,508.15,9015840
2025-11-06 00:00:00+05:30,510.0,514.4,502.6,504.95,7236023
2025-11-07 00:00:00+05:30,501.0,517.25,497.5,515.05,9229050
2025-11-10 00:00:00+05:30,521.0,526.6,518.25,519.6,9368684
2025-11-11 00:00:00+05:30,520.1,524.9,515.55,523.85,6857737
2025-11-12 00:00:00+05:30,525.0,528.85,518.0,520.6,8017904
2025-11-13 00:00:00+05:30,527.0,535.5,524.2,529.6,14483739
2025-11-14 00:00:00+05:30,528.0,531.3,521.5,525.35,6780850
2025-11-17 00:00:00+05:30,526.95,528.0,519.35,520.8,4575270
2025-11-18 00:00:00+05:30,521.65,521.8,508.25,510.7,7919977
2025-11-19 00:00:00+05:30,509.0,514.8,507.55,511.8,4009545
2025-11-20 00:00:00+05:30,516.0,519.0,509.15,509.75,5736356
2025-11-21 00:00:00+05:30,510.0,511.0,494.55,496.4,8023391
2025-11-24 00:00:00+05:30,498.15,503.5,493.8,495.15,10371411
2025-11-25 00:00:00+05:30,495.6,506.85,495.6,504.65,7658295
2025-11-26 00:00:00+05:30,507.9,517.0,506.1,516.3,7777469
2025-11-27 00:00:00+05:30,518.7,523.75,517.35,519.1,5978457
2025-11-28 00:00:00+05:30,519.4,530.8,518.65,526.0,9990143
2025-12-01 00:00:00+05:30,535.0,537.65,530.0,533.3,10279499
2025-12-02 00:00:00+05:30,530.85,539.9,530.1,538.4,9490883
2025-12-03 00:00:00+05:30,541.0,541.05,528.75,532.8,9182829
2025-12-04 00:00:00+05:30,534.7,543.0,528.25,529.65,14735849
2025-12-05 00:00:00+05:30,528.85,531.45,517.8,524.5,14808276
2025-12-08 00:00:00+05:30,524.3,527.3,509.2,511.25,7598744
2025-12-09 00:00:00+05:30,509.9,517.6,502.35,516.15,7594795
2025-12-10 00:00:00+05:30,519.25,530.75,516.15,524.2,14712797
