Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,22.5,22.67,22.14,22.65,51531093
2025-10-20 10:15:00+05:30,22.64,22.95,22.59,22.79,34506495
2025-10-20 11:15:00+05:30,22.79,22.87,22.7,22.81,15485726
2025-10-20 12:15:00+05:30,22.81,22.96,22.73,22.76,23414202
2025-10-20 13:15:00+05:30,22.75,22.78,22.57,22.62,20126325
2025-10-20 14:15:00+05:30,22.63,22.68,22.56,22.63,15238836
2025-10-20 15:15:00+05:30,22.64,22.69,22.62,22.67,12779679
2025-10-21 13:45:00+05:30,22.79,22.9,22.68,22.75,24828306
2025-10-23 09:15:00+05:30,22.78,23.04,22.68,23.02,29976053
2025-10-23 10:15:00+05:30,23.03,23.17,22.95,23.15,18686020
2025-10-23 11:15:00+05:30,23.16,23.2,23.02,23.1,25069429
2025-10-23 12:15:00+05:30,23.1,23.12,22.88,22.96,16386708
2025-10-23 13:15:00+05:30,22.96,22.97,22.86,22.9,8396345
2025-10-23 14:15:00+05:30,22.89,22.94,22.66,22.67,18485574
2025-10-23 15:15:00+05:30,22.66,22.82,22.65,22.73,12968022
2025-10-24 09:15:00+05:30,22.75,22.88,22.67,22.77,20204897
2025-10-24 10:15:00+05:30,22.77,22.77,22.7,22.74,7445743
2025-10-24 11:15:00+05:30,22.73,22.75,22.66,22.7,9751354
2025-10-24 12:15:00+05:30,22.71,22.72,22.62,22.64,11014054
2025-10-24 13:15:00+05:30,22.64,22.71,22.47,22.56,14787545
2025-10-24 14:15:00+05:30,22.57,22.68,22.54,22.67,17120334
2025-10-24 15:15:00+05:30,22.68,22.73,22.67,22.72,9138914
2025-10-27 09:15:00+05:30,22.72,22.94,22.66,22.82,20349451
2025-10-27 10:15:00+05:30,22.82,22.9,22.76,22.76,14359495
2025-10-27 11:15:00+05:30,22.77,22.87,22.73,22.85,11998907
2025-10-27 12:15:00+05:30,22.86,22.89,22.76,22.77,7803663
2025-10-27 13:15:00+05:30,22.77,22.81,22.73,22.77,9600473
2025-10-27 14:15:00+05:30,22.77,22.8,22.75,22.76,8702479
2025-10-27 15:15:00+05:30,22.76,22.81,22.74,22.77,7588804
2025-10-28 09:15:00+05:30,22.75,22.96,22.6,22.61,25485855
2025-10-28 10:15:00+05:30,22.62,22.67,22.55,22.56,9360457
2025-10-28 11:15:00+05:30,22.55,22.66,22.55,22.62,10405062
2025-10-28 12:15:00+05:30,22.63,22.8,22.6,22.72,12356834
2025-10-28 13:15:00+05:30,22.72,22.77,22.58,22.63,7724772
2025-10-28 14:15:00+05:30,22.62,22.7,22.54,22.68,12833078
2025-10-28 15:15:00+05:30,22.69,22.83,22.67,22.82,11993269
2025-10-29 09:15:00+05:30,22.76,22.94,22.68,22.71,15305451
2025-10-29 10:15:00+05:30,22.7,22.84,22.7,22.71,8306264
2025-10-29 11:15:00+05:30,22.73,22.86,22.71,22.78,7814424
2025-10-29 12:15:00+05:30,22.79,22.8,22.72,22.76,4341993
2025-10-29 13:15:00+05:30,22.76,22.78,22.71,22.72,4700198
2025-10-29 14:15:00+05:30,22.73,22.75,22.66,22.69,8957128
2025-10-29 15:15:00+05:30,22.68,22.73,22.67,22.71,6268154
2025-10-30 09:15:00+05:30,22.75,22.75,22.35,22.41,25506983
2025-10-30 10:15:00+05:30,22.42,22.46,22.35,22.41,7641291
2025-10-30 11:15:00+05:30,22.42,22.45,22.31,22.35,7719952
2025-10-30 12:15:00+05:30,22.35,22.41,22.31,22.38,6904286
2025-10-30 13:15:00+05:30,22.38,22.4,22.21,22.26,10702529
2025-10-30 14:15:00+05:30,22.27,22.3,22.23,22.25,11403670
2025-10-30 15:15:00+05:30,22.25,22.25,22.2,22.24,10448746
2025-10-31 09:15:00+05:30,22.27,22.91,22.27,22.82,56751678
2025-10-31 10:15:00+05:30,22.81,22.92,22.68,22.73,23843050
2025-10-31 11:15:00+05:30,22.74,23.22,22.73,23.12,56049730
2025-10-31 12:15:00+05:30,23.12,23.14,22.91,23.01,20444942
2025-10-31 13:15:00+05:30,23.01,23.03,22.87,22.94,14956912
2025-10-31 14:15:00+05:30,22.94,22.95,22.72,22.73,24072298
2025-10-31 15:15:00+05:30,22.73,22.79,22.7,22.79,14081399
2025-11-03 09:15:00+05:30,22.75,23.15,22.53,23.0,40658763
2025-11-03 10:15:00+05:30,22.99,23.02,22.87,22.89,11910674
2025-11-03 11:15:00+05:30,22.88,22.98,22.82,22.98,10743232
2025-11-03 12:15:00+05:30,22.97,23.04,22.94,23.04,11587614
2025-11-03 13:15:00+05:30,23.04,23.05,22.95,22.98,6327715
2025-11-03 14:15:00+05:30,22.98,23.09,22.96,22.99,15398681
2025-11-03 15:15:00+05:30,23.0,23.0,22.95,22.97,9243343
2025-11-04 09:15:00+05:30,22.97,23.47,22.8,23.33,41314002
2025-11-04 10:15:00+05:30,23.31,23.45,23.22,23.25,29675567
2025-11-04 11:15:00+05:30,23.26,23.33,23.13,23.27,17047115
2025-11-04 12:15:00+05:30,23.28,23.42,23.15,23.31,15310923
2025-11-04 13:15:00+05:30,23.31,23.32,23.12,23.14,11710859
2025-11-04 14:15:00+05:30,23.14,23.15,23.0,23.04,15241177
2025-11-04 15:15:00+05:30,23.04,23.06,22.99,23.03,8588302
2025-11-06 09:15:00+05:30,23.02,23.1,22.81,22.82,25270339
2025-11-06 10:15:00+05:30,22.81,22.92,22.7,22.78,12283163
2025-11-06 11:15:00+05:30,22.79,22.83,22.66,22.71,8509462
2025-11-06 12:15:00+05:30,22.7,22.82,22.68,22.76,5780539
2025-11-06 13:15:00+05:30,22.75,22.8,22.68,22.73,5384569
2025-11-06 14:15:00+05:30,22.72,22.77,22.61,22.63,10245661
2025-11-06 15:15:00+05:30,22.63,22.65,22.61,22.62,8845110
2025-11-07 09:15:00+05:30,22.5,22.57,22.3,22.49,24904632
2025-11-07 10:15:00+05:30,22.5,22.84,22.48,22.77,15909652
2025-11-07 11:15:00+05:30,22.77,22.89,22.77,22.8,9519693
2025-11-07 12:15:00+05:30,22.8,22.94,22.79,22.88,9299033
2025-11-07 13:15:00+05:30,22.89,22.92,22.8,22.84,5283170
2025-11-07 14:15:00+05:30,22.84,22.91,22.79,22.84,9794802
2025-11-07 15:15:00+05:30,22.85,22.89,22.84,22.87,8857121
2025-11-10 09:15:00+05:30,22.9,23.05,22.81,22.87,15594896
2025-11-10 10:15:00+05:30,22.88,22.88,22.71,22.79,6805654
2025-11-10 11:15:00+05:30,22.79,22.84,22.77,22.77,4318990
2025-11-10 12:15:00+05:30,22.78,22.82,22.77,22.79,2635358
2025-11-10 13:15:00+05:30,22.78,22.79,22.71,22.75,4339456
2025-11-10 14:15:00+05:30,22.77,22.81,22.7,22.76,8604722
2025-11-10 15:15:00+05:30,22.76,22.76,22.7,22.71,5843244
2025-11-11 09:15:00+05:30,22.74,22.75,22.39,22.45,18294751
2025-11-11 10:15:00+05:30,22.45,22.55,22.4,22.47,8113786
2025-11-11 11:15:00+05:30,22.47,22.56,22.43,22.53,4603546
2025-11-11 12:15:00+05:30,22.53,22.58,22.52,22.56,3589153
2025-11-11 13:15:00+05:30,22.57,22.62,22.55,22.57,4846689
2025-11-11 14:15:00+05:30,22.57,22.64,22.57,22.63,7868515
2025-11-11 15:15:00+05:30,22.62,22.67,22.61,22.65,5899446
2025-11-12 09:15:00+05:30,22.71,22.9,22.7,22.8,15666364
2025-11-12 10:15:00+05:30,22.8,22.83,22.71,22.71,5371657
2025-11-12 11:15:00+05:30,22.71,22.83,22.71,22.78,5223956
2025-11-12 12:15:00+05:30,22.77,22.83,22.74,22.79,8710145
2025-11-12 13:15:00+05:30,22.8,22.85,22.76,22.79,7282882
2025-11-12 14:15:00+05:30,22.78,22.81,22.75,22.77,11802667
2025-11-12 15:15:00+05:30,22.77,22.78,22.67,22.69,8451829
2025-11-13 09:15:00+05:30,22.75,22.84,22.66,22.76,14191826
2025-11-13 10:15:00+05:30,22.76,22.78,22.68,22.69,5949655
2025-11-13 11:15:00+05:30,22.68,22.72,22.65,22.67,5371136
2025-11-13 12:15:00+05:30,22.67,22.69,22.58,22.63,6767319
2025-11-13 13:15:00+05:30,22.63,22.64,22.51,22.54,7089171
2025-11-13 14:15:00+05:30,22.53,22.57,22.46,22.5,12378166
2025-11-13 15:15:00+05:30,22.5,22.5,22.45,22.5,7172271
2025-11-14 09:15:00+05:30,22.48,22.6,22.37,22.48,11449909
2025-11-14 10:15:00+05:30,22.48,22.57,22.41,22.53,6748691
2025-11-14 11:15:00+05:30,22.55,22.58,22.47,22.49,4913617
2025-11-14 12:15:00+05:30,22.51,22.53,22.4,22.43,4594045
2025-11-14 13:15:00+05:30,22.44,22.46,22.38,22.42,4759118
2025-11-14 14:15:00+05:30,22.41,22.55,22.36,22.52,10160891
2025-11-14 15:15:00+05:30,22.52,22.55,22.49,22.53,7871603
2025-11-17 09:15:00+05:30,22.58,23.02,22.58,22.97,39271645
2025-11-17 10:15:00+05:30,22.96,23.18,22.9,23.17,29910383
