underlying,ts_signal,spot_symbol,expiry,dte,regime,side,is_live,right,tradingsymbol,kite_symbol,strike,score,entry,sl,target,time_stop_min,spread_pct,bid,ask,mid,ltp,quote_ts,entry_model,iv,iv_pct,iv_samples,greeks_conf,delta,vega_1pct,theta_day,lot_size,greeks_max_lots,risk_lots,max_lots,pass_caps,sent_mult,mkt_bias,mkt_strength,mkt_risk_off,notes,reason,bos,bos_strength,htf_align,session
360ONE,2026-02-16 15:15:00+05:30,NSE:360ONE,2026-02-24,8,VOLATILE,SHORT,False,PE,360ONE26FEB1100PE,NFO:360ONE26FEB1100PE,1100,-1.10546987604094,14.15,11.446329716577875,18.20550542513323,90,0.0035398230088496078,14.1,14.15,14.125,14.125,2026-02-16 16:22:30,ask,0.35423133305406573,1.0,5,high,-0.3486980728326392,0.6114695788885658,-1.2945461115165748,500,0,0,0,False,1.0,,,,adx=21.3 | ivp=1.00 | dte=8 | spr=0.004,Trigger SHORT when RSI closes <= 48 AND price closes below EMA_fast.,NONE,0.0,True,CLOSE
ABB,2026-02-16 15:15:00+05:30,NSE:ABB,2026-02-24,8,VOLATILE,LONG,True,CE,ABB26FEB5900CE,NFO:ABB26FEB5900CE,5900,1.6366270121918667,153.35,142.2440815025212,170.0088777462182,90,0.015111695137976236,151.05,153.35,152.2,152.2,2026-02-16 16:22:40,ask,0.4449096491545439,1.0,5,high,0.5086819394027802,3.467432715069043,-10.161059684707645,125,0,0,0,False,1.0,,,,adx=35.5 | ivp=1.00 | dte=8 | spr=0.015,LIVE signal,NONE,0.0,True,CLOSE
ABCAPITAL,2026-02-16 15:15:00+05:30,NSE:ABCAPITAL,2026-02-24,8,CHOP,LONG,True,CE,ABCAPITAL26FEB340CE,NFO:ABCAPITAL26FEB340CE,340,1.5700687489519747,9.9,9.009221121538326,11.23616831769253,90,0.02040816326530623,9.7,9.9,9.8,9.8,2026-02-16 16:22:40,ask,0.3321943081951141,0.4,5,high,0.6375012067561713,0.19105207694703133,-0.4333491258583049,3100,0,0,0,False,1.0,,,,adx=24.8 | ivp=0.40 | dte=8 | spr=0.020,LIVE signal,BOS_UP,0.36206896551725437,True,CLOSE
ADANIENSOL,2026-02-16 15:15:00+05:30,NSE:ADANIENSOL,2026-02-24,8,CHOP,LONG,True,CE,ADANIENSOL26FEB1000CE,NFO:ADANIENSOL26FEB1000CE,1000,1.7898295639810913,24.25,21.375764935256733,28.561352597114933,90,0.02716823406478573,23.6,24.25,23.925,23.925,2026-02-16 16:22:40,ask,0.36402318213939666,0.4,5,high,0.5458917130058856,0.5871536967491296,-1.4291667254591882,675,0,0,0,False,1.0,,,,adx=36.0 | ivp=0.40 | dte=8 | spr=0.027,LIVE signal,NONE,0.0,True,CLOSE
ADANIENT,2026-02-16 15:15:00+05:30,NSE:ADANIENT,2026-02-24,8,CHOP,LONG,True,CE,ADANIENT26FEB2200CE,NFO:ADANIENT26FEB2200CE,2200,1.8153910146266858,42.7,37.456528225024876,50.56520766246269,90,0.014150943396226447,42.1,42.7,42.400000000000006,42.400000000000006,2026-02-16 16:22:41,ask,0.3751334857034683,0.4,5,high,0.4699023289022249,1.2831442465581235,-3.18642616449477,309,0,0,0,False,1.0,,,,adx=37.3 | ivp=0.40 | dte=8 | spr=0.014,LIVE signal,NONE,0.0,True,CLOSE
ADANIGREEN,2026-02-16 15:15:00+05:30,NSE:ADANIGREEN,2026-02-24,8,VOLATILE,LONG,True,CE,ADANIGREEN26FEB1000CE,NFO:ADANIGREEN26FEB1000CE,1000,1.7763480011082198,21.95,18.375176275325657,27.31223558701154,90,0.020713463751438402,21.5,21.95,21.725,21.725,2026-02-16 16:22:41,ask,0.4312858182229996,1.0,5,high,0.46587940294022046,0.5817445693591751,-1.6489066099307887,600,0,0,0,False,1.0,,,,adx=43.2 | ivp=1.00 | dte=8 | spr=0.021,LIVE signal,NONE,0.0,True,CLOSE
ADANIPORTS,2026-02-16 15:15:00+05:30,NSE:ADANIPORTS,2026-02-24,8,CHOP,LONG,True,CE,ADANIPORTS26FEB1540CE,NFO:ADANIPORTS26FEB1540CE,1540,1.7230158319106377,28.05,24.572203551034647,33.26669467344797,90,0.01980198019801983,27.5,28.05,27.775,27.775,2026-02-16 16:22:33,ask,0.29460285834646216,0.4,5,high,0.5212585527693268,0.9058843307236293,-1.8043684924173893,475,0,0,0,False,1.0,,,,adx=32.6 | ivp=0.40 | dte=8 | spr=0.020,LIVE signal,NONE,0.0,True,CLOSE
ALKEM,2026-02-16 15:15:00+05:30,NSE:ALKEM,2026-02-24,8,TREND,SHORT,True,PE,ALKEM26FEB5500PE,NFO:ALKEM26FEB5500PE,5500,-1.5840931621050987,129.35,114.06314463470983,152.28028304793526,90,0.0274294670846395,125.85,129.35,127.6,127.6,2026-02-16 16:22:41,ask,0.3755179355853796,0.4,5,high,-0.5050846022997686,3.227940276746891,-7.140787064148049,125,0,0,0,False,1.0,,,,adx=25.5 | ivp=0.40 | dte=8 | spr=0.027,LIVE signal,NONE,0.0,True,CLOSE
AMBER,2026-02-16 15:15:00+05:30,NSE:AMBER,2026-02-24,8,VOLATILE,LONG,False,CE,AMBER26FEB7800CE,NFO:AMBER26FEB7800CE,7800,0.9162290564893588,172.15,156.97276864483644,194.91584703274535,90,0.024103468547912954,168.05,172.15,170.10000000000002,170.10000000000002,2026-02-16 16:22:42,ask,0.3913888611755372,1.0,5,high,0.49484228376284517,4.576998391198818,-11.860735198555117,100,0,0,0,False,1.0,,,,adx=10.8 | ivp=1.00 | dte=8 | spr=0.024,Trend UP but ADX<18. Trigger LONG when ADX>=18 AND RSI>=52.,NONE,0.0,True,CLOSE
AMBUJACEM,2026-02-16 15:15:00+05:30,NSE:AMBUJACEM,2026-02-24,8,CHOP,SHORT,False,PE,AMBUJACEM26FEB540PE,NFO:AMBUJACEM26FEB540PE,540,-1.3238247173886508,17.75,16.222238505256684,20.041642242114932,90,0.06997084548104952,16.55,17.75,17.15,17.15,2026-02-16 16:22:43,ask,0.247908588968277,0.4,5,high,-0.7676728508479549,0.23656520784708326,-0.2994867690363263,1050,0,0,0,False,1.0,,,,adx=27.5 | ivp=0.40 | dte=8 | spr=0.070,Trigger SHORT when RSI closes <= 48 AND price closes below EMA_fast.,NONE,0.0,True,CLOSE
ANGELONE,2026-02-16 15:15:00+05:30,NSE:ANGELONE,2026-02-24,8,TREND,SHORT,True,PE,ANGELONE26FEB2550PE,NFO:ANGELONE26FEB2550PE,2550,-1.9086983061025489,57.85,47.73564449560366,73.02153325659451,90,0.013925152306353425,57.05,57.85,57.45,57.45,2026-02-16 16:22:37,ask,0.4626247420852185,0.6,5,high,-0.42715597355358104,1.4901294343803138,-4.141731321189754,250,0,0,0,False,1.0,,,,adx=42.1 | ivp=0.60 | dte=8 | spr=0.014,LIVE signal,NONE,0.0,True,CLOSE
