underlying,ts_signal,spot_symbol,expiry,action,strategy_type,legs_json,net_premium,max_loss,max_profit,breakevens,margin_est,dte,regime,regime_conf,align_mode,ltf_dir,htf_dir,dtf_dir,side,is_live,right,tradingsymbol,kite_symbol,strike,score,signal_strength,entry,sl,target,time_stop_min,spread_pct,bid,ask,mid,ltp,quote_ts,entry_model,iv,iv_pct,iv_samples,greeks_conf,delta,vega_1pct,theta_day,lot_size,greeks_max_lots,risk_lots,max_lots,pass_caps,sent_mult,mkt_bias,mkt_strength,mkt_risk_off,notes,reason,bos,bos_strength,htf_align,session
360ONE,None,NSE:360ONE,2026-02-24,BUY_PE,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":1120,""tradingsymbol"":""360ONE26FEB1120PE"",""instrument_token"":17543426,""bid"":27.8,""ask"":28.3,""mid"":28.05,""ltp"":28.05,""oi"":379000.0,""volume"":126000.0,""spread_pct"":0.017825311942959002,""price_used"":28.3,""tag"":""long"",""iv"":0.3223905381832123,""delta"":-0.6657351404290617,""gamma"":0.008661918556712006,""vega_1pct"":0.4744669259766128,""theta_day"":-1.36751852945736,""greeks_conf"":""high""}]",28.3,28.3,,,14150.0,5,VOLATILE,1.0,hard,DOWN,DOWN,,SHORT,True,PE,360ONE26FEB1120PE,NFO:360ONE26FEB1120PE,1120,-1.7323398471024387,1.7323398471024387,28.3,14.15,50.940000000000005,90,0.017825311942959002,27.8,28.3,28.05,28.05,,ask,0.3223905381832123,1.0,1,high,-0.6657351404290617,0.4744669259766128,-1.36751852945736,500,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=37.6 | ivp=1.00 | dte=5 | spr=0.018 | fallback single-leg,LIVE signal,NONE,0.0,True,MID
ABB,None,NSE:ABB,2026-02-24,BUY_CE,BUY_CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":5850,""tradingsymbol"":""ABB26FEB5850CE"",""instrument_token"":14621442,""bid"":128.4,""ask"":132.05,""mid"":130.22500000000002,""ltp"":130.22500000000002,""oi"":31000.0,""volume"":23750.0,""spread_pct"":0.028028412363217545,""quote_ts"":""2026-02-19T12:30:57"",""price_used"":132.05,""tag"":""long"",""iv"":0.5059960531817673,""delta"":0.49021012507626355,""gamma"":0.00114179873322818,""vega_1pct"":2.7530992290661733,""theta_day"":-14.040647277719726,""greeks_conf"":""high""}]",132.05,132.05,,,16506.25,5,VOLATILE,1.0,hard,UP,UP,,LONG,False,CE,ABB26FEB5850CE,NFO:ABB26FEB5850CE,5850,1.1134988160564678,1.1134988160564678,132.05,66.025,237.69000000000003,90,0.028028412363217545,128.4,132.05,130.22500000000002,130.22500000000002,2026-02-19T12:30:57,ask,0.5059960531817673,1.0,1,high,0.49021012507626355,2.7530992290661733,-14.040647277719726,125,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=19.3 | ivp=1.00 | dte=5 | spr=0.028 | watch-mode single-leg,Trigger LONG when RSI closes >= 52 AND price closes above EMA_fast.,NONE,0.0,True,MID
ABCAPITAL,None,NSE:ABCAPITAL,2026-02-24,BUY_CE,BUY_CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":340,""tradingsymbol"":""ABCAPITAL26FEB340CE"",""instrument_token"":17763330,""bid"":9.15,""ask"":9.35,""mid"":9.25,""ltp"":9.25,""oi"":641700.0,""volume"":626200.0,""spread_pct"":0.021621621621621546,""price_used"":9.35,""tag"":""long"",""iv"":0.21391010638809208,""delta"":0.8379739388189515,""gamma"":0.027797007046514832,""vega_1pct"":0.1012115462003467,""theta_day"":-0.2576930349129804,""greeks_conf"":""high""}]",9.35,9.35,,,28985.0,5,VOLATILE,1.0,hard,UP,UP,,LONG,True,CE,ABCAPITAL26FEB340CE,NFO:ABCAPITAL26FEB340CE,340,1.366735127683742,1.366735127683742,9.35,4.675,16.83,90,0.021621621621621546,9.15,9.35,9.25,9.25,,ask,0.21391010638809208,1.0,1,high,0.8379739388189515,0.1012115462003467,-0.2576930349129804,3100,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=18.1 | ivp=1.00 | dte=5 | spr=0.022 | fallback single-leg,LIVE signal,NONE,0.0,True,MID
ALKEM,None,NSE:ALKEM,2026-02-24,BEAR_PUT_SPREAD,BEAR_PUT_SPREAD,"[{""side"":""BUY"",""right"":""PE"",""strike"":5400,""tradingsymbol"":""ALKEM26FEB5400PE"",""instrument_token"":18283522,""bid"":72.0,""ask"":73.45,""mid"":72.725,""ltp"":72.725,""oi"":27625.0,""volume"":142250.0,""spread_pct"":0.019938123066345865,""quote_ts"":""2026-02-19T12:31:03"",""price_used"":73.45,""tag"":""long"",""iv"":0.3097019039411545,""delta"":-0.46646280806493545,""gamma"":0.002003005191196541,""vega_1pct"":2.547521061993576,""theta_day"":-7.271730659571664,""greeks_conf"":""high""},{""side"":""SELL"",""right"":""PE"",""strike"":5300,""tradingsymbol"":""ALKEM26FEB5300PE"",""instrument_token"":18283010,""bid"":25.1,""ask"":26.1,""mid"":25.6,""ltp"":25.6,""oi"":34750.0,""volume"":93500.0,""spread_pct"":0.0390625,""quote_ts"":""2026-02-19T12:31:03"",""price_used"":25.1,""tag"":""short"",""iv"":0.26719187978935244,""delta"":-0.2474472217849899,""gamma"":0.0018457761686365183,""vega_1pct"":2.0253221987735173,""theta_day"":-5.056066953320956,""greeks_conf"":""high""}]",48.35,48.35,51.65,5351.65,6043.75,5,VOLATILE,1.0,hard,DOWN,DOWN,,SHORT,True,PE,ALKEM26FEB5400PE,NFO:ALKEM26FEB5400PE,5400,-1.5246806533519048,1.5246806533519048,73.45,24.175,89.67,90,0.019938123066345865,72.0,73.45,72.725,72.725,2026-02-19T12:31:03,ask,0.3097019039411545,1.0,1,high,-0.21901558627994555,0.5221988632200589,-2.215663706250708,125,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=26.5 | ivp=1.00 | dte=5 | spr=0.020 | volatile -> direction via debit spread,LIVE signal,NONE,0.0,True,MID
AMBER,None,NSE:AMBER,2026-02-24,BUY_CE,BUY_CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":7800,""tradingsymbol"":""AMBER26FEB7800CE"",""instrument_token"":18480386,""bid"":134.9,""ask"":138.75,""mid"":136.825,""ltp"":136.825,""oi"":60700.0,""volume"":50000.0,""spread_pct"":0.028138132651196746,""quote_ts"":""2026-02-19T12:31:04"",""price_used"":138.75,""tag"":""long"",""iv"":0.30939315194296835,""delta"":0.5662828999145921,""gamma"":0.0013695763894520751,""vega_1pct"":3.6527753122393953,""theta_day"":-11.734355871768834,""greeks_conf"":""high""}]",138.75,138.75,,,13875.0,5,VOLATILE,1.0,hard,UP,UP,,LONG,False,CE,AMBER26FEB7800CE,NFO:AMBER26FEB7800CE,7800,1.007494097718085,1.007494097718085,138.75,69.375,249.75,90,0.028138132651196746,134.9,138.75,136.825,136.825,2026-02-19T12:31:04,ask,0.30939315194296835,1.0,1,high,0.5662828999145921,3.6527753122393953,-11.734355871768834,100,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=13.7 | ivp=1.00 | dte=5 | spr=0.028 | watch-mode single-leg,Trend UP but ADX<18. Trigger LONG when ADX>=18 AND RSI>=52.,NONE,0.0,True,MID
AMBUJACEM,None,NSE:AMBUJACEM,2026-02-24,BUY_PE,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":525,""tradingsymbol"":""AMBUJACEM26FEB525PE"",""instrument_token"":16361218,""bid"":8.1,""ask"":8.35,""mid"":8.225,""ltp"":8.225,""oi"":300300.0,""volume"":119700.0,""spread_pct"":0.030395136778115502,""price_used"":8.35,""tag"":""long"",""iv"":0.2169046431427002,""delta"":-0.640729752804048,""gamma"":0.027998797216263787,""vega_1pct"":0.2301436746274905,""theta_day"":-0.4310157794558085,""greeks_conf"":""high""}]",8.35,8.35,,,8767.5,5,VOLATILE,1.0,hard,DOWN,DOWN,,SHORT,True,PE,AMBUJACEM26FEB525PE,NFO:AMBUJACEM26FEB525PE,525,-1.3911007867742886,1.3911007867742886,8.35,4.175,15.03,90,0.030395136778115502,8.1,8.35,8.225,8.225,,ask,0.2169046431427002,1.0,1,high,-0.640729752804048,0.2301436746274905,-0.4310157794558085,1050,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=19.4 | ivp=1.00 | dte=5 | spr=0.030 | fallback single-leg,LIVE signal,NONE,0.0,True,MID
ANGELONE,None,NSE:ANGELONE,2026-02-24,BEAR_PUT_SPREAD,BEAR_PUT_SPREAD,"[{""side"":""BUY"",""right"":""PE"",""strike"":2550,""tradingsymbol"":""ANGELONE26FEB2550PE"",""instrument_token"":16718338,""bid"":53.85,""ask"":54.6,""mid"":54.225,""ltp"":54.225,""oi"":230750.0,""volume"":662500.0,""spread_pct"":0.013831258644536652,""quote_ts"":""2026-02-19T12:31:06"",""price_used"":54.6,""tag"":""long"",""iv"":0.3580209956109524,""delta"":-0.5688527598127081,""gamma"":0.0036661715643963927,""vega_1pct"":1.176609963721085,""theta_day"":-3.865185744839036,""greeks_conf"":""high""},{""side"":""SELL"",""right"":""PE"",""strike"":2450,""tradingsymbol"":""ANGELONE26FEB2450PE"",""instrument_token"":16717826,""bid"":15.25,""ask"":15.55,""mid"":15.4,""ltp"":15.4,""oi"":71500.0,""volume"":341250.0,""spread_pct"":0.019480519480519525,""quote_ts"":""2026-02-19T12:31:01"",""price_used"":15.25,""tag"":""short"",""iv"":0.37497136110210416,""delta"":-0.2306267066695047,""gamma"":0.0027088045101407287,""vega_1pct"":0.9105147889948276,""theta_day"":-3.2330731236500467,""greeks_conf"":""high""}]",39.35,39.35,60.65,2510.65,9837.5,5,VOLATILE,1.0,hard,DOWN,DOWN,,SHORT,True,PE,ANGELONE26FEB2550PE,NFO:ANGELONE26FEB2550PE,2550,-1.4222213059369206,1.4222213059369206,54.6,19.675,87.87,90,0.013831258644536652,53.85,54.6,54.225,54.225,2026-02-19T12:31:06,ask,0.3580209956109524,1.0,1,high,-0.3382260531432034,0.2660951747262573,-0.6321126211889894,250,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=21.1 | ivp=1.00 | dte=5 | spr=0.014 | volatile -> direction via debit spread,LIVE signal,NONE,0.0,True,MID
APOLLOHOSP,None,NSE:APOLLOHOSP,2026-02-24,BUY_CE,BUY_CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":7650,""tradingsymbol"":""APOLLOHOSP26FEB7650CE"",""instrument_token"":17175810,""bid"":47.5,""ask"":48.45,""mid"":47.975,""ltp"":47.975,""oi"":72875.0,""volume"":254000.0,""spread_pct"":0.01980198019801986,""quote_ts"":""2026-02-19T12:31:08"",""price_used"":48.45,""tag"":""long"",""iv"":0.13904370729124546,""delta"":0.48884052923219923,""gamma"":0.0031687338784337016,""vega_1pct"":3.6094673292259927,""theta_day"":-5.503059337664065,""greeks_conf"":""high""}]",48.45,48.45,,,6056.25,5,VOLATILE,1.0,hard,UP,UP,,LONG,False,CE,APOLLOHOSP26FEB7650CE,NFO:APOLLOHOSP26FEB7650CE,7650,1.0575978840052953,1.0575978840052953,48.45,24.225,87.21000000000001,90,0.01980198019801986,47.5,48.45,47.975,47.975,2026-02-19T12:31:08,ask,0.13904370729124546,1.0,1,high,0.48884052923219923,3.6094673292259927,-5.503059337664065,125,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=16.4 | ivp=1.00 | dte=5 | spr=0.020 | watch-mode single-leg,Trend UP but ADX<18. Trigger LONG when ADX>=18 AND RSI>=52.,NONE,0.0,True,MID
ASTRAL,None,NSE:ASTRAL,2026-02-24,BUY_CE,BUY_CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":1640,""tradingsymbol"":""ASTRAL26FEB1640CE"",""instrument_token"":19270402,""bid"":10.45,""ask"":10.85,""mid"":10.649999999999999,""ltp"":10.649999999999999,""oi"":380375.0,""volume"":777750.0,""spread_pct"":0.037558685446009425,""price_used"":10.85,""tag"":""long"",""iv"":0.14084913162040708,""delta"":0.49575388685370225,""gamma"":0.014592378376541983,""vega_1pct"":0.7742668683379945,""theta_day"":-1.1958686504649247,""greeks_conf"":""high""}]",10.85,10.85,,,4611.25,5,VOLATILE,1.0,hard,UP,UP,,LONG,True,CE,ASTRAL26FEB1640CE,NFO:ASTRAL26FEB1640CE,1640,1.4530492377268063,1.4530492377268063,10.85,5.425,19.53,90,0.037558685446009425,10.45,10.85,10.649999999999999,10.649999999999999,,ask,0.14084913162040708,1.0,1,high,0.49575388685370225,0.7742668683379945,-1.1958686504649247,425,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=22.7 | ivp=1.00 | dte=5 | spr=0.038 | fallback single-leg,LIVE signal,NONE,0.0,True,MID
AUBANK,None,NSE:AUBANK,2026-02-24,BUY_CE,BUY_CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":1030,""tradingsymbol"":""AUBANK26FEB1030CE"",""instrument_token"":18021890,""bid"":8.3,""ask"":8.4,""mid"":8.350000000000001,""ltp"":8.350000000000001,""oi"":928000.0,""volume"":6653000.0,""spread_pct"":0.011976047904191572,""price_used"":8.4,""tag"":""long"",""iv"":0.22721862881183624,""delta"":0.4216560426156011,""gamma"":0.014200876351766593,""vega_1pct"":0.4743442191564044,""theta_day"":-1.1212417621229982,""greeks_conf"":""high""}]",8.4,8.4,,,8400.0,5,VOLATILE,1.0,hard,UP,UP,,LONG,True,CE,AUBANK26FEB1030CE,NFO:AUBANK26FEB1030CE,1030,1.5577776480702934,1.5577776480702934,8.4,4.2,15.120000000000001,90,0.011976047904191572,8.3,8.4,8.350000000000001,8.350000000000001,,ask,0.22721862881183624,1.0,1,high,0.4216560426156011,0.4743442191564044,-1.1212417621229982,1000,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=28.3 | ivp=1.00 | dte=5 | spr=0.012 | fallback single-leg,LIVE signal,NONE,0.0,True,MID
AUROPHARMA,None,NSE:AUROPHARMA,2026-02-24,BULL_CALL_SPREAD,BULL_CALL_SPREAD,"[{""side"":""BUY"",""right"":""CE"",""strike"":1190,""tradingsymbol"":""AUROPHARMA26FEB1190CE"",""instrument_token"":18218754,""bid"":19.3,""ask"":19.55,""mid"":19.425,""ltp"":19.425,""oi"":272800.0,""volume"":1491600.0,""spread_pct"":0.01287001287001287,""quote_ts"":""2026-02-19T12:31:14"",""price_used"":19.55,""tag"":""long"",""iv"":0.31496141674423217,""delta"":0.5370371525448304,""gamma"":0.00892742913051498,""vega_1pct"":0.5611544384188981,""theta_day"":-1.8266670273625085,""greeks_conf"":""high""},{""side"":""SELL"",""right"":""CE"",""strike"":1210,""tradingsymbol"":""AUROPHARMA26FEB1210CE"",""instrument_token"":18219266,""bid"":11.25,""ask"":11.45,""mid"":11.35,""ltp"":11.35,""oi"":277750.0,""volume"":1003750.0,""spread_pct"":0.01762114537444928,""quote_ts"":""2026-02-19T12:31:02"",""price_used"":11.25,""tag"":""short"",""iv"":0.32612178819990156,""delta"":0.36683590155698564,""gamma"":0.008172265682091227,""vega_1pct"":0.5318889008703982,""theta_day"":-1.7626164742578303,""greeks_conf"":""high""}]",8.3,8.3,1201.7,8.30,4565.0,5,VOLATILE,1.0,hard,UP,UP,,LONG,True,CE,AUROPHARMA26FEB1190CE,NFO:AUROPHARMA26FEB1190CE,1190,1.5727822876324271,1.5727822876324271,19.55,4.15,969.6600000000001,90,0.01287001287001287,19.3,19.55,19.425,19.425,2026-02-19T12:31:14,ask,0.31496141674423217,1.0,1,high,0.17020125098784478,0.02926553754849992,-0.06405055310467822,550,0,0,0,False,1.0,NEUTRAL,0.3125,False,adx=29.1 | ivp=1.00 | dte=5 | spr=0.013 | volatile -> direction via debit spread,LIVE signal,NONE,0.0,True,MID
