ts_reco,schema_version,run_id,source,bucket,mode,interval,htf_interval,dtf_interval,ts_signal,quote_ts,entry_model,bid,ask,mid,ltp,spread_pct,underlying,spot_symbol,expiry,dte,action,side,tradingsymbol,kite_symbol,strike,right,entry,sl,target,time_stop_min,score,regime,regime_conf,align_mode,ltf_dir,htf_dir,dtf_dir,htf_align,iv,iv_pct,iv_samples,greeks_conf,delta,vega_1pct,theta_day,lot_size,max_lots,pass_caps,sent_mult,mkt_bias,mkt_strength,mkt_risk_off,reason,notes,strategy_type,legs_json,net_premium,max_loss,max_profit,breakevens,margin_est,signal_strength,gamma,legs_count,quote_age_s_max,quote_age_s_mean,cluster,fill_model,fill_k,extra_json
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP2_BUY,intraday,15m,60m,,None,,ask,11.08,11.36,11.219999999999999,11.219999999999999,0.024955436720142547,IOC,NSE:IOC,2026-02-24,0,BUY_CE,LONG,IOC26FEB167CE,NFO:IOC26FEB167CE,167,CE,11.36,5.68,20.448,90,1.0766928697122693,VOLATILE,1.0,hard,UP,UP,,True,0.5,1.0,2,low,0.9999999996868154,7.668742555961041e-11,-0.027451294719105596,4875,0,False,0.8195,BEARISH,0.6875,True,LIVE signal,adx=55.1 | ivp=1.00 | dte=0 | spr=0.025 | fallback single-leg,BUY_CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":167,""tradingsymbol"":""IOC26FEB167CE"",""instrument_token"":27206402,""bid"":11.08,""ask"":11.36,""mid"":11.219999999999999,""ltp"":11.219999999999999,""oi"":940875.0,""volume"":9750.0,""spread_pct"":0.024955436720142547,""price_used"":11.36,""tag"":""long"",""iv"":0.5,""delta"":0.9999999996868154,""gamma"":1.027517467246868e-09,""vega_1pct"":7.668742555961041e-11,""theta_day"":-0.027451294719105596,""greeks_conf"":""low""}]",11.36,11.36,,,55380.0,1.0766928697122693,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP2_BUY,intraday,15m,60m,,None,,ask,16.45,17.0,16.725,16.725,0.03288490284005983,MARICO,NSE:MARICO,2026-02-24,0,BUY_CE,LONG,MARICO26FEB790CE,NFO:MARICO26FEB790CE,790,CE,17.0,8.5,30.6,90,1.0372750589038957,VOLATILE,1.0,hard,UP,UP,,True,0.5,1.0,2,low,0.9820909055105956,0.007696040510345012,-1.2564556686781476,1200,0,False,0.8195,BEARISH,0.6875,True,LIVE signal,adx=51.1 | ivp=1.00 | dte=0 | spr=0.033 | fallback single-leg,BUY_CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":790,""tradingsymbol"":""MARICO26FEB790CE"",""instrument_token"":34827266,""bid"":16.45,""ask"":17.0,""mid"":16.725,""ltp"":16.725,""oi"":79200.0,""volume"":42000.0,""spread_pct"":0.03288490284005983,""price_used"":17.0,""tag"":""long"",""iv"":0.5,""delta"":0.9820909055105956,""gamma"":0.00504887202504108,""vega_1pct"":0.007696040510345012,""theta_day"":-1.2564556686781476,""greeks_conf"":""low""}]",17.0,17.0,,,20400.0,1.0372750589038957,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP2_SELL,intraday,15m,60m,,None,,ask,21.0,21.95,21.475,21.475,0.04423748544819554,PERSISTENT,NSE:PERSISTENT,2026-02-24,0,BUY_PE,SHORT,PERSISTENT26FEB4700PE,NFO:PERSISTENT26FEB4700PE,4700,PE,21.95,10.975,39.51,90,-1.7674656167730007,VOLATILE,1.0,hard,DOWN,DOWN,,True,0.426856001909256,1.0,2,high,-0.5703682981218032,0.3976180074051994,-49.48805268909096,100,0,False,1.136625,BEARISH,0.6875,True,LIVE signal,adx=55.8 | ivp=1.00 | dte=0 | spr=0.044 | fallback single-leg,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":4700,""tradingsymbol"":""PERSISTENT26FEB4700PE"",""instrument_token"":37995010,""bid"":21.0,""ask"":21.95,""mid"":21.475,""ltp"":21.475,""oi"":72700.0,""volume"":1638200.0,""spread_pct"":0.04423748544819554,""price_used"":21.95,""tag"":""long"",""iv"":0.426856001909256,""delta"":-0.5703682981218032,""gamma"":0.009086961521371008,""vega_1pct"":0.3976180074051994,""theta_day"":-49.48805268909096,""greeks_conf"":""high""}]",21.95,21.95,,,2195.0,1.7674656167730007,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP2_SELL,intraday,15m,60m,,None,,ask,56.65,57.7,57.175,57.175,0.018364669873196404,COFORGE,NSE:COFORGE,2026-02-24,0,BUY_PE,SHORT,COFORGE26FEB1280PE,NFO:COFORGE26FEB1280PE,1280,PE,57.7,28.85,103.86000000000001,90,-1.7613375219753167,VOLATILE,1.0,hard,DOWN,DOWN,,True,1.226807395263672,1.0,2,high,-0.9540217580230584,0.025592412557451663,-8.939792917105176,375,0,False,1.136625,BEARISH,0.6875,True,LIVE signal,adx=55.4 | ivp=1.00 | dte=0 | spr=0.018 | fallback single-leg,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":1280,""tradingsymbol"":""COFORGE26FEB1280PE"",""instrument_token"":22010882,""bid"":56.65,""ask"":57.7,""mid"":57.175,""ltp"":57.175,""oi"":45000.0,""volume"":161250.0,""spread_pct"":0.018364669873196404,""price_used"":57.7,""tag"":""long"",""iv"":1.226807395263672,""delta"":-0.9540217580230584,""gamma"":0.0029623018553414644,""vega_1pct"":0.025592412557451663,""theta_day"":-8.939792917105176,""greeks_conf"":""high""}]",57.7,57.7,,,21637.5,1.7613375219753167,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP10_OVERALL,intraday,15m,60m,,None,,ask,21.0,21.95,21.475,21.475,0.04423748544819554,PERSISTENT,NSE:PERSISTENT,2026-02-24,0,BUY_PE,SHORT,PERSISTENT26FEB4700PE,NFO:PERSISTENT26FEB4700PE,4700,PE,21.95,10.975,39.51,90,-1.7674656167730007,VOLATILE,1.0,hard,DOWN,DOWN,,True,0.426856001909256,1.0,2,high,-0.5703682981218032,0.3976180074051994,-49.48805268909096,100,0,False,1.136625,BEARISH,0.6875,True,LIVE signal,adx=55.8 | ivp=1.00 | dte=0 | spr=0.044 | fallback single-leg,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":4700,""tradingsymbol"":""PERSISTENT26FEB4700PE"",""instrument_token"":37995010,""bid"":21.0,""ask"":21.95,""mid"":21.475,""ltp"":21.475,""oi"":72700.0,""volume"":1638200.0,""spread_pct"":0.04423748544819554,""price_used"":21.95,""tag"":""long"",""iv"":0.426856001909256,""delta"":-0.5703682981218032,""gamma"":0.009086961521371008,""vega_1pct"":0.3976180074051994,""theta_day"":-49.48805268909096,""greeks_conf"":""high""}]",21.95,21.95,,,2195.0,1.7674656167730007,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP10_OVERALL,intraday,15m,60m,,None,,ask,56.65,57.7,57.175,57.175,0.018364669873196404,COFORGE,NSE:COFORGE,2026-02-24,0,BUY_PE,SHORT,COFORGE26FEB1280PE,NFO:COFORGE26FEB1280PE,1280,PE,57.7,28.85,103.86000000000001,90,-1.7613375219753167,VOLATILE,1.0,hard,DOWN,DOWN,,True,1.226807395263672,1.0,2,high,-0.9540217580230584,0.025592412557451663,-8.939792917105176,375,0,False,1.136625,BEARISH,0.6875,True,LIVE signal,adx=55.4 | ivp=1.00 | dte=0 | spr=0.018 | fallback single-leg,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":1280,""tradingsymbol"":""COFORGE26FEB1280PE"",""instrument_token"":22010882,""bid"":56.65,""ask"":57.7,""mid"":57.175,""ltp"":57.175,""oi"":45000.0,""volume"":161250.0,""spread_pct"":0.018364669873196404,""price_used"":57.7,""tag"":""long"",""iv"":1.226807395263672,""delta"":-0.9540217580230584,""gamma"":0.0029623018553414644,""vega_1pct"":0.025592412557451663,""theta_day"":-8.939792917105176,""greeks_conf"":""high""}]",57.7,57.7,,,21637.5,1.7613375219753167,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP10_OVERALL,intraday,15m,60m,,None,,ask,61.65,65.05,63.349999999999994,63.349999999999994,0.05367008681925807,TATAELXSI,NSE:TATAELXSI,2026-02-24,0,BUY_PE,SHORT,TATAELXSI26FEB4600PE,NFO:TATAELXSI26FEB4600PE,4600,PE,65.05,32.525,117.09,90,-1.755435651556027,VOLATILE,1.0,hard,DOWN,DOWN,,True,0.8595570262088776,1.0,2,high,-0.7128285759117149,0.3340783115103773,-84.22308022939002,100,0,False,1.136625,BEARISH,0.6875,True,LIVE signal,adx=55.0 | ivp=1.00 | dte=0 | spr=0.054 | fallback single-leg,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":4600,""tradingsymbol"":""TATAELXSI26FEB4600PE"",""instrument_token"":35874562,""bid"":61.65,""ask"":65.05,""mid"":63.349999999999994,""ltp"":63.349999999999994,""oi"":26000.0,""volume"":43800.0,""spread_pct"":0.05367008681925807,""price_used"":65.05,""tag"":""long"",""iv"":0.8595570262088776,""delta"":-0.7128285759117149,""gamma"":0.004042874876188007,""vega_1pct"":0.3340783115103773,""theta_day"":-84.22308022939002,""greeks_conf"":""high""}]",65.05,65.05,,,6505.0,1.755435651556027,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP10_OVERALL,intraday,15m,60m,,None,,ask,37.2,37.95,37.575,37.575,0.01996007984031936,HCLTECH,NSE:HCLTECH,2026-02-24,0,BUY_PE,SHORT,HCLTECH26FEB1400PE,NFO:HCLTECH26FEB1400PE,1400,PE,37.95,18.975,68.31,90,-1.6407980939120537,VOLATILE,1.0,hard,DOWN,DOWN,,True,0.5955514179992676,1.0,2,high,-0.98196006406333,0.013089792595773093,-2.04982546930782,350,0,False,1.136625,BEARISH,0.6875,True,LIVE signal,adx=47.8 | ivp=1.00 | dte=0 | spr=0.020 | fallback single-leg,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":1400,""tradingsymbol"":""HCLTECH26FEB1400PE"",""instrument_token"":24731650,""bid"":37.2,""ask"":37.95,""mid"":37.575,""ltp"":37.575,""oi"":154350.0,""volume"":869750.0,""spread_pct"":0.01996007984031936,""price_used"":37.95,""tag"":""long"",""iv"":0.5955514179992676,""delta"":-0.98196006406333,""gamma"":0.0025233125100307284,""vega_1pct"":0.013089792595773093,""theta_day"":-2.04982546930782,""greeks_conf"":""high""}]",37.95,37.95,,,13282.500000000002,1.6407980939120537,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP10_OVERALL,intraday,15m,60m,,None,,ask,57.4,58.3,57.849999999999994,57.849999999999994,0.015557476231633512,BHARTIARTL,NSE:BHARTIARTL,2026-02-24,0,BUY_PE,SHORT,BHARTIARTL26FEB2000PE,NFO:BHARTIARTL26FEB2000PE,2000,PE,58.3,29.15,104.94,90,-1.4958998574543625,VOLATILE,1.0,hard,DOWN,DOWN,,True,1.2016685453109743,1.0,2,high,-0.8497338858268623,0.09859809015676214,-34.17022437925199,475,0,False,1.136625,BEARISH,0.6875,True,LIVE signal,adx=38.8 | ivp=1.00 | dte=0 | spr=0.016 | fallback single-leg,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":2000,""tradingsymbol"":""BHARTIARTL26FEB2000PE"",""instrument_token"":20431618,""bid"":57.4,""ask"":58.3,""mid"":57.849999999999994,""ltp"":57.849999999999994,""oi"":309225.0,""volume"":198550.0,""spread_pct"":0.015557476231633512,""price_used"":58.3,""tag"":""long"",""iv"":1.2016685453109743,""delta"":-0.8497338858268623,""gamma"":0.004599140098700495,""vega_1pct"":0.09859809015676214,""theta_day"":-34.17022437925199,""greeks_conf"":""high""}]",58.3,58.3,,,27692.5,1.4958998574543625,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP10_OVERALL,intraday,15m,60m,,None,,ask,248.65,253.15,250.9,250.9,0.017935432443204464,MAZDOCK,NSE:MAZDOCK,2026-02-24,0,BUY_PE,SHORT,MAZDOCK26FEB2500PE,NFO:MAZDOCK26FEB2500PE,2500,PE,253.15,126.575,455.67,90,-1.4844810750273527,VOLATILE,1.0,hard,DOWN,DOWN,,True,3.0746463811645506,1.0,2,low,-0.9372879051377465,0.06002203645719296,-53.77111041444745,200,0,False,1.136625,BEARISH,0.6875,True,LIVE signal,adx=54.5 | ivp=1.00 | dte=0 | spr=0.018 | fallback single-leg,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":2500,""tradingsymbol"":""MAZDOCK26FEB2500PE"",""instrument_token"":30165250,""bid"":248.65,""ask"":253.15,""mid"":250.9,""ltp"":250.9,""oi"":83400.0,""volume"":19200.0,""spread_pct"":0.017935432443204464,""price_used"":253.15,""tag"":""long"",""iv"":3.0746463811645506,""delta"":-0.9372879051377465,""gamma"":0.0008239192525103009,""vega_1pct"":0.06002203645719296,""theta_day"":-53.77111041444745,""greeks_conf"":""low""}]",253.15,253.15,,,50630.0,1.4844810750273527,,,,,,,,
2026-02-24T11:21:35,3,20260224_112135,scan_options_v22,TOP10_OVERALL,intraday,15m,60m,,None,,ask,211.15,213.95,212.55,212.55,0.013173370971536029,HAL,NSE:HAL,2026-02-24,0,BUY_PE,SHORT,HAL26FEB4200PE,NFO:HAL26FEB4200PE,4200,PE,213.95,106.975,385.11,90,-1.4508099533824956,VOLATILE,1.0,hard,DOWN,DOWN,,True,1.9598394752197268,1.0,2,high,-0.8727830163998238,0.18048490652866056,-102.63967201209468,150,0,False,1.136625,BEARISH,0.6875,True,LIVE signal,adx=36.0 | ivp=1.00 | dte=0 | spr=0.013 | fallback single-leg,BUY_PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":4200,""tradingsymbol"":""HAL26FEB4200PE"",""instrument_token"":24524034,""bid"":211.15,""ask"":213.95,""mid"":212.55,""ltp"":212.55,""oi"":105600.0,""volume"":94650.0,""spread_pct"":0.013173370971536029,""price_used"":213.95,""tag"":""long"",""iv"":1.9598394752197268,""delta"":-0.8727830163998238,""gamma"":0.0012277232295238103,""vega_1pct"":0.18048490652866056,""theta_day"":-102.63967201209468,""greeks_conf"":""high""}]",213.95,213.95,,,32092.5,1.4508099533824956,,,,,,,,
